GEO_ID,B05010_001E,B05010_001M,B05010_002E,B05010_002M,B05010_003E,B05010_003M,B05010_004E,B05010_004M,B05010_005E,B05010_005M,B05010_006E,B05010_006M,B05010_007E,B05010_007M,B05010_008E,B05010_008M,B05010_009E,B05010_009M,B05010_010E,B05010_010M,B05010_011E,B05010_011M,B05010_012E,B05010_012M,B05010_013E,B05010_013M,B05010_014E,B05010_014M,B05010_015E,B05010_015M,B05010_016E,B05010_016M,B05010_017E,B05010_017M,B05010_018E,B05010_018M,B05010_019E,B05010_019M,B05010_020E,B05010_020M,B05010_021E,B05010_021M,B05010_022E,B05010_022M,B05010_023E,B05010_023M,B05010_024E,B05010_024M,B05010_025E,B05010_025M,NAME,B05010_001MA,B05010_001EA,B05010_002MA,B05010_002EA,B05010_003MA,B05010_003EA,B05010_004EA,B05010_004MA,B05010_005EA,B05010_005MA,B05010_006MA,B05010_006EA,B05010_007MA,B05010_007EA,B05010_008MA,B05010_008EA,B05010_009EA,B05010_009MA,B05010_010EA,B05010_010MA,B05010_011EA,B05010_011MA,B05010_012MA,B05010_012EA,B05010_013MA,B05010_013EA,B05010_014MA,B05010_014EA,B05010_015EA,B05010_015MA,B05010_016EA,B05010_016MA,B05010_017MA,B05010_017EA,B05010_018EA,B05010_018MA,B05010_019MA,B05010_019EA,B05010_020EA,B05010_020MA,B05010_021EA,B05010_021MA,B05010_022MA,B05010_022EA,B05010_023EA,B05010_023MA,B05010_024MA,B05010_024EA,B05010_025MA,B05010_025EA,state
0400000US01,1036087,7021,281038,12773,67459,6690,50145,5647,12883,2967,4431,1844,213579,10337,201437,10152,12142,2768,239409,13629,132591,10429,116559,9968,10620,2763,5412,1707,106818,7796,102985,7388,3833,1866,515640,13548,424443,12800,397227,11925,12026,2734,15190,2940,91197,6605,88370,6596,2827,1277,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175939,2151,26913,3975,9046,2637,4994,1317,3069,2408,983,887,17867,3597,14671,2504,3196,2468,30728,3324,19294,2886,15319,2685,1693,893,2282,1036,11434,1700,10520,1647,914,598,118298,4623,93695,4796,83968,4418,3068,1270,6659,1669,24603,3080,23950,3029,653,477,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524523,6689,379041,13648,141975,10231,57746,6952,65796,8152,18433,3951,237066,11222,166071,9945,70995,7673,376738,14239,212623,11799,119114,10174,61144,6241,32365,4697,164115,10545,129291,10021,34824,4981,768744,15135,601131,15159,462127,12333,62780,5194,76224,6631,167613,9641,149189,9014,18424,3060,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659918,5132,170613,7877,53344,5947,35262,5388,15214,3315,2868,1449,117269,6550,108086,6256,9183,2241,176486,9463,97601,6681,77434,6178,13437,2805,6730,2343,78885,6844,70778,5992,8107,2856,312819,10395,249790,9723,228071,9246,11510,2083,10209,2255,63029,5090,60539,4834,2490,1143,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8721788,13757,1940139,34790,785249,27490,163777,12416,513394,19043,108078,10071,1154890,31537,626586,23166,528304,20938,2024777,33651,1205374,30257,341243,16004,674518,22011,189613,12806,819403,22350,483739,18666,335664,13032,4756872,39671,3734716,37538,2063720,32155,1024810,19276,646186,19865,1022156,24520,760727,18987,261429,12573,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1197828,5419,178852,10691,67129,6811,29311,4559,33609,4859,4209,1789,111723,8731,84542,7376,27181,4999,256299,11863,156047,8846,89253,7829,50328,5775,16466,3355,100252,7394,76877,7166,23375,4294,762677,13074,607874,12363,508752,11371,45444,4588,53678,4821,154803,8255,138212,8052,16591,2563,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,744456,3956,105783,8072,24188,3239,12916,2449,8909,2524,2363,1395,81595,7684,67057,6637,14538,3351,124478,8206,53763,5684,27248,4012,20560,3641,5955,2130,70715,6580,59884,6297,10831,2222,514195,8303,414172,9194,314709,8767,56490,4935,42973,4700,100023,6145,87271,5823,12752,2288,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190578,2472,32979,4261,6955,1823,4440,1730,1882,831,633,722,26024,4207,22029,3586,3995,1784,37916,3846,12381,2650,8655,2265,3261,1220,465,360,25535,3363,23672,3142,1863,1102,119683,4602,91455,4595,76417,4022,11117,1761,3921,1308,28228,3210,24513,3082,3715,1435,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,106942,1891,27438,4287,3387,1788,1172,1010,2215,1545,0,198,24051,3958,20104,3255,3947,1956,18815,3181,5861,2059,2036,1289,3825,1598,0,198,12954,2622,11153,2545,1801,814,60689,3332,41148,3226,27726,2633,6461,2025,6961,1489,19541,2639,16577,2539,2964,1240,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3837835,12306,894864,26399,269523,14109,122052,10625,118256,10344,29215,4962,625341,20773,451310,18565,174031,12084,996620,25324,527728,21274,280595,16006,178906,13681,68227,7520,468892,18351,347652,16813,121240,9623,1946351,28085,1493085,26695,1012811,23014,260672,12017,219602,10679,453266,17318,366245,14559,87021,8184,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
