GEO_ID,B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,NAME,B06004G_001MA,B06004G_001EA,B06004G_002EA,B06004G_002MA,B06004G_003EA,B06004G_003MA,B06004G_004MA,B06004G_004EA,B06004G_005MA,B06004G_005EA,state
0400000US01,84964,6399,52889,4671,25799,3296,2534,894,3742,1561,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,62808,4350,40996,3355,19011,2848,1882,664,919,461,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,224103,10975,124082,8203,77105,5527,6245,1367,16671,2655,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64487,5713,37236,4216,23144,3058,1350,556,2757,1059,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1779789,27724,1280660,23449,233411,9139,48334,4181,217384,11296,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184328,9649,99337,6281,68696,5117,5986,1166,10309,1936,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103833,7876,63612,6100,22955,2735,5810,1331,11456,2548,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24117,3277,14867,2994,7347,1563,675,440,1228,724,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16731,2508,5468,1550,9085,1441,516,322,1662,769,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,475805,19977,225550,12055,146349,9031,27752,3020,76154,7010,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,203303,11149,106346,7669,68673,6424,10176,2324,18108,2803,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,330299,10633,267425,9969,46536,3587,10282,1838,6056,1341,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40796,4211,21260,2366,16563,2597,1035,625,1938,1538,Idaho,null,null,null,null,null,null,null,null,null,null,16
