GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001EA,B19001I_001MA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005MA,B19001I_005EA,B19001I_006EA,B19001I_006MA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009MA,B19001I_009EA,B19001I_010MA,B19001I_010EA,B19001I_011EA,B19001I_011MA,B19001I_012EA,B19001I_012MA,B19001I_013MA,B19001I_013EA,B19001I_014MA,B19001I_014EA,B19001I_015EA,B19001I_015MA,B19001I_016MA,B19001I_016EA,B19001I_017EA,B19001I_017MA,state
0400000US01,50179,2658,4714,1388,4318,1319,4112,1429,5888,1397,4459,1472,3863,1249,3395,976,2364,922,1405,573,3552,931,3081,935,3152,979,2141,735,1543,755,720,550,1472,555,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14437,1276,343,297,441,405,404,328,1589,884,1182,768,495,406,963,680,726,489,473,349,1332,608,1106,536,2353,791,766,359,1099,449,563,383,602,451,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,542312,7139,51190,3547,40410,3464,38184,3650,39568,3456,35776,3434,38051,3145,32372,2861,29029,2612,25664,2527,49397,3510,51190,2904,51782,4256,29896,3067,12706,1621,10019,1513,7078,1649,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,51757,2672,3840,1060,4297,1158,4671,1258,4898,1359,3885,1110,3907,1047,4202,1239,4088,925,2834,970,4298,1174,4536,1104,3363,1002,1278,563,571,453,558,469,531,319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3642265,16264,210504,7121,209557,7561,217164,6457,239771,7038,218768,7462,224311,7506,210973,6662,196821,7132,173539,6453,307415,9036,374853,11173,431808,10270,260194,7302,146580,6696,131022,5896,88985,4643,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,322651,5134,27694,2543,16678,2001,19218,2634,22197,2527,18874,2274,20928,2700,20740,2646,17272,2530,17871,2398,28256,2793,33085,2866,36263,3036,19001,2117,10459,1505,8508,1439,5607,1037,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,158523,4404,21816,2660,11040,1792,11721,1716,10516,1811,9301,1896,8561,1461,7337,1562,6684,1473,6130,1196,10610,1723,13483,2127,15799,2033,8295,1506,5698,1202,6010,1248,5522,1248,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22486,1363,1374,690,588,383,1161,540,1006,487,1572,691,1003,462,2137,616,1047,673,1113,469,2275,884,2587,830,3078,936,1116,500,1194,676,798,371,437,431,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22255,1906,2032,821,676,464,588,425,931,578,960,595,714,466,462,360,1336,663,1169,639,2049,834,2062,941,2525,771,1687,618,1605,637,982,328,2477,881,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1414829,11780,127720,6251,95226,5274,99843,5903,101873,5443,97334,5184,85260,4679,81691,5335,82140,5702,63096,4583,120196,6445,130359,6696,132872,5886,83848,5361,41629,3409,34436,3546,37306,3477,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,227009,5007,12548,1944,13291,2191,18419,2914,20105,2737,16619,2216,18305,2655,15446,2211,13125,1939,9809,2163,17901,2495,21011,2480,25443,2883,11864,1915,4880,1338,4065,1210,4178,1341,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31319,1817,2187,570,938,448,1411,631,560,347,1476,497,1674,727,1537,657,1511,586,2845,889,1717,673,3606,904,5275,1102,2362,673,1464,523,1871,727,885,387,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,48217,2100,3346,989,1765,711,2467,873,6144,1400,3715,1203,3910,1111,3441,936,3480,1037,2787,993,4055,1268,5759,1527,4353,1175,1001,460,496,330,190,166,1308,801,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,543689,7568,32980,3118,24975,2376,31618,3050,36474,3078,30669,2835,33726,3090,33194,2742,32343,3077,29153,2885,51482,3446,63916,3550,63270,4025,35017,2958,19427,2394,15985,1972,9460,1376,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
