GEO_ID,B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,NAME,B11001G_001MA,B11001G_001EA,B11001G_002EA,B11001G_002MA,B11001G_003EA,B11001G_003MA,B11001G_004EA,B11001G_004MA,B11001G_005MA,B11001G_005EA,B11001G_006MA,B11001G_006EA,B11001G_007MA,B11001G_007EA,B11001G_008EA,B11001G_008MA,B11001G_009EA,B11001G_009MA,state
0400000US01,19730,2114,13322,1734,9208,1270,4114,997,919,557,3195,824,6408,1179,5005,1033,1403,544,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11527,1271,7812,1123,4481,804,3331,991,1702,606,1629,711,3715,810,2603,678,1112,426,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46633,3886,32252,3055,21131,1981,11121,1973,4622,1208,6499,1214,14381,1937,9673,1443,4708,1093,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16768,1945,11400,1582,7841,1270,3559,1035,1033,556,2526,930,5368,1368,4721,1331,647,430,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,392951,7397,255664,7110,166769,5103,88895,4581,23239,2561,65656,3731,137287,4375,98937,4127,38350,2964,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47041,3487,28323,2596,19086,2306,9237,1585,3513,1003,5724,1188,18718,2040,14310,1857,4408,848,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22639,2169,14888,1648,8079,1172,6809,1438,1758,948,5051,1122,7751,1477,6082,1316,1669,657,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3713,925,2265,737,1684,651,581,345,45,75,536,331,1448,594,1069,476,379,316,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5635,1077,1977,714,1348,564,629,341,136,131,493,298,3658,935,2444,767,1214,660,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,105762,6589,67467,5002,41488,3464,25979,2941,5583,1261,20396,2562,38295,3530,27702,2994,10593,1746,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,44389,3407,27586,2536,16761,1944,10825,1718,2306,821,8519,1689,16803,2098,12393,1601,4410,1144,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70700,3663,52379,3310,32639,2780,19740,2050,6228,1105,13512,1810,18321,2033,13898,1745,4423,856,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8891,1233,5761,1211,4176,1012,1585,714,983,558,602,444,3130,746,2051,618,1079,438,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,61086,3672,37497,3063,23719,2354,13778,1997,3249,855,10529,1679,23589,2438,17436,1880,6153,1193,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30811,2805,19050,2161,10871,1664,8179,1370,1352,473,6827,1262,11761,1558,9007,1304,2754,883,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12141,1606,7536,1415,4474,1090,3062,959,515,307,2547,865,4605,1019,2984,873,1621,647,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21404,2058,13235,1619,7741,1228,5494,1139,1812,613,3682,1033,8169,1204,6858,1078,1311,520,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19860,2186,13060,1804,8464,1579,4596,1060,823,406,3773,993,6800,1368,5229,1250,1571,624,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17192,2100,9271,1424,5766,1232,3505,833,963,419,2542,755,7921,1713,6212,1333,1709,700,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8077,1084,4588,725,2714,676,1874,523,412,304,1462,415,3489,972,2762,843,727,345,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,40681,2976,26557,2549,17243,2280,9314,1378,1412,553,7902,1301,14124,1741,10650,1574,3474,879,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,46639,3268,30428,2790,16559,2214,13869,2008,4522,1134,9347,1723,16211,1898,12115,1776,4096,979,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,57210,3591,36720,2955,19840,1852,16880,2131,4556,1133,12324,1831,20490,1805,16151,1642,4339,887,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,28339,2342,18218,1960,10111,1457,8107,1313,1288,512,6819,1100,10121,1164,7638,1148,2483,737,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8008,1684,4325,1177,2706,805,1619,709,427,345,1192,605,3683,1060,2742,908,941,668,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,37687,3200,22917,2296,13870,1778,9047,1504,2503,845,6544,1349,14770,1972,11815,1573,2955,980,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5695,1203,2917,750,2390,736,527,300,0,161,527,300,2778,1013,2203,847,575,414,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8866,1337,5771,1242,3245,763,2526,802,674,486,1852,698,3095,784,2425,679,670,381,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,28796,2546,17235,1778,10481,1330,6754,1143,1950,630,4804,1110,11561,1685,8219,1467,3342,848,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6651,1269,4291,977,2732,651,1559,694,586,433,973,495,2360,870,1666,829,694,339,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,46523,3017,33470,2715,20350,2222,13120,1726,3182,777,9938,1587,13053,1934,10814,1809,2239,860,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,17556,1681,10211,1347,6379,1035,3832,990,779,511,3053,865,7345,1460,5539,1120,1806,923,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,139961,6125,86734,4238,48963,2882,37771,3315,9184,1715,28587,2694,53227,3548,39943,3209,13284,1704,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,49507,3163,31640,2927,19808,2519,11832,1584,2811,843,9021,1504,17867,1912,14141,1740,3726,973,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5265,1376,3149,1134,1138,559,2011,927,226,191,1785,931,2116,767,1862,767,254,235,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,66296,3941,41509,3144,18443,1815,23066,2723,5663,1400,17403,2257,24787,2357,18986,2104,5801,1232,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,78873,3304,53723,2823,35230,1841,18493,1702,4463,802,14030,1527,25150,1843,19815,1669,5335,978,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,45118,3054,26366,2727,15657,2008,10709,1694,2653,913,8056,1380,18752,1997,11599,1676,7153,1447,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,62328,4064,41328,3191,21722,2161,19606,2378,3688,912,15918,2103,21000,2587,16472,2189,4528,1303,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7285,1393,3528,854,1996,680,1532,500,393,266,1139,470,3757,1017,2862,954,895,501,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18987,2260,12449,1828,7191,1201,5258,1180,1434,567,3824,1087,6538,1519,5608,1416,930,376,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5204,999,3033,693,2050,610,983,435,135,105,848,415,2171,705,1870,621,301,237,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
