GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001EA,C17017_001MA,C17017_002EA,C17017_002MA,C17017_003MA,C17017_003EA,C17017_004EA,C17017_004MA,C17017_005EA,C17017_005MA,C17017_006EA,C17017_006MA,C17017_007EA,C17017_007MA,C17017_008MA,C17017_008EA,C17017_009MA,C17017_009EA,C17017_010EA,C17017_010MA,C17017_011EA,C17017_011MA,C17017_012EA,C17017_012MA,C17017_013MA,C17017_013EA,C17017_014MA,C17017_014EA,C17017_015EA,C17017_015MA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019MA,C17017_019EA,state
0400000US01,1841217,10615,342688,8132,184841,6662,56254,3359,128587,5238,16420,2394,112167,5073,157847,5937,63821,4055,94026,4162,1498529,11721,1047674,12321,813772,12248,233902,7177,61185,3606,172717,5819,450855,9161,212323,6254,238532,6212,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,22543,2153,12999,1612,4885,1020,8114,1333,2317,642,5797,1159,9544,1450,5319,1079,4225,868,227116,3393,152016,3662,119143,3424,32873,3004,12349,1870,20524,2120,75100,3586,43111,2559,31989,2409,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,388790,9041,209001,6363,88335,4279,120666,5231,25890,2940,94776,4191,179789,6661,79696,4808,100093,4473,2039953,11749,1370480,13405,1052960,12543,317520,9464,108230,5859,209290,7098,669473,13045,331458,9861,338015,7965,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,203043,5833,104138,4501,38327,2962,65811,3452,9891,1758,55920,2988,98905,4088,41204,3238,57701,3352,928245,8689,648074,9714,508201,9423,139873,5594,43661,3786,96212,4644,280171,9129,142316,6329,137855,6272,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,1870898,17050,1067419,13044,452770,11184,614649,11962,125277,5404,489372,11197,803479,13080,339930,9796,463549,9182,10887750,23860,7694640,28159,5786373,25282,1908267,22054,646999,13474,1261268,16448,3193110,22877,1552229,15509,1640881,17574,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,233808,7164,105560,4841,42865,3138,62695,4689,11365,2198,51330,4066,128248,5232,58302,4012,69946,3360,1805784,9697,1209723,10079,962861,10575,246862,6362,87770,4684,159092,5547,596061,8873,297678,6939,298383,6856,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,143172,6598,66949,4874,19680,2501,47269,4219,8008,1771,39261,3896,76223,3789,28992,2320,47231,3123,1212645,8413,820314,9845,630993,9055,189321,5974,56763,3609,132558,5089,392331,7942,174115,6108,218216,5921,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,40220,3155,19733,2314,5763,1205,13970,2088,2502,749,11468,1892,20487,2310,8487,1327,12000,1684,309523,4476,213267,4508,159599,4060,53668,2749,15655,1986,38013,2417,96256,4420,44410,3810,51846,3099,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,46941,3755,16707,2102,2292,700,14415,1910,1704,674,12711,1772,30234,2782,11440,1903,18794,1968,230437,3871,101157,3173,63952,3106,37205,2778,7792,1463,29413,2463,129280,3956,59068,2778,70212,3077,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,1118984,21286,563761,13976,221565,8739,342196,9105,60354,4673,281842,7975,555223,13992,226427,8714,328796,9953,6209062,26508,4129650,24086,3158538,24036,971112,16358,293183,8421,677929,12957,2079412,20638,965321,14799,1114091,13901,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
