GEO_ID,C17010C_001E,C17010C_001M,C17010C_002E,C17010C_002M,C17010C_003E,C17010C_003M,C17010C_004E,C17010C_004M,C17010C_005E,C17010C_005M,C17010C_006E,C17010C_006M,C17010C_007E,C17010C_007M,C17010C_008E,C17010C_008M,C17010C_009E,C17010C_009M,C17010C_010E,C17010C_010M,C17010C_011E,C17010C_011M,C17010C_012E,C17010C_012M,C17010C_013E,C17010C_013M,C17010C_014E,C17010C_014M,C17010C_015E,C17010C_015M,C17010C_016E,C17010C_016M,C17010C_017E,C17010C_017M,NAME,C17010C_001MA,C17010C_001EA,C17010C_002MA,C17010C_002EA,C17010C_003MA,C17010C_003EA,C17010C_004MA,C17010C_004EA,C17010C_005EA,C17010C_005MA,C17010C_006EA,C17010C_006MA,C17010C_007EA,C17010C_007MA,C17010C_008MA,C17010C_008EA,C17010C_009MA,C17010C_009EA,C17010C_010EA,C17010C_010MA,C17010C_011EA,C17010C_011MA,C17010C_012EA,C17010C_012MA,C17010C_013MA,C17010C_013EA,C17010C_014MA,C17010C_014EA,C17010C_015EA,C17010C_015MA,C17010C_016EA,C17010C_016MA,C17010C_017EA,C17010C_017MA,state
0400000US01,5879,880,632,336,225,188,113,126,407,258,23,50,23,50,384,254,384,254,5247,825,4489,843,1389,435,758,334,200,198,165,190,558,276,245,166,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19489,1315,3416,547,984,191,821,174,2432,500,742,195,559,121,1690,440,1604,436,16073,1228,8898,870,5259,730,7175,909,2155,350,1262,280,5020,840,3660,800,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,56853,2284,18582,1938,4563,885,2870,646,14019,1619,3546,790,2199,510,10473,1400,8363,1302,38271,2148,20965,1703,10610,1432,17306,1680,5140,1126,3130,958,12166,1264,7605,1031,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,4441,890,486,268,306,243,259,223,180,123,104,93,104,93,76,80,59,74,3955,902,3329,833,1316,582,626,397,399,350,297,372,227,193,188,176,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,62596,3733,12288,1684,3655,852,1976,636,8633,1516,2022,764,1606,710,6611,1141,5432,985,50308,3289,32172,2348,14650,1639,18136,2068,5648,1252,3304,886,12488,1637,6629,1298,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,12311,1643,2309,724,477,267,437,259,1832,663,295,281,295,281,1537,588,1491,592,10002,1536,6751,1190,3622,864,3251,979,1162,508,897,461,2089,847,1338,691,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11488,1644,2384,768,1215,633,522,421,1169,523,411,338,335,307,758,389,595,351,9104,1504,6827,1262,2933,774,2277,670,1055,404,752,401,1222,573,856,542,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
