GEO_ID,B98021_001E,B98021_002E,B98021_003E,B98021_004E,B98021_005E,B98021_006E,B98021_007E,B98021_008E,B98021_009E,NAME,B98021_001EA,B98021_002EA,B98021_003EA,B98021_004EA,B98021_005EA,B98021_006EA,B98021_007EA,B98021_008EA,B98021_009EA,state
0400000US01,96.4,3.6,1.6,0.0,1.0,0.0,0.0,0.3,0.7,Alabama,null,null,null,null,null,null,null,null,null,01
0400000US02,94.5,5.5,2.6,0.1,1.0,0.4,0.0,0.3,1.1,Alaska,null,null,null,null,null,null,null,null,null,02
0400000US04,96.4,3.6,2.3,0.0,0.6,0.1,0.0,0.3,0.3,Arizona,null,null,null,null,null,null,null,null,null,04
0400000US05,97.2,2.8,1.5,0.0,0.5,0.2,0.0,0.2,0.4,Arkansas,null,null,null,null,null,null,null,null,null,05
0400000US06,97.2,2.8,1.2,0.0,0.4,0.1,0.0,0.3,0.7,California,null,null,null,null,null,null,null,null,null,06
0400000US08,96.6,3.4,1.5,0.1,0.7,0.1,0.0,0.3,0.7,Colorado,null,null,null,null,null,null,null,null,null,08
0400000US09,96.4,3.6,1.9,0.0,0.4,0.0,0.0,0.3,0.9,Connecticut,null,null,null,null,null,null,null,null,null,09
0400000US10,96.6,3.4,1.5,0.0,1.0,0.0,0.0,0.2,0.6,Delaware,null,null,null,null,null,null,null,null,null,10
0400000US11,93.4,6.6,2.5,0.1,1.1,0.1,0.1,0.4,2.4,District of Columbia,null,null,null,null,null,null,null,null,null,11
0400000US12,97.6,2.4,1.1,0.0,0.5,0.1,0.0,0.2,0.4,Florida,null,null,null,null,null,null,null,null,null,12
0400000US13,95.4,4.6,1.9,0.0,1.1,0.2,0.0,0.3,1.1,Georgia,null,null,null,null,null,null,null,null,null,13
0400000US15,97.6,2.4,0.7,0.0,0.4,0.3,0.1,0.4,0.5,Hawaii,null,null,null,null,null,null,null,null,null,15
0400000US16,96.9,3.1,1.6,0.0,0.7,0.1,0.1,0.3,0.4,Idaho,null,null,null,null,null,null,null,null,null,16
0400000US17,96.7,3.3,1.1,0.1,1.0,0.0,0.0,0.3,0.8,Illinois,null,null,null,null,null,null,null,null,null,17
0400000US18,98.2,1.8,0.9,0.0,0.3,0.0,0.0,0.2,0.2,Indiana,null,null,null,null,null,null,null,null,null,18
0400000US19,98.1,1.9,0.9,0.0,0.5,0.0,0.0,0.2,0.3,Iowa,null,null,null,null,null,null,null,null,null,19
0400000US20,97.6,2.4,1.4,0.0,0.5,0.1,0.0,0.3,0.2,Kansas,null,null,null,null,null,null,null,null,null,20
0400000US21,98.0,2.0,1.4,0.0,0.2,0.0,0.0,0.2,0.1,Kentucky,null,null,null,null,null,null,null,null,null,21
0400000US22,96.9,3.1,1.5,0.0,0.8,0.0,0.0,0.3,0.5,Louisiana,null,null,null,null,null,null,null,null,null,22
0400000US23,95.7,4.3,1.6,0.1,1.5,0.1,0.1,0.2,0.7,Maine,null,null,null,null,null,null,null,null,null,23
0400000US24,95.8,4.2,1.8,0.0,0.6,0.2,0.1,0.4,1.1,Maryland,null,null,null,null,null,null,null,null,null,24
0400000US25,95.9,4.1,2.1,0.0,1.1,0.1,0.1,0.3,0.4,Massachusetts,null,null,null,null,null,null,null,null,null,25
0400000US26,96.8,3.2,2.2,0.0,0.2,0.1,0.0,0.2,0.4,Michigan,null,null,null,null,null,null,null,null,null,26
0400000US27,97.9,2.1,1.3,0.0,0.3,0.0,0.0,0.3,0.2,Minnesota,null,null,null,null,null,null,null,null,null,27
0400000US28,96.7,3.3,2.3,0.0,0.3,0.1,0.0,0.2,0.3,Mississippi,null,null,null,null,null,null,null,null,null,28
0400000US29,96.6,3.4,1.7,0.0,0.6,0.1,0.0,0.3,0.7,Missouri,null,null,null,null,null,null,null,null,null,29
0400000US30,96.3,3.7,1.9,0.0,0.8,0.0,0.0,0.4,0.5,Montana,null,null,null,null,null,null,null,null,null,30
0400000US31,97.4,2.6,1.1,0.0,0.9,0.1,0.1,0.2,0.4,Nebraska,null,null,null,null,null,null,null,null,null,31
0400000US32,95.7,4.3,2.2,0.1,0.4,0.0,0.1,0.3,1.2,Nevada,null,null,null,null,null,null,null,null,null,32
0400000US33,95.7,4.3,2.1,0.0,1.3,0.0,0.0,0.3,0.6,New Hampshire,null,null,null,null,null,null,null,null,null,33
0400000US34,95.6,4.4,2.5,0.0,0.9,0.2,0.1,0.3,0.3,New Jersey,null,null,null,null,null,null,null,null,null,34
0400000US35,95.3,4.7,1.5,0.2,1.1,0.1,0.0,0.2,1.5,New Mexico,null,null,null,null,null,null,null,null,null,35
0400000US36,94.1,5.9,2.5,0.0,1.9,0.2,0.1,0.3,0.9,New York,null,null,null,null,null,null,null,null,null,36
0400000US37,96.9,3.1,0.8,0.0,1.5,0.0,0.0,0.3,0.4,North Carolina,null,null,null,null,null,null,null,null,null,37
0400000US38,96.6,3.4,1.3,0.1,1.0,0.1,0.1,0.4,0.4,North Dakota,null,null,null,null,null,null,null,null,null,38
0400000US39,97.4,2.6,1.9,0.0,0.1,0.0,0.0,0.2,0.3,Ohio,null,null,null,null,null,null,null,null,null,39
0400000US40,97.6,2.4,1.2,0.0,0.6,0.0,0.0,0.2,0.3,Oklahoma,null,null,null,null,null,null,null,null,null,40
0400000US41,97.3,2.7,1.7,0.0,0.3,0.1,0.0,0.3,0.3,Oregon,null,null,null,null,null,null,null,null,null,41
0400000US42,97.4,2.6,1.4,0.0,0.4,0.1,0.0,0.2,0.5,Pennsylvania,null,null,null,null,null,null,null,null,null,42
0400000US44,96.1,3.9,1.8,0.0,1.5,0.0,0.1,0.3,0.1,Rhode Island,null,null,null,null,null,null,null,null,null,44
0400000US45,98.6,1.4,0.7,0.0,0.3,0.0,0.0,0.3,0.1,South Carolina,null,null,null,null,null,null,null,null,null,45
0400000US46,98.4,1.6,0.5,0.0,0.6,0.1,0.0,0.2,0.2,South Dakota,null,null,null,null,null,null,null,null,null,46
0400000US47,97.9,2.1,1.0,0.0,0.3,0.1,0.0,0.3,0.5,Tennessee,null,null,null,null,null,null,null,null,null,47
0400000US48,95.1,4.9,2.4,0.0,1.0,0.1,0.0,0.3,1.1,Texas,null,null,null,null,null,null,null,null,null,48
0400000US49,96.6,3.4,2.2,0.0,0.4,0.1,0.0,0.4,0.2,Utah,null,null,null,null,null,null,null,null,null,49
0400000US50,96.2,3.8,1.9,0.1,1.3,0.1,0.0,0.2,0.1,Vermont,null,null,null,null,null,null,null,null,null,50
0400000US51,96.9,3.1,1.3,0.0,0.7,0.1,0.0,0.3,0.7,Virginia,null,null,null,null,null,null,null,null,null,51
0400000US53,97.1,2.9,1.9,0.0,0.3,0.1,0.1,0.3,0.3,Washington,null,null,null,null,null,null,null,null,null,53
0400000US54,97.7,2.3,1.5,0.1,0.2,0.1,0.0,0.2,0.2,West Virginia,null,null,null,null,null,null,null,null,null,54
