GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001MA,B05003I_001EA,B05003I_002EA,B05003I_002MA,B05003I_003EA,B05003I_003MA,B05003I_004EA,B05003I_004MA,B05003I_005MA,B05003I_005EA,B05003I_006MA,B05003I_006EA,B05003I_007MA,B05003I_007EA,B05003I_008EA,B05003I_008MA,B05003I_009EA,B05003I_009MA,B05003I_010EA,B05003I_010MA,B05003I_011MA,B05003I_011EA,B05003I_012MA,B05003I_012EA,B05003I_013EA,B05003I_013MA,B05003I_014EA,B05003I_014MA,B05003I_015EA,B05003I_015MA,B05003I_016MA,B05003I_016EA,B05003I_017MA,B05003I_017EA,B05003I_018MA,B05003I_018EA,B05003I_019EA,B05003I_019MA,B05003I_020EA,B05003I_020MA,B05003I_021EA,B05003I_021MA,B05003I_022MA,B05003I_022EA,B05003I_023MA,B05003I_023EA,state
0400000US01,192413,2014,103078,2906,38515,2263,35202,2377,3313,1081,627,445,2686,967,64563,1918,26860,2398,37703,2846,7603,1731,30100,2632,89335,2869,34188,2112,31602,1813,2586,1019,395,424,2191,857,55147,1750,25863,2256,29284,2258,6894,1549,22390,2280,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49276,200,25704,885,8160,656,8030,685,130,216,0,145,130,216,17544,549,13380,1021,4164,903,2057,674,2107,822,23572,876,8566,659,8235,671,331,411,243,352,88,125,15006,543,10843,1068,4163,1061,2400,712,1763,833,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2056456,-555555555,1031816,1023,357462,1003,341609,2187,15853,2006,2126,1050,13727,1941,674354,161,402258,7224,272096,7239,82159,4321,189937,6544,1024640,1023,346024,1002,330296,2663,15728,2532,1683,728,14045,2453,678616,163,409722,6501,268894,6490,91248,4512,177646,5841,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,205763,1452,107998,1985,40392,1364,37367,1687,3025,1009,495,355,2530,952,67606,1578,23235,2598,44371,2524,8345,1681,36026,2952,97765,2038,39682,1470,36994,1713,2688,1058,247,204,2441,1031,58083,1450,21246,2369,36837,2436,7759,1344,29078,2560,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14988770,-555555555,7541913,1756,2416338,1522,2293277,6729,123061,6619,14404,1817,108657,6210,5125575,863,2517943,20770,2607632,20684,873833,13641,1733799,21064,7446857,1756,2334448,1668,2221787,6399,112661,6245,12668,1638,99993,6191,5112409,660,2560997,19878,2551412,19861,954655,13500,1596757,17003,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1135107,-555555555,577957,1971,199188,1693,188853,2290,10335,2022,1646,856,8689,1857,378769,1455,241137,6053,137632,5819,31496,2912,106136,5856,557150,1971,190096,1737,182580,2312,7516,1628,314,231,7202,1617,367054,1015,247397,5028,119657,4900,30745,2909,88912,5048,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,541153,-555555555,270794,989,87150,907,82654,1925,4496,1602,770,478,3726,1446,183644,365,114555,4591,69089,4537,18389,2601,50700,4361,270359,990,84982,908,80903,1420,4079,1063,1237,685,2842,837,185377,366,126591,3484,58786,3488,23575,2534,35211,3398,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83326,-555555555,43405,680,15796,680,15151,837,645,444,248,198,397,359,27609,-555555555,15699,1405,11910,1405,4764,1153,7146,1528,39921,680,14004,680,12726,895,1278,468,261,206,1017,420,25917,-555555555,16465,1368,9452,1368,3048,957,6404,1164,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,10
0400000US11,68356,-555555555,35063,-555555555,8462,-555555555,7027,636,1435,636,175,200,1260,648,26601,-555555555,9879,1582,16722,1583,3351,1041,13371,1463,33293,-555555555,8393,-555555555,6732,835,1661,835,127,156,1534,853,24900,-555555555,9498,1445,15402,1445,4482,828,10920,1667,District of Columbia,*****,null,null,*****,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,*****,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,4788870,-555555555,2368280,3396,610500,2632,546637,5335,63863,4684,11797,1915,52066,4530,1757780,1627,724012,11294,1033768,11539,488524,10395,545244,10276,2420590,3396,581166,2910,519407,6122,61759,5059,15138,2826,46621,4725,1839424,1221,732899,12700,1106525,12848,621505,11786,485020,12203,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,922115,2212,481792,3931,173764,3248,160351,3889,13413,2629,2126,972,11287,2337,308028,2825,100751,5069,207277,5272,44496,3973,162781,5400,440323,3791,166426,3159,154251,3854,12175,2275,1292,654,10883,2206,273897,2145,100498,5008,173399,5399,42546,3870,130853,5795,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
