GEO_ID,C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,NAME,C05009_001MA,C05009_001EA,C05009_002EA,C05009_002MA,C05009_003EA,C05009_003MA,C05009_004EA,C05009_004MA,C05009_005MA,C05009_005EA,C05009_006MA,C05009_006EA,C05009_007MA,C05009_007EA,C05009_008MA,C05009_008EA,C05009_009EA,C05009_009MA,C05009_010EA,C05009_010MA,C05009_011MA,C05009_011EA,C05009_012MA,C05009_012EA,C05009_013MA,C05009_013EA,C05009_014EA,C05009_014MA,C05009_015EA,C05009_015MA,state
0400000US01,1036087,7021,330483,5699,329326,5736,1157,546,301586,5806,28897,3018,28080,3092,817,475,705604,7039,694148,7226,11456,2142,655137,7277,50467,4528,41224,3932,9243,2030,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175939,2151,61427,1757,60915,1824,512,453,54347,1891,7080,1500,6795,1373,285,355,114512,2306,111440,2945,3072,1542,99075,3013,15437,2094,12623,2046,2814,1504,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524523,6689,499076,6950,490757,6927,8319,1763,359402,7744,139674,6784,132206,6622,7468,1778,1025447,6881,981111,7543,44336,3955,724136,9882,301311,10557,260111,10446,41200,3987,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659918,5132,217002,4682,215850,4760,1152,707,189558,4954,27444,2543,26464,2385,980,711,442916,5148,435323,5222,7593,1856,390612,5911,52304,3681,45840,3441,6464,1806,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8721788,13757,2895155,11844,2836690,12163,58465,3649,1592431,19575,1302724,19455,1246864,18901,55860,3560,5826633,16339,5454278,19790,372355,11042,2847361,22913,2979272,24675,2619585,26048,359687,11289,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1197828,5419,392952,5065,387189,4907,5763,1264,307276,5451,85676,5368,80972,5220,4704,1153,804876,5990,775498,6697,29378,3327,619671,8621,185205,7742,161356,7185,23849,3290,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,744456,3956,221557,3312,215121,3242,6436,1467,166997,4548,54560,4134,48604,3958,5956,1416,522899,5009,498799,5286,24100,3271,402088,6745,120811,7169,100648,6501,20163,3027,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190578,2472,64487,2152,63922,2134,565,320,51562,2810,12925,1876,12360,1879,565,320,126091,2870,121590,3038,4501,1062,108164,3133,17927,1888,14186,1844,3741,1035,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,106942,1891,45895,1229,44144,1400,1751,961,33497,1992,12398,1769,10907,1660,1491,846,61047,1827,56429,2223,4618,1206,45271,2648,15776,2269,11601,2310,4175,1221,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3837835,12306,1242026,11463,1217047,11822,24979,3535,847248,13481,394778,10792,372043,10386,22735,3251,2595809,15152,2423820,15689,171989,8016,1733417,19121,862392,17875,699977,17272,162415,7746,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
