GEO_ID,B07011_001E,B07011_001M,B07011_002E,B07011_002M,B07011_003E,B07011_003M,B07011_004E,B07011_004M,B07011_005E,B07011_005M,B07011_006E,B07011_006M,NAME,B07011_001MA,B07011_001EA,B07011_002EA,B07011_002MA,B07011_003EA,B07011_003MA,B07011_004MA,B07011_004EA,B07011_005MA,B07011_005EA,B07011_006MA,B07011_006EA,state
0400000US01,22327,177,23329,311,17607,866,16325,1214,20085,1523,21972,11763,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31557,708,32978,1408,28470,2789,28443,8770,25800,2936,21782,7051,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,26070,234,26868,271,22928,946,16148,1084,23701,1943,15782,4208,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22179,253,23277,393,17209,779,14900,1467,17982,3620,17923,13031,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26997,102,27467,133,24437,524,22558,725,25916,1337,18379,2380,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30801,205,31907,244,25568,978,25306,1021,24797,1478,17995,4379,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33027,631,35019,508,26534,1184,20934,2391,24264,4936,20111,4924,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30173,491,30846,499,26047,1710,23184,3610,20503,3126,17793,9114,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40094,1389,41523,1098,36276,5473,-666666666,-222222222,30555,3444,21867,8429,District of Columbia,null,null,null,null,null,null,**,-,null,null,null,null,11
0400000US12,24405,158,25009,160,21572,317,20965,652,23888,1081,16353,1390,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,25371,216,26276,233,20365,580,20371,1009,21794,1345,23002,2735,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31072,326,31371,331,29774,2692,32328,8531,27125,2775,17374,8087,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23448,461,24858,556,19128,1913,14663,2179,16642,1788,16299,5632,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29006,286,30080,176,24578,893,20970,772,25145,1675,16610,2222,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,25800,186,26941,202,19006,779,17500,1366,19818,1177,12990,3226,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,28060,467,30253,239,21295,785,16198,1241,17496,1686,14759,3613,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,27139,271,29464,419,21138,745,16917,1274,19820,1998,13549,5859,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22657,348,24194,408,17297,735,16105,832,17420,1461,22996,4847,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24022,374,24727,386,20472,872,17261,1951,22226,2000,20119,5281,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25294,401,26186,446,20320,1500,13626,2558,20218,2513,8633,2844,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35342,294,36272,330,29245,1779,31213,1433,30505,1899,21398,4295,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,31763,184,32625,412,25554,1205,28684,3217,21345,1345,16464,1749,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,25360,168,26410,177,19101,704,16866,604,22486,2088,18285,5008,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,31035,159,32236,193,23738,1203,21743,829,19224,1781,15316,3289,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,21458,262,22024,286,17262,842,16414,1593,17442,3678,10685,2182,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,25251,214,26396,219,20218,575,15987,878,20079,1470,14596,4353,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24232,507,25795,437,18612,1733,14800,1923,16740,2626,15884,6422,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,27289,253,29547,553,21262,936,16650,1223,21315,1698,14326,8162,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,26900,301,27944,612,23738,963,16335,3739,22013,1310,14575,13470,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,31326,382,32431,545,23210,2447,21056,2518,25533,3464,18418,17796,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,32683,457,33472,458,28259,1877,31378,1355,32282,3664,20216,4407,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,22588,448,23659,492,17133,1440,15187,3036,21178,1828,9498,3565,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,29429,252,30155,154,25232,500,21280,824,24284,2227,21786,2639,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,24914,208,25707,179,20530,455,18415,1519,23008,1404,16746,2895,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,30609,457,32039,614,25824,1601,23695,3894,17016,2185,10814,2875,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,25936,143,27136,163,19747,661,17415,880,18498,1861,14559,4452,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
