GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001EA,C15002I_001MA,C15002I_002MA,C15002I_002EA,C15002I_003MA,C15002I_003EA,C15002I_004EA,C15002I_004MA,C15002I_005EA,C15002I_005MA,C15002I_006MA,C15002I_006EA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010EA,C15002I_010MA,C15002I_011EA,C15002I_011MA,state
0400000US01,99416,3110,52912,2336,23124,2516,11712,1744,9777,1721,8299,1682,46504,1909,18060,1693,10637,1450,9960,1720,7847,1351,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24891,814,13053,777,1659,645,3404,1065,5821,1214,2169,699,11838,625,1472,621,3209,934,5166,873,1991,712,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1084292,1204,536177,1016,193708,6771,155413,6489,129352,5537,57704,4449,548115,729,181692,5698,139879,6087,157627,5839,68917,3984,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,98960,2015,53082,1731,26539,2252,14129,2125,8537,1592,3877,1046,45878,1767,21220,2068,12784,1580,7346,1343,4528,1047,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8356891,1575,4158717,1460,1653441,18223,1109952,14129,956099,14300,439225,10692,4198174,1205,1597514,12886,1007178,13035,1082470,14398,511012,11600,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,611256,2081,308774,1879,104278,4746,89600,4605,75225,4162,39671,3117,302482,1294,85334,4572,89775,4812,84109,3907,43264,3289,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,300783,1336,147658,1288,44014,3511,53350,3944,27459,3178,22835,2611,153125,765,41461,3070,46017,3046,38309,2575,27338,2324,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42404,576,21452,371,7653,1256,6857,1259,4633,1222,2309,734,20952,418,6659,1075,4445,1116,5416,1109,4432,1094,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,43966,-555555555,22844,-555555555,7862,1338,3208,895,2391,1011,9383,1262,21122,-555555555,6187,1266,3109,955,2766,1047,9060,1141,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3101324,4168,1500210,3302,350852,10276,455797,12087,383526,10468,310035,10219,1601114,2835,334911,9436,448062,10963,458717,9279,359424,10324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
