B17020F_017M,GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017MA,NAME,B17020F_001MA,B17020F_001EA,B17020F_002MA,B17020F_002EA,B17020F_003MA,B17020F_003EA,B17020F_004EA,B17020F_004MA,B17020F_005MA,B17020F_005EA,B17020F_006MA,B17020F_006EA,B17020F_007MA,B17020F_007EA,B17020F_008MA,B17020F_008EA,B17020F_009MA,B17020F_009EA,B17020F_010MA,B17020F_010EA,B17020F_011MA,B17020F_011EA,B17020F_012MA,B17020F_012EA,B17020F_013MA,B17020F_013EA,B17020F_014EA,B17020F_014MA,B17020F_015EA,B17020F_015MA,B17020F_016MA,B17020F_016EA,B17020F_017EA,state
196,0400000US01,68587,6659,27974,5544,4339,1122,5852,1636,4111,1244,13246,2855,426,409,0,189,0,189,40613,5188,5784,1933,6048,1326,3172,1102,24279,3037,933,464,271,213,126,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
384,0400000US04,423627,21246,125150,13201,18866,3598,16031,2246,17818,3068,63943,7078,6457,1580,1817,761,218,190,298477,17548,23671,3537,25558,3773,28862,3148,195627,13007,20580,2294,3390,776,789,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
190,0400000US05,49373,5640,13627,2579,2377,1213,1814,696,1518,773,7292,1544,484,494,142,204,0,190,35746,5533,4033,1236,5044,1453,3366,1034,21753,3295,1331,585,219,223,0,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2010,0400000US06,5016409,53814,1216457,36628,171050,9099,176074,8423,155782,8108,637091,20253,55690,4247,15545,2293,5225,1120,3799952,49754,312892,11203,335182,10364,341149,10278,2468640,31591,265383,9046,58856,4400,17850,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
216,0400000US08,213218,14355,49973,8003,5867,1732,8818,2590,6355,1674,25597,3817,2608,965,690,418,38,72,163245,12660,11895,2174,15249,2824,16127,2996,103742,7113,13688,2016,2141,660,403,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
280,0400000US09,190868,11842,54597,7138,5396,1602,6269,1863,7444,1779,30508,3711,3518,924,1288,563,174,204,136271,10325,11674,2107,11936,1963,13954,2427,91636,7434,5505,1331,1167,613,399,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
185,0400000US10,20287,3417,4878,2318,1344,995,109,136,762,598,2551,1095,41,68,71,113,0,185,15409,3197,891,570,1292,809,1491,856,10669,2057,919,398,147,131,0,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
198,0400000US11,28209,4667,5830,2524,1188,1124,224,296,518,601,3379,1325,0,198,521,540,0,198,22379,4418,1937,831,2466,1091,844,373,16607,3243,422,327,103,99,0,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1200,0400000US12,481684,24923,122733,11769,14689,2946,16213,3360,14389,2554,67181,6680,7994,1736,1392,574,875,810,358951,18539,28463,3794,24393,2957,26316,3972,239782,14060,31346,3889,5165,1055,3486,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
138,0400000US13,275936,16164,87557,9606,16739,2706,18677,3012,11438,2416,39351,4991,1231,723,121,146,0,211,188379,15885,19318,3921,21444,3667,18298,3047,123400,9455,5173,1254,633,490,113,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
