GEO_ID,B17006_001E,B17006_001M,B17006_002E,B17006_002M,B17006_003E,B17006_003M,B17006_004E,B17006_004M,B17006_005E,B17006_005M,B17006_006E,B17006_006M,B17006_007E,B17006_007M,B17006_008E,B17006_008M,B17006_009E,B17006_009M,B17006_010E,B17006_010M,B17006_011E,B17006_011M,B17006_012E,B17006_012M,B17006_013E,B17006_013M,B17006_014E,B17006_014M,B17006_015E,B17006_015M,B17006_016E,B17006_016M,B17006_017E,B17006_017M,B17006_018E,B17006_018M,B17006_019E,B17006_019M,B17006_020E,B17006_020M,B17006_021E,B17006_021M,B17006_022E,B17006_022M,B17006_023E,B17006_023M,B17006_024E,B17006_024M,B17006_025E,B17006_025M,B17006_026E,B17006_026M,B17006_027E,B17006_027M,B17006_028E,B17006_028M,B17006_029E,B17006_029M,NAME,B17006_001EA,B17006_001MA,B17006_002EA,B17006_002MA,B17006_003EA,B17006_003MA,B17006_004EA,B17006_004MA,B17006_005EA,B17006_005MA,B17006_006MA,B17006_006EA,B17006_007EA,B17006_007MA,B17006_008EA,B17006_008MA,B17006_009EA,B17006_009MA,B17006_010EA,B17006_010MA,B17006_011MA,B17006_011EA,B17006_012EA,B17006_012MA,B17006_013EA,B17006_013MA,B17006_014EA,B17006_014MA,B17006_015EA,B17006_015MA,B17006_016MA,B17006_016EA,B17006_017EA,B17006_017MA,B17006_018EA,B17006_018MA,B17006_019EA,B17006_019MA,B17006_020EA,B17006_020MA,B17006_021MA,B17006_021EA,B17006_022MA,B17006_022EA,B17006_023EA,B17006_023MA,B17006_024EA,B17006_024MA,B17006_025EA,B17006_025MA,B17006_026MA,B17006_026EA,B17006_027MA,B17006_027EA,B17006_028EA,B17006_028MA,B17006_029EA,B17006_029MA,state
0400000US01,1089203,4318,299717,11981,74290,6849,21986,2980,4565,1121,47739,4842,225427,9996,21789,3923,6503,1828,1003,551,14283,2755,203638,9802,60469,4554,12416,2039,130753,7346,789486,12446,594399,11647,151078,5429,29481,2513,413840,8806,195087,8791,49238,5235,14614,2622,2480,919,32144,4017,145849,7826,31534,3737,8312,1944,106003,6334,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181335,1301,27741,4026,9655,2614,2895,1077,720,334,6040,1748,18086,3662,5001,2367,1988,862,561,395,2452,1256,13085,2787,4220,1049,959,422,7906,2069,153594,4103,117836,4643,33463,2140,6542,1065,77831,3781,35758,3427,12805,2262,3918,1119,612,432,8275,1823,22953,2747,5163,1052,998,501,16792,2174,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1582138,4979,398754,13572,153923,10429,47416,4803,9248,1817,97259,7380,244831,11785,47172,7143,16301,2967,3296,1151,27575,4491,197659,11012,56024,4244,13513,2281,128122,7417,1183384,12685,861631,16502,224779,6503,49482,3961,587370,13215,321753,13784,103713,8966,27723,3773,5057,991,70933,7382,218040,11614,50360,4340,10227,1695,157453,8821,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,690979,3064,179355,7719,57576,6257,16899,2160,2917,850,37760,4824,121779,6767,15148,2786,4312,1421,1528,818,9308,2101,106631,6590,35261,3812,6229,1235,65141,5403,511624,8268,373051,9735,99801,4266,18618,2217,254632,8597,138573,7617,40755,4795,8716,1699,2774,1205,29265,4089,97818,7155,22595,2848,4766,1328,70457,5241,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8971545,8728,2007029,34959,838355,28614,232984,10098,47741,4211,557630,20450,1168674,32317,203101,13410,68965,6352,9579,1648,124557,9650,965573,29777,276201,13508,55355,3680,634017,19792,6964516,33927,5247720,37593,1475757,16696,286053,7878,3485910,26901,1716796,30571,572423,19483,160261,8709,30754,3232,381408,13768,1144373,24742,257649,9400,53127,3799,833597,18878,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1225855,3566,185393,10854,71355,7185,20464,2858,4999,1125,45892,5328,114038,8989,17659,3916,3910,1520,1258,827,12491,3038,96379,8121,28719,3350,6617,1483,61043,5818,1040462,10348,792653,11925,223930,5120,47617,3389,521106,9836,247809,10334,88579,6014,17679,2040,3781,1004,67119,5033,159230,9178,33767,3604,7989,1678,117474,7006,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,760234,2610,109751,8219,25549,3356,6034,1472,1058,497,18457,2619,84202,7747,11381,3011,4412,1794,894,575,6075,1754,72821,7149,20851,2446,4343,1216,47627,5526,650483,8190,486194,9179,120687,4036,24028,2497,341479,7337,164289,8817,40641,4212,9957,2226,2301,833,28383,3104,123648,7615,23880,2433,6316,1245,93452,6473,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,199693,1537,34966,4438,7595,1804,2708,933,244,167,4643,1437,27371,4373,4238,1985,1510,672,390,440,2338,1142,23133,3933,7060,1814,1639,687,14434,2728,164727,4079,113136,4965,31027,1952,6894,1448,75215,4208,51591,4119,11887,2530,2873,1019,910,533,8104,1801,39704,3728,9815,1573,2143,891,27746,3096,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112798,663,29202,4168,3511,1773,2019,1296,45,73,1447,982,25691,3802,3067,2197,1326,921,0,198,1741,1354,22624,3519,6895,1590,947,577,14782,2725,83596,3989,49673,3627,22115,1982,2281,740,25277,2610,33923,4196,5181,1495,1714,778,140,168,3327,1042,28742,3885,8087,1743,1701,782,18954,2760,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3969591,7560,933030,26891,289274,14135,82989,6022,20100,2714,186185,10789,643756,20663,92145,8164,31520,4949,5367,1259,55258,5573,551611,18752,163328,7907,28581,3209,359702,14720,3036561,28963,2151721,31246,568121,12956,114530,7208,1469070,24658,884840,25558,243643,13953,72451,6860,14956,2495,156236,10577,641197,20908,140373,8735,31039,3809,469785,15770,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
