GEO_ID,C22001_001E,C22001_001M,C22001_002E,C22001_002M,C22001_003E,C22001_003M,NAME,C22001_001EA,C22001_001MA,C22001_002EA,C22001_002MA,C22001_003EA,C22001_003MA,state
0400000US01,1841217,10615,291541,7605,1549676,11705,Alabama,null,null,null,null,null,null,01
0400000US02,249659,2978,25706,2164,223953,2943,Alaska,null,null,null,null,null,null,02
0400000US04,2428743,11353,319186,8149,2109557,11660,Arizona,null,null,null,null,null,null,04
0400000US05,1131288,8373,162566,6284,968722,8834,Arkansas,null,null,null,null,null,null,05
0400000US06,12758648,18835,1215985,15746,11542663,23070,California,null,null,null,null,null,null,06
0400000US08,2039592,7530,180821,7528,1858771,10282,Colorado,null,null,null,null,null,null,08
0400000US09,1355817,6673,173126,6013,1182691,7961,Connecticut,null,null,null,null,null,null,09
0400000US10,349743,3705,45168,3051,304575,4290,Delaware,null,null,null,null,null,null,10
0400000US11,277378,3304,39035,3220,238343,3885,District of Columbia,null,null,null,null,null,null,11
0400000US12,7328046,25793,1085932,16173,6242114,26433,Florida,null,null,null,null,null,null,12
0400000US13,3587521,13961,561503,11199,3026018,15057,Georgia,null,null,null,null,null,null,13
0400000US15,450769,4870,52767,3025,398002,5425,Hawaii,null,null,null,null,null,null,15
0400000US16,591587,4733,69813,3862,521774,5737,Idaho,null,null,null,null,null,null,16
0400000US17,4772421,12392,652676,10710,4119745,15361,Illinois,null,null,null,null,null,null,17
0400000US18,2502739,10912,319564,8077,2183175,12964,Indiana,null,null,null,null,null,null,18
0400000US19,1241471,6257,148202,4724,1093269,7697,Iowa,null,null,null,null,null,null,19
0400000US20,1109280,6429,105827,4287,1003453,7882,Kansas,null,null,null,null,null,null,20
0400000US21,1712094,8632,299485,7728,1412609,9654,Kentucky,null,null,null,null,null,null,21
0400000US22,1718194,10232,269670,7876,1448524,10900,Louisiana,null,null,null,null,null,null,22
0400000US23,549841,5205,92714,3732,457127,5122,Maine,null,null,null,null,null,null,23
0400000US24,2165438,8230,250157,6355,1915281,9810,Maryland,null,null,null,null,null,null,24
0400000US25,2549336,9145,330851,8985,2218485,10085,Massachusetts,null,null,null,null,null,null,25
0400000US26,3834574,12574,619562,10460,3215012,14089,Michigan,null,null,null,null,null,null,26
0400000US27,2129195,6975,196307,5811,1932888,8571,Minnesota,null,null,null,null,null,null,27
0400000US28,1095823,8793,198057,6209,897766,9759,Mississippi,null,null,null,null,null,null,28
0400000US29,2354809,12290,300928,7444,2053881,13276,Missouri,null,null,null,null,null,null,29
0400000US30,410962,3391,45809,2975,365153,4581,Montana,null,null,null,null,null,null,30
0400000US31,740765,3795,69443,3406,671322,5185,Nebraska,null,null,null,null,null,null,31
0400000US32,1021519,6553,125987,4842,895532,7052,Nevada,null,null,null,null,null,null,32
0400000US33,519756,4605,41237,3236,478519,4791,New Hampshire,null,null,null,null,null,null,33
0400000US34,3194844,10719,294957,7658,2899887,11987,New Jersey,null,null,null,null,null,null,34
0400000US35,760916,6897,118280,4584,642636,7169,New Mexico,null,null,null,null,null,null,35
0400000US36,7282398,15877,1135978,16136,6146420,22600,New York,null,null,null,null,null,null,36
0400000US37,3790620,14716,545796,10710,3244824,16457,North Carolina,null,null,null,null,null,null,37
0400000US38,305431,3533,25033,2409,280398,4272,North Dakota,null,null,null,null,null,null,38
0400000US39,4593172,13994,686590,10073,3906582,15144,Ohio,null,null,null,null,null,null,39
0400000US40,1459759,5575,201345,5092,1258414,6872,Oklahoma,null,null,null,null,null,null,40
0400000US41,1535511,6674,290484,7936,1245027,9732,Oregon,null,null,null,null,null,null,41
0400000US42,4945972,12878,644930,10452,4301042,13152,Pennsylvania,null,null,null,null,null,null,42
0400000US44,409654,3327,71530,3916,338124,4725,Rhode Island,null,null,null,null,null,null,44
0400000US45,1826914,10151,261770,8700,1565144,11322,South Carolina,null,null,null,null,null,null,45
0400000US46,334475,2656,36621,2674,297854,3616,South Dakota,null,null,null,null,null,null,46
0400000US47,2509665,11315,441196,9213,2068469,12907,Tennessee,null,null,null,null,null,null,47
0400000US48,9277197,22719,1219570,17434,8057627,25481,Texas,null,null,null,null,null,null,48
0400000US49,918370,4666,74801,4847,843569,7113,Utah,null,null,null,null,null,null,49
0400000US50,257229,3177,36791,2218,220438,3217,Vermont,null,null,null,null,null,null,50
0400000US51,3083820,12955,304111,8655,2779709,15087,Virginia,null,null,null,null,null,null,51
0400000US53,2679601,9916,377963,7624,2301638,11465,Washington,null,null,null,null,null,null,53
0400000US54,735375,6298,120486,4866,614889,6008,West Virginia,null,null,null,null,null,null,54
0400000US55,2307685,7753,302988,6543,2004697,9444,Wisconsin,null,null,null,null,null,null,55
0400000US56,232594,2987,15496,2155,217098,3557,Wyoming,null,null,null,null,null,null,56
0400000US72,1233490,9061,477030,9463,756460,9484,Puerto Rico,null,null,null,null,null,null,72
