C08006_027E,C08006_027M,C08006_028E,C08006_028M,C08006_029E,C08006_029M,C08006_030E,C08006_030M,C08006_031E,C08006_031M,C08006_032E,C08006_032M,C08006_033E,C08006_033M,C08006_034E,C08006_034M,C08006_035E,C08006_035M,C08006_036E,C08006_036M,GEO_ID,C08006_001E,C08006_001M,C08006_002E,C08006_002M,C08006_003E,C08006_003M,C08006_004E,C08006_004M,C08006_005E,C08006_005M,C08006_006E,C08006_006M,C08006_007E,C08006_007M,C08006_008E,C08006_008M,C08006_009E,C08006_009M,C08006_010E,C08006_010M,C08006_011E,C08006_011M,C08006_012E,C08006_012M,C08006_013E,C08006_013M,C08006_014E,C08006_014M,C08006_015E,C08006_015M,C08006_016E,C08006_016M,C08006_017E,C08006_017M,C08006_018E,C08006_018M,C08006_019E,C08006_019M,C08006_020E,C08006_020M,C08006_021E,C08006_021M,C08006_022E,C08006_022M,C08006_023E,C08006_023M,C08006_024E,C08006_024M,C08006_025E,C08006_025M,C08006_026E,C08006_026M,C08006_027EA,C08006_027MA,C08006_028MA,C08006_028EA,C08006_029MA,C08006_029EA,C08006_030EA,C08006_030MA,C08006_031EA,C08006_031MA,C08006_032EA,C08006_032MA,C08006_033MA,C08006_033EA,C08006_034MA,C08006_034EA,C08006_035EA,C08006_035MA,C08006_036EA,C08006_036MA,NAME,C08006_001MA,C08006_001EA,C08006_002MA,C08006_002EA,C08006_003MA,C08006_003EA,C08006_004EA,C08006_004MA,C08006_005EA,C08006_005MA,C08006_006MA,C08006_006EA,C08006_007MA,C08006_007EA,C08006_008MA,C08006_008EA,C08006_009EA,C08006_009MA,C08006_010EA,C08006_010MA,C08006_011MA,C08006_011EA,C08006_012MA,C08006_012EA,C08006_013MA,C08006_013EA,C08006_014EA,C08006_014MA,C08006_015EA,C08006_015MA,C08006_016EA,C08006_016MA,C08006_017MA,C08006_017EA,C08006_018MA,C08006_018EA,C08006_019EA,C08006_019MA,C08006_020EA,C08006_020MA,C08006_021EA,C08006_021MA,C08006_022MA,C08006_022EA,C08006_023MA,C08006_023EA,C08006_024EA,C08006_024MA,C08006_025EA,C08006_025MA,C08006_026EA,C08006_026MA,state
819250,11132,79419,5437,62103,4399,10333,2037,6983,1569,4574,1195,1042,683,10198,1809,6453,1505,27037,2022,0400000US01,2007426,13350,1896105,13284,1724178,15545,171927,8594,135747,7189,22188,3155,13992,2452,8276,1749,3406,1293,22961,2749,19445,2357,57233,3661,1059453,9644,997436,9574,904928,10347,92508,4944,73644,4461,11855,2186,7009,1487,3702,1155,2364,1062,12763,1966,12992,1646,30196,2603,947973,9784,898669,9520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
108693,4158,21114,2242,16240,2072,3282,670,1592,497,1576,695,960,493,11454,1605,4737,947,7705,1391,0400000US02,359211,5456,292702,6256,249481,6163,43221,3223,32695,2995,6106,1030,4420,955,4703,1196,3281,875,28730,2125,15880,1733,13915,1891,202972,3602,162895,4165,140788,4044,22107,2052,16455,1896,2824,717,2828,824,3127,952,2321,727,17276,1387,11143,1367,6210,1273,156239,3948,129807,4151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1012991,12142,135215,6163,107160,5427,18617,2039,9438,1471,26605,3197,8315,1336,24942,2689,15393,2045,80192,4368,0400000US04,2831592,19395,2473991,20790,2178267,17614,295724,9385,226537,8491,42344,4026,26843,2635,57615,5086,30757,3177,56505,4206,51071,4782,161653,6371,1527939,12401,1325785,12883,1165276,11435,160509,6949,119377,5846,23727,3229,17405,2172,31010,3439,22442,2893,31563,3028,35678,4230,81461,4475,1303653,13310,1148206,13488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
483549,9288,62630,4397,47555,3985,10143,1954,4932,1108,1852,720,195,177,10093,1798,3629,733,20175,2275,0400000US05,1249674,12677,1167393,13710,1031366,13889,136027,7210,103591,6737,20496,2749,11940,1999,4072,1177,2850,977,22173,2425,11811,1575,41375,3177,667551,8368,621214,9288,547817,9443,73397,4415,56036,4216,10353,2008,7008,1581,2220,749,2655,945,12080,1706,8182,1325,21200,2289,582123,9160,546179,9538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
5734111,30817,817910,15005,621220,13327,120214,5149,76476,5337,448097,10904,51944,3973,219762,6869,85969,4608,468228,10386,0400000US06,17254926,40650,14492352,48320,12679198,45211,1813154,27870,1353734,24439,267271,8669,192149,8913,914442,15685,199799,7924,467779,12033,249579,9433,930975,16361,9428905,26053,7940331,32643,6945087,31126,995244,18531,732514,15563,147057,6290,115673,6356,466345,10817,147855,7218,248017,9090,163610,7250,462747,9942,7826021,29988,6552021,33101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
939158,11484,108882,5719,84306,5060,15660,1836,8916,1523,38929,2953,12358,1420,30088,2754,7795,1494,90101,5188,0400000US08,2681200,13178,2285885,14475,2027739,15432,258146,10065,194004,8466,37362,3703,26780,3650,88355,4521,35879,3088,71357,4702,25371,2600,174353,6876,1453889,9774,1237845,11152,1088581,10867,149264,6516,109698,5395,21702,3312,17864,2956,49426,3329,23521,2622,41269,3356,17576,2161,84252,4295,1227311,8978,1048040,10071,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
669544,7971,66555,4519,54343,3839,7306,1467,4906,1126,40102,2827,1811,641,24236,2530,5326,1121,40235,2929,0400000US09,1765420,11499,1521932,12831,1379348,12794,142584,7540,113179,6715,16086,2139,13319,2353,84731,4188,5742,1042,55459,3966,15962,2364,81594,4474,917611,7939,785833,9056,709804,8492,76029,5046,58836,4404,8780,1690,8413,1787,44629,3468,3931,933,31223,3154,10636,1776,41359,3043,847809,7713,736099,7940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
173166,4836,17394,2092,14288,1993,1881,751,1225,495,6439,1509,131,136,5248,1377,1685,722,10093,1466,0400000US10,434766,5852,387482,6764,354350,7480,33132,3564,26357,3218,4600,1392,2175,680,12635,2056,1056,489,9709,1867,4597,1269,19287,2306,220610,3955,196922,4461,181184,4641,15738,2328,12069,1925,2719,1041,950,463,6196,1378,925,482,4461,1140,2912,1074,9194,1457,214156,4298,190560,4882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
60223,3810,10918,1554,8605,1507,1724,566,589,395,67833,4395,5432,1003,22354,2154,1920,635,8668,1517,0400000US11,343062,5802,139694,6071,120528,5465,19166,2155,14644,1684,3486,928,1036,899,123707,5492,13330,1709,44965,3413,4354,998,17012,2053,165714,3554,68553,4103,60305,3923,8248,1433,6039,944,1762,708,447,682,55874,3462,7898,1200,22611,2759,2434,822,8344,1456,177348,4230,71141,4049,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3297585,22537,372591,10337,296649,9558,49557,3778,26385,2394,94139,5386,14688,2375,54966,4130,38979,3910,221473,7630,0400000US12,8636223,32707,7669644,34401,6886539,35014,783105,17887,602635,15585,104002,7005,76468,6068,179401,7747,64307,5364,124298,5666,132712,7821,465861,12632,4541802,23123,3999468,24905,3588954,25971,410514,11393,305986,9742,54445,4802,50083,5187,85262,5632,49619,4421,69332,4347,93733,6342,244388,9733,4094421,20834,3670176,22352,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
