GEO_ID,C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,NAME,C17001H_001EA,C17001H_001MA,C17001H_002MA,C17001H_002EA,C17001H_003MA,C17001H_003EA,C17001H_004EA,C17001H_004MA,C17001H_005EA,C17001H_005MA,C17001H_006EA,C17001H_006MA,C17001H_007MA,C17001H_007EA,C17001H_008MA,C17001H_008EA,C17001H_009EA,C17001H_009MA,C17001H_010EA,C17001H_010MA,C17001H_011EA,C17001H_011MA,C17001H_012MA,C17001H_012EA,C17001H_013MA,C17001H_013EA,C17001H_014MA,C17001H_014EA,C17001H_015EA,C17001H_015MA,C17001H_016EA,C17001H_016MA,C17001H_017EA,C17001H_017MA,C17001H_018MA,C17001H_018EA,C17001H_019MA,C17001H_019EA,state
0400000US01,3137929,3452,424912,15852,184929,9132,55488,4213,111500,6658,17941,1889,239983,9320,51871,4463,153712,6040,34400,2418,2713017,16553,1349208,9489,271588,4320,839744,7010,237876,1925,1363809,9779,258244,4707,822783,6246,282782,2866,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,446614,1136,30523,3935,14277,2220,3432,874,10002,1776,843,429,16246,2249,3467,993,11823,1641,956,378,416091,4186,221636,2537,43784,1225,152361,1809,25491,512,194455,2319,41332,1039,129348,1736,23775,391,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3706108,3595,423031,16923,196442,9325,44388,4884,128731,6007,23323,2358,226589,10228,40333,4840,148637,7029,37619,2601,3283077,16733,1624334,9953,285487,5157,961773,6375,377074,2652,1658743,9841,273487,4638,962931,7077,422325,2705,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2121875,2425,308229,13581,135252,7759,44008,4229,79970,5496,11274,1431,172977,7553,38812,4049,110231,5291,23934,2627,1813646,13665,905756,7712,186444,4079,552506,5468,166806,1569,907890,7624,177186,4267,539886,5041,190818,2659,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14578622,9497,1524613,27375,711234,16429,130325,7848,501663,13551,79246,4676,813379,16531,120937,6753,549465,11553,142977,5185,13054009,28913,6542838,16895,1081864,7552,4224195,13906,1236779,4688,6511171,18046,1026965,7441,4037869,12673,1446337,5652,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3615653,2928,313853,12630,149174,7459,29741,3026,106593,5686,12840,1558,164679,7408,26154,3062,118876,5605,19649,2012,3301800,13365,1655255,7969,331977,3590,1080278,6231,243000,1636,1646545,7863,311187,3482,1052493,5751,282865,2249,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2395725,3276,145639,8514,62509,5003,12763,2152,40844,3425,8902,1425,83130,4912,11882,2298,53584,3274,17664,1983,2250086,8815,1104234,5148,212861,2442,699717,3809,191656,1627,1145852,5527,202771,2420,704926,3761,238155,2060,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,581033,1353,51600,5297,22103,2747,5453,1619,13759,2083,2891,753,29497,3367,4660,1200,20345,2284,4492,1180,529433,5260,259119,2893,47002,1565,159763,2240,52354,790,270314,3378,45554,1224,162921,2293,61839,1239,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,221686,1546,15287,2071,7189,1362,89,151,6644,1357,456,251,8098,1713,304,273,6881,1499,913,527,206399,2695,103861,1576,12231,211,80968,1563,10662,331,102538,2121,11503,350,79125,1799,11910,695,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10837144,8988,1246403,32115,557579,17539,127066,8626,351891,12214,78622,4171,688824,19046,122793,6983,430643,12406,135388,5936,9590741,36482,4734703,18677,753840,9488,2762701,12595,1218162,4074,4856038,21978,721093,8384,2756657,13472,1378288,6306,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
