GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001MA,B09010_001EA,B09010_002EA,B09010_002MA,B09010_003EA,B09010_003MA,B09010_004EA,B09010_004MA,B09010_005MA,B09010_005EA,B09010_006MA,B09010_006EA,B09010_007EA,B09010_007MA,B09010_008EA,B09010_008MA,B09010_009EA,B09010_009MA,B09010_010EA,B09010_010MA,B09010_011MA,B09010_011EA,B09010_012MA,B09010_012EA,B09010_013EA,B09010_013MA,state
0400000US01,1106075,2615,375436,12965,374148,13000,125719,8376,27100,4093,221329,10421,1288,576,730639,12753,726183,12931,548634,11279,46291,4865,131258,7763,4456,1889,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,186070,516,47014,3804,46611,3833,20689,3117,8039,2585,17883,3288,403,261,139056,3853,137614,3868,108011,4317,10503,2160,19100,2789,1442,843,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1620044,1473,511853,16157,505520,16404,214376,13319,64596,7614,226548,12753,6333,3024,1108191,16126,1098008,15512,808814,16872,93565,8051,195629,12391,10183,2337,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,702842,2535,211323,10413,209058,10313,74643,6540,19862,3135,114553,8913,2265,1116,491519,10553,488194,10570,358663,10397,38151,4533,91380,6540,3325,1221,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9126120,2826,2483303,33782,2466158,34271,1183680,28319,252385,15618,1030093,29023,17145,2986,6642817,33635,6603501,33836,4949772,34825,543608,20166,1110121,25554,39316,4663,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1244697,1894,257652,12965,256387,12871,123712,10215,24764,4794,107911,7827,1265,624,987045,12810,980832,12675,746770,13130,83939,5912,150123,8594,6213,1584,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,772477,745,173880,7411,172072,7585,53356,5691,16865,3123,101851,7048,1808,934,598597,7373,596075,7395,462325,8904,36937,4466,96813,6907,2522,883,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203140,678,56985,4730,56564,4720,16937,3150,5727,1952,33900,4447,421,455,146155,4708,144745,4562,104479,4537,10718,2774,29548,3496,1410,1334,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114261,360,42192,4100,42019,4099,6695,2188,4144,2241,31180,3501,173,172,72069,4182,71956,4207,46978,3513,4245,1422,20733,3372,113,136,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4042461,2673,1348619,30736,1335094,31154,544208,22403,135695,9610,655191,20685,13525,3135,2693842,30038,2676369,30579,1913554,28344,212565,13224,550250,21045,17473,3135,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
