GEO_ID,B28009F_001E,B28009F_001M,B28009F_002E,B28009F_002M,B28009F_003E,B28009F_003M,B28009F_004E,B28009F_004M,B28009F_005E,B28009F_005M,B28009F_006E,B28009F_006M,NAME,B28009F_001EA,B28009F_001MA,B28009F_002MA,B28009F_002EA,B28009F_003MA,B28009F_003EA,B28009F_004MA,B28009F_004EA,B28009F_005EA,B28009F_005MA,B28009F_006EA,B28009F_006MA,state
0400000US01,68832,6678,51974,6921,0,189,34205,5739,17769,5535,16858,5111,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8920,2107,8402,2083,0,145,6732,1919,1670,1504,518,310,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,426179,21164,372475,20066,927,758,310426,19145,61122,8438,53704,7083,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49933,5810,44331,6011,151,206,37825,5990,6355,2473,5602,1914,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5025071,53813,4437235,59144,46116,8872,3704524,56681,686595,29389,587836,26075,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,214421,14357,188909,13000,5765,2790,150993,12082,32151,6908,25512,4819,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189645,11713,166781,11662,1056,1061,142246,12322,23479,5906,22864,5544,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20858,3497,15174,3074,0,185,13158,3091,2016,1528,5684,2396,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28252,4657,19616,3925,1678,1897,16070,3983,1868,1118,8636,3046,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,483003,24667,413084,21174,1007,554,348464,18280,63613,8859,69919,11957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,277417,16213,236142,15363,1634,1622,191609,14631,42899,7477,41275,7642,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12127,2338,11271,2324,0,181,10102,2177,1169,727,856,421,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
