GEO_ID,C17023_001E,C17023_001M,C17023_002E,C17023_002M,C17023_003E,C17023_003M,C17023_004E,C17023_004M,C17023_005E,C17023_005M,C17023_006E,C17023_006M,C17023_007E,C17023_007M,C17023_008E,C17023_008M,C17023_009E,C17023_009M,C17023_010E,C17023_010M,C17023_011E,C17023_011M,C17023_012E,C17023_012M,C17023_013E,C17023_013M,C17023_014E,C17023_014M,C17023_015E,C17023_015M,C17023_016E,C17023_016M,C17023_017E,C17023_017M,C17023_018E,C17023_018M,C17023_019E,C17023_019M,C17023_020E,C17023_020M,C17023_021E,C17023_021M,C17023_022E,C17023_022M,C17023_023E,C17023_023M,NAME,C17023_001MA,C17023_001EA,C17023_002MA,C17023_002EA,C17023_003EA,C17023_003MA,C17023_004EA,C17023_004MA,C17023_005EA,C17023_005MA,C17023_006MA,C17023_006EA,C17023_007MA,C17023_007EA,C17023_008EA,C17023_008MA,C17023_009EA,C17023_009MA,C17023_010EA,C17023_010MA,C17023_011MA,C17023_011EA,C17023_012MA,C17023_012EA,C17023_013MA,C17023_013EA,C17023_014EA,C17023_014MA,C17023_015EA,C17023_015MA,C17023_016EA,C17023_016MA,C17023_017MA,C17023_017EA,C17023_018MA,C17023_018EA,C17023_019EA,C17023_019MA,C17023_020EA,C17023_020MA,C17023_021EA,C17023_021MA,C17023_022MA,C17023_022EA,C17023_023MA,C17023_023EA,state
0400000US01,1232515,11755,184841,6662,56254,3359,28834,2270,27420,2428,128587,5238,16420,2394,7736,1626,8684,1644,112167,5073,32750,2793,79417,4486,1047674,12321,813772,12248,535053,9409,278719,7319,233902,7177,61185,3606,38728,2766,22457,2638,172717,5819,103166,4338,69551,4354,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,12999,1612,4885,1020,1734,527,3151,859,8114,1333,2317,642,769,448,1548,536,5797,1159,621,236,5176,1142,152016,3662,119143,3424,65924,2737,53219,2721,32873,3004,12349,1870,5278,1073,7071,1313,20524,2120,9227,1261,11297,1507,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,209001,6363,88335,4279,36886,2832,51449,3525,120666,5231,25890,2940,9880,1608,16010,2445,94776,4191,23754,2271,71022,3987,1370480,13405,1052960,12543,674827,9839,378133,9519,317520,9464,108230,5859,59682,3735,48548,4353,209290,7098,115939,5134,93351,5326,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,104138,4501,38327,2962,18016,1982,20311,2355,65811,3452,9891,1758,3126,813,6765,1416,55920,2988,13560,1634,42360,3069,648074,9714,508201,9423,330621,8407,177580,6018,139873,5594,43661,3786,22852,2369,20809,2641,96212,4644,53218,3066,42994,3361,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1067419,13044,452770,11184,154265,5334,298505,9783,614649,11962,125277,5404,44299,2892,80978,4992,489372,11197,121143,4619,368229,10827,7694640,28159,5786373,25282,3320115,20614,2466258,19661,1908267,22054,646999,13474,385048,9640,261951,9542,1261268,16448,750970,11132,510298,13332,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,105560,4841,42865,3138,16370,2053,26495,2534,62695,4689,11365,2198,3638,1245,7727,1677,51330,4066,10287,1524,41043,3768,1209723,10079,962861,10575,566738,8969,396123,7005,246862,6362,87770,4684,40514,3053,47256,3341,159092,5547,77131,4394,81961,4377,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,66949,4874,19680,2501,9358,1708,10322,1607,47269,4219,8008,1771,1674,720,6334,1612,39261,3896,9071,1689,30190,3156,820314,9845,630993,9055,383963,6963,247030,6667,189321,5974,56763,3609,34520,3065,22243,2571,132558,5089,69656,3522,62902,3787,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,19733,2314,5763,1205,2496,709,3267,972,13970,2088,2502,749,989,621,1513,524,11468,1892,3003,767,8465,1582,213267,4508,159599,4060,106461,3289,53138,2960,53668,2749,15655,1986,9681,1608,5974,1226,38013,2417,20632,1735,17381,2080,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,16707,2102,2292,700,1002,390,1290,645,14415,1910,1704,674,901,560,803,471,12711,1772,3679,787,9032,1638,101157,3173,63952,3106,40696,2650,23256,1802,37205,2778,7792,1463,4987,997,2805,886,29413,2463,17513,1863,11900,1967,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,563761,13976,221565,8739,115877,6081,105688,5860,342196,9105,60354,4673,23665,2541,36689,3698,281842,7975,72343,3320,209499,7498,4129650,24086,3158538,24036,2166649,18316,991889,14134,971112,16358,293183,8421,174447,6053,118736,6715,677929,12957,393084,9314,284845,9937,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
