GEO_ID,C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,NAME,C14003_001EA,C14003_001MA,C14003_002MA,C14003_002EA,C14003_003MA,C14003_003EA,C14003_004MA,C14003_004EA,C14003_005EA,C14003_005MA,C14003_006EA,C14003_006MA,C14003_007EA,C14003_007MA,C14003_008MA,C14003_008EA,C14003_009MA,C14003_009EA,C14003_010EA,C14003_010MA,C14003_011EA,C14003_011MA,C14003_012EA,C14003_012MA,C14003_013MA,C14003_013EA,C14003_014MA,C14003_014EA,C14003_015MA,C14003_015EA,C14003_016EA,C14003_016MA,C14003_017EA,C14003_017MA,C14003_018EA,C14003_018MA,C14003_019MA,C14003_019EA,C14003_020MA,C14003_020EA,C14003_021EA,C14003_021MA,C14003_022EA,C14003_022MA,C14003_023MA,C14003_023EA,C14003_024EA,C14003_024MA,C14003_025MA,C14003_025EA,C14003_026EA,C14003_026MA,C14003_027EA,C14003_027MA,C14003_028MA,C14003_028EA,state
0400000US01,4678136,4604,1031006,12021,29025,3170,252712,7658,283071,8090,165254,3603,87946,4319,110512,5828,55237,4100,47249,3690,159574,6756,19257,2571,34348,2875,32877,2975,19623,2009,13623,2263,15726,1962,10764,1873,13356,1771,3487556,11185,71637,4202,17394,2073,5849,1658,6312,1393,36867,3069,219337,5687,549947,5880,2580213,5929,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,704965,1871,172812,3707,5217,931,44681,2341,45670,2398,26748,1261,11052,1292,16536,2183,10915,1599,11993,1648,23018,2905,2905,770,5442,1321,3793,792,2147,616,941,460,1179,550,3034,1121,3577,1025,509135,3968,13519,1553,2875,732,1085,567,920,414,9242,1615,45864,2719,99825,2437,335805,2594,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6482310,5280,1563581,11776,43769,3175,391718,7335,420562,8130,246046,3134,122403,4162,164683,5842,94933,4894,79467,4131,194083,9297,22873,1969,38085,3731,32267,3359,16433,1649,10844,1736,21295,3307,25318,2873,26968,2589,4724646,11228,116847,4681,26154,2919,8110,1685,10033,1896,51818,3625,302144,5985,775268,6434,3434272,6053,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2859437,3668,670651,10335,28503,2695,174250,5740,176437,5863,107270,2867,53974,2961,63963,4127,35925,3109,30329,2874,75603,5306,10974,2002,14963,2187,15320,2374,8309,1061,7583,1449,8316,1366,4379,1002,5759,1174,2113183,8336,43987,3384,10296,1750,3231,977,5668,1799,21651,2345,136328,5380,338005,4926,1554017,5523,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37329816,14378,9066600,31423,283563,8935,2221841,18822,2289937,18483,1397187,6940,731608,9460,1120559,14080,605310,11930,416595,10991,1464721,19691,213237,6771,250510,8177,203873,6478,120915,5788,101083,4949,209496,8681,200855,8578,164752,6415,26798495,29511,542208,11459,87187,4659,31336,2731,37101,3005,248117,7066,1585766,15082,4916759,15287,19350021,12821,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5156812,4098,1225155,13391,43946,3556,307030,7666,324517,7387,179995,3033,91738,3494,130360,6173,85741,5455,61828,3938,179363,7701,27183,2431,33571,3031,29133,2898,13970,1613,9888,1895,23726,2945,19982,2294,21910,2445,3752294,11555,61875,3476,14493,1886,5763,1487,6615,1408,37800,2664,230746,6297,692962,6386,2702040,5520,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3487342,4034,733997,8988,27771,2617,179576,5602,204268,5697,126644,2031,59281,3456,69866,4446,33030,3024,33561,3075,194529,7310,23586,2340,22667,2217,24647,2344,15795,1673,27165,2879,40652,3126,21281,2851,18736,1878,2558816,7541,28170,2252,5658,1337,3103,934,3656,1029,19338,2179,133681,4658,384110,4981,1981100,4146,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,903972,1888,191436,4876,6959,1606,46077,3146,48139,2797,27894,1016,18557,1759,21682,2341,11435,1832,10693,1617,44214,3457,5392,1013,7359,1138,7623,1333,5152,794,3056,920,5278,1019,4775,1026,5579,1461,668322,4833,12017,1608,3667,1012,1248,606,673,367,5911,1188,36945,2654,105754,2263,502107,2064,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,633315,1782,95620,3972,11322,1662,25782,2288,20512,1754,11791,925,6304,1202,6969,1436,7476,1381,5464,1220,68978,3453,3519,1121,4139,889,4880,1009,2985,812,12112,1742,22840,2197,12595,1723,5908,1211,468717,3775,2344,766,1117,658,337,244,724,461,3427,1194,29000,2177,130140,2136,301628,1928,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19260349,9382,3882232,25465,120660,6239,932449,16249,1003364,15789,610931,5483,318156,7461,448895,11635,254319,10148,193458,7962,792023,16901,101724,5589,149868,6767,128684,6981,69107,4232,52839,4178,94939,5293,96725,6200,98137,6219,14586094,24456,222240,8682,39053,3038,17478,2936,25517,2721,119489,5465,763760,11456,2161585,13164,11236972,13079,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
