GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001MA,B21001I_001EA,B21001I_002EA,B21001I_002MA,B21001I_003MA,B21001I_003EA,B21001I_004MA,B21001I_004EA,B21001I_005MA,B21001I_005EA,B21001I_006EA,B21001I_006MA,B21001I_007EA,B21001I_007MA,B21001I_008EA,B21001I_008MA,B21001I_009MA,B21001I_009EA,B21001I_010MA,B21001I_010EA,B21001I_011EA,B21001I_011MA,B21001I_012MA,B21001I_012EA,B21001I_013EA,B21001I_013MA,B21001I_014MA,B21001I_014EA,B21001I_015EA,B21001I_015MA,B21001I_016EA,B21001I_016MA,B21001I_017EA,B21001I_017MA,B21001I_018EA,B21001I_018MA,B21001I_019EA,B21001I_019MA,B21001I_020EA,B21001I_020MA,B21001I_021MA,B21001I_021EA,B21001I_022EA,B21001I_022MA,B21001I_023MA,B21001I_023EA,B21001I_024EA,B21001I_024MA,B21001I_025EA,B21001I_025MA,B21001I_026EA,B21001I_026MA,B21001I_027EA,B21001I_027MA,B21001I_028EA,B21001I_028MA,B21001I_029EA,B21001I_029MA,B21001I_030EA,B21001I_030MA,B21001I_031MA,B21001I_031EA,B21001I_032MA,B21001I_032EA,B21001I_033EA,B21001I_033MA,state
0400000US35,695713,474,341668,361,129354,1521,4061,1265,125293,2037,119602,1493,9637,1716,109965,2011,47203,450,8649,1222,38554,1359,28422,706,10962,1252,17460,1280,17087,723,8936,1009,8151,1010,354045,325,125883,1574,616,376,125267,1585,121142,1410,1013,493,120129,1466,50296,787,846,464,49450,938,31584,964,422,266,31162,986,25140,1027,169,161,24971,1026,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2657185,1422,1292969,1440,540130,1781,7768,1747,532362,2661,487879,1446,14494,2064,473385,2535,144989,799,9912,1560,135077,1564,76963,802,7962,1248,69001,1486,43008,718,8678,1496,34330,1332,1364216,1303,505327,1259,1511,626,503816,1440,501909,1387,2083,727,499826,1537,174118,800,624,331,173494,885,104742,848,367,235,104375,891,78120,608,40,64,78080,608,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,531716,2881,276520,2956,127174,3401,4087,1286,123087,3157,120146,2463,5726,1173,114420,2397,18492,1500,2899,834,15593,1564,8484,1415,2015,797,6469,1313,2224,546,670,313,1554,530,255196,2147,117148,3057,1095,557,116053,3131,105654,2814,2251,773,103403,2744,17789,1423,264,248,17525,1429,9589,1247,77,107,9512,1236,5016,997,0,198,5016,997,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US39,251786,1964,130170,2258,62061,2290,1565,647,60496,2468,47333,1989,4331,1092,43002,1979,11612,961,1696,544,9916,965,5702,727,1580,490,4122,665,3462,770,1333,420,2129,649,121616,1531,54419,1962,399,362,54020,1928,43302,1577,677,301,42625,1538,12764,932,296,257,12468,905,6603,866,141,199,6462,857,4528,708,115,121,4413,714,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,226551,904,119370,1291,59472,1777,2119,831,57353,1639,44406,1564,2275,614,42131,1533,9948,743,1497,465,8451,632,3799,616,1135,428,2664,577,1745,403,654,259,1091,365,107181,1291,51548,1218,566,402,50982,1179,39901,1106,599,368,39302,1117,8974,621,369,324,8605,666,4380,540,273,215,4107,497,2378,528,216,221,2162,464,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,309519,788,162738,1503,74272,1798,1105,597,73167,1866,65535,1675,2270,788,63265,1759,15052,1270,1667,591,13385,1373,5234,768,1561,515,3673,716,2645,689,1149,491,1496,539,146781,1339,67919,1879,560,498,67359,1933,56309,1471,438,385,55871,1484,11618,1011,163,144,11455,989,8191,1093,60,78,8131,1093,2744,813,74,120,2670,815,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,544154,944,276269,1320,128663,1753,2635,765,126028,1776,103428,1563,5053,1072,98375,1929,26121,1172,3120,683,23001,1271,11874,1159,1532,470,10342,1161,6183,921,1256,403,4927,989,267885,1072,118160,1347,760,497,117400,1464,98529,1252,961,545,97568,1429,28208,1032,504,313,27704,1033,14611,1192,158,147,14453,1167,8377,1060,223,186,8154,1039,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,98702,205,48381,643,22715,717,176,163,22539,724,18045,695,258,275,17787,740,4482,263,585,383,3897,411,2039,193,416,478,1623,482,1100,145,136,146,964,135,50321,589,21852,666,73,121,21779,699,19171,508,99,163,19072,555,5163,233,0,203,5163,233,2556,238,0,203,2556,238,1579,163,0,203,1579,163,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,162458,1697,89895,1984,42813,2189,1587,697,41226,2345,35722,2103,2034,814,33688,2262,7238,1441,980,442,6258,1428,2684,759,773,385,1911,681,1438,580,375,239,1063,522,72563,1260,30507,2038,440,343,30067,2028,30363,1745,420,384,29943,1693,6849,1002,53,94,6796,1006,3282,780,0,200,3282,780,1562,611,0,200,1562,611,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US47,191586,1841,101690,2051,49387,1856,1628,660,47759,2021,41041,1892,2472,764,38569,1878,6778,1243,876,424,5902,1252,2841,756,811,391,2030,644,1643,587,667,378,976,542,89896,1710,43788,1780,1022,676,42766,1906,34248,1598,656,393,33592,1642,6664,1031,0,198,6664,1031,4342,998,30,57,4312,1016,854,404,0,198,854,404,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
