GEO_ID,B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,NAME,B05003B_001MA,B05003B_001EA,B05003B_002MA,B05003B_002EA,B05003B_003MA,B05003B_003EA,B05003B_004EA,B05003B_004MA,B05003B_005EA,B05003B_005MA,B05003B_006EA,B05003B_006MA,B05003B_007MA,B05003B_007EA,B05003B_008MA,B05003B_008EA,B05003B_009EA,B05003B_009MA,B05003B_010EA,B05003B_010MA,B05003B_011EA,B05003B_011MA,B05003B_012MA,B05003B_012EA,B05003B_013MA,B05003B_013EA,B05003B_014MA,B05003B_014EA,B05003B_015EA,B05003B_015MA,B05003B_016EA,B05003B_016MA,B05003B_017EA,B05003B_017MA,B05003B_018MA,B05003B_018EA,B05003B_019MA,B05003B_019EA,B05003B_020EA,B05003B_020MA,B05003B_021EA,B05003B_021MA,B05003B_022EA,B05003B_022MA,B05003B_023MA,B05003B_023EA,state
0400000US01,1291826,7415,602320,4415,169649,3721,169293,3678,356,298,54,91,302,282,432671,2774,428105,2993,4566,1000,1801,658,2765,847,689506,5477,162228,3912,161728,3979,500,319,124,147,376,275,527278,3140,522403,3386,4875,1506,2635,1010,2240,1001,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24790,2506,14399,1552,2102,895,1490,961,612,732,64,162,548,717,12297,1461,10572,1427,1725,791,908,527,817,533,10391,1704,2934,1339,2563,1073,371,521,0,145,371,521,7457,969,6391,1103,1066,803,424,336,642,757,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,280518,6306,147478,4295,39036,2740,37167,2781,1869,903,445,447,1424,950,108442,2575,97298,2805,11144,2093,6133,1432,5011,1388,133040,3310,35164,2385,33163,2492,2001,935,279,277,1722,901,97876,2074,88196,2692,9680,1778,5111,1186,4569,1236,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,468231,4648,222887,3514,67577,2321,67329,2302,248,260,117,174,131,200,155310,2399,154204,2478,1106,573,208,175,898,535,245344,3442,65630,2828,65630,2828,0,190,0,190,0,190,179714,1813,178427,1831,1287,656,591,373,696,501,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2259681,15273,1113405,8713,259534,5351,255714,5489,3820,1300,1617,751,2203,889,853871,6429,781429,6539,72442,4706,43512,3662,28930,3100,1146276,10447,253798,6454,248186,6381,5612,1414,1920,723,3692,1264,892478,5977,817038,7085,75440,5629,46734,4048,28706,3469,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,215446,4979,117064,2600,29159,1799,26891,1917,2268,978,1284,594,984,690,87905,2245,71436,3204,16469,2554,9663,2148,6806,1427,98382,3608,25461,2303,23696,2230,1765,572,467,282,1298,597,72921,2261,59123,2914,13798,2122,7484,1559,6314,1471,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,371857,7049,178068,4114,49218,2215,45907,2388,3311,1159,1110,756,2201,996,128850,3069,97095,3866,31755,3328,16096,2058,15659,2581,193789,4647,46334,2433,43773,2410,2561,1114,1101,959,1460,679,147455,2872,112643,4054,34812,3338,21029,2717,13783,2211,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203326,3317,96402,1872,26553,1660,26348,1712,205,140,106,96,99,99,69849,1049,63181,2046,6668,1843,3563,1048,3105,1243,106924,2005,24821,1437,24575,1459,246,252,94,114,152,223,82103,1236,76157,1990,5946,1488,3457,884,2489,1017,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,321346,2832,145856,1402,34471,640,33546,841,925,561,182,170,743,537,111385,1120,102293,1957,9092,1791,4983,1375,4109,1129,175490,1818,33915,876,32839,1020,1076,589,382,405,694,528,141575,1330,131277,2406,10298,1964,5751,1441,4547,1061,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3221160,14886,1548271,9601,439475,6326,418322,6249,21153,2697,4447,1244,16706,2321,1108796,6625,820975,9682,287821,10067,162886,7534,124935,6944,1672889,10045,418005,6692,397460,7355,20545,3020,6210,1389,14335,2774,1254884,6521,918927,10326,335957,9761,202780,7593,133177,8330,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
