GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001MA,C16001_001EA,C16001_002MA,C16001_002EA,C16001_003EA,C16001_003MA,C16001_004EA,C16001_004MA,C16001_005EA,C16001_005MA,C16001_006MA,C16001_006EA,C16001_007MA,C16001_007EA,C16001_008EA,C16001_008MA,C16001_009EA,C16001_009MA,C16001_010MA,C16001_010EA,C16001_011MA,C16001_011EA,C16001_012MA,C16001_012EA,C16001_013MA,C16001_013EA,state
0400000US01,4558217,2782,4335732,8563,142689,6364,7835,1810,9393,1624,3315,1199,11932,2449,8257,2202,11498,3087,6328,1954,3060,1455,8466,1865,9712,2193,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683324,986,569759,6242,22334,2585,3399,1279,3454,1147,7573,2471,3078,1287,4850,1273,1138,610,954,783,15286,2081,16319,2755,35180,3066,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6298821,1394,4601108,20215,1298667,15859,18394,2865,24404,3246,25425,4102,57485,5740,9188,2449,27881,2917,26351,4917,23203,3725,37651,4446,149064,6211,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2775973,2624,2584853,6976,141023,6652,3502,958,4999,1350,2151,806,6619,2062,1818,1111,5371,1670,5248,1636,2535,1410,14210,2686,3644,1742,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36290808,2542,20361508,52320,10437293,40390,129236,7063,129374,6131,233678,13519,1105410,24553,383651,16519,1111125,22861,545256,16758,797096,21211,699193,22411,357988,18197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5023808,2144,4157362,16124,600962,12630,15764,2434,28075,2876,32905,3950,43685,4529,19046,3403,22670,3489,15255,2899,7260,1754,32108,3873,48716,5943,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3407815,964,2665263,14176,389379,7983,45275,4963,12529,2226,51832,4683,133797,7685,5136,1344,31937,3494,8532,2403,9180,2209,28705,4137,26250,4461,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,879604,228,765550,5732,60904,3359,5670,1632,2009,742,2978,1084,12531,2384,1540,982,7931,2484,1427,1197,3602,1376,6574,1785,8888,3358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,616130,6,506220,5358,52917,3482,10327,2160,3638,1186,4933,1808,11552,2145,1333,633,6333,1618,854,581,1823,872,2437,754,13763,2667,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18815725,3345,13494015,39206,3933920,25026,517283,21564,77995,5783,92134,7696,292680,14682,25395,5365,64070,6624,67864,8142,57735,4076,84172,7250,108462,9112,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9442904,3708,8159140,19927,754880,14502,55396,6722,22063,3605,26777,4200,128322,8769,49690,5879,45468,5376,46079,6095,13070,2975,62225,6655,79794,9299,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1328554,275,994089,10082,24914,3374,2736,1050,4217,1493,2303,910,5558,1414,17639,3313,34840,4303,10236,2618,62084,6081,164221,10429,5717,2142,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1522757,1716,1365316,7328,118068,6540,3096,1100,5678,1306,2279,968,5892,2209,2274,1681,4093,1750,1272,1021,1694,730,5727,2563,7368,2102,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
