GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001EA,C21001I_001MA,C21001I_002EA,C21001I_002MA,C21001I_003EA,C21001I_003MA,C21001I_004EA,C21001I_004MA,C21001I_005MA,C21001I_005EA,C21001I_006EA,C21001I_006MA,C21001I_007EA,C21001I_007MA,C21001I_008EA,C21001I_008MA,C21001I_009EA,C21001I_009MA,C21001I_010MA,C21001I_010EA,C21001I_011EA,C21001I_011MA,C21001I_012EA,C21001I_012MA,C21001I_013EA,C21001I_013MA,C21001I_014EA,C21001I_014MA,C21001I_015EA,C21001I_015MA,state
0400000US01,118021,1779,63349,1881,60223,1926,4214,1072,56009,2101,3126,860,1642,806,1484,569,54672,1826,50455,1941,1081,496,49374,1990,4217,1160,92,109,4125,1176,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29957,735,15011,937,14022,833,2510,898,11512,1234,989,527,514,446,475,282,14946,544,13774,584,581,436,13193,708,1172,377,0,145,1172,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1350555,767,672698,667,616567,967,30336,2498,586231,2633,56131,621,17388,1886,38743,1971,677857,493,607384,660,5148,1205,602236,1411,70473,414,792,438,69681,565,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,125152,1392,67069,1632,63585,1605,1905,627,61680,1682,3484,954,935,483,2549,850,58083,1450,54809,1506,231,180,54578,1523,3274,865,10,22,3264,867,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10213431,3020,5104542,2909,4698847,2937,147264,5516,4551583,6355,405695,942,86253,3855,319442,4108,5108889,1069,4568944,1355,19038,2332,4549906,2871,539945,1122,2188,566,537757,1223,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,742047,1226,375651,1667,344860,1620,20584,2552,324276,2913,30791,769,12722,1074,18069,1324,366396,1120,328884,1117,3027,848,325857,1346,37512,786,168,148,37344,789,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,367745,786,182563,773,169856,847,6144,1701,163712,1940,12707,584,2509,748,10198,717,185182,417,168647,504,717,419,167930,618,16535,483,68,100,16467,497,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,53266,226,27349,226,25627,341,2148,812,23479,775,1722,281,340,286,1382,384,25917,4,24406,183,298,269,24108,315,1511,184,99,135,1412,231,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,51212,299,26312,299,24873,298,972,534,23901,617,1439,-555555555,144,445,1295,445,24900,3,22741,3,87,108,22654,109,2159,-555555555,48,78,2111,77,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,3588623,2133,1750687,2452,1529079,2655,65178,4520,1463901,5350,221608,1493,30143,2622,191465,2627,1837936,1385,1527886,1615,8520,1843,1519366,2481,310050,1409,879,436,309171,1446,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
