GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001EA,B15010_001MA,B15010_002MA,B15010_002EA,B15010_003MA,B15010_003EA,B15010_004EA,B15010_004MA,B15010_005EA,B15010_005MA,B15010_006EA,B15010_006MA,B15010_007MA,B15010_007EA,B15010_008MA,B15010_008EA,B15010_009MA,B15010_009EA,B15010_010EA,B15010_010MA,B15010_011EA,B15010_011MA,B15010_012MA,B15010_012EA,B15010_013MA,B15010_013EA,B15010_014MA,B15010_014EA,B15010_015EA,B15010_015MA,B15010_016EA,B15010_016MA,state
0400000US01,792876,14677,30446,3047,46189,3390,21331,2437,32744,3098,34932,2931,64497,4110,2809,800,79424,5268,182750,6860,135842,5341,23051,2450,36425,2792,23614,2469,24727,2864,54095,3412,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,139416,4807,2381,787,16425,1958,5333,913,6853,1102,8015,879,10361,1239,1219,576,12854,1848,22495,2692,20385,1882,5134,1003,9458,1263,4035,892,4803,961,9665,1702,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1257449,16239,50644,4037,70031,3585,36967,2673,58299,3303,87195,4860,103823,4950,9651,1401,119456,5995,271892,8680,183272,6180,44011,3627,50618,3330,46481,3372,48795,3815,76314,4490,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,433381,7690,17845,2400,35093,3045,11044,1761,16671,1784,21818,2443,21998,2301,2041,701,42437,3668,95297,4341,83480,4081,14714,1666,19786,2226,9567,1366,15789,2166,25801,2769,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8415690,37555,442626,13135,541147,10792,271923,8702,411824,9043,831102,12927,868734,12750,60209,3809,674278,12956,1586921,21296,563581,12039,442403,8800,483727,10241,472693,10785,342353,8661,422169,10677,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1440776,13555,71381,3932,102501,5155,56421,4219,72592,3733,122120,5740,118480,5647,10001,1601,121176,5206,286139,7612,147138,5571,59640,3281,67634,3699,59343,3684,66218,3667,79992,4234,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,948044,12782,41513,3444,52105,3035,24939,2567,53995,3112,92777,4437,71925,3938,5420,1115,80873,4260,187022,6751,100734,4290,53748,3337,53668,3726,41080,3251,38244,3534,50001,4118,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,201929,5995,8887,1651,11854,1823,7740,1335,9368,1630,15109,1847,15325,2045,2049,740,21046,2371,44771,3688,28364,2772,6175,1142,8586,1242,5265,1049,5892,1258,11498,1613,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268345,4913,9869,1626,13210,1923,6503,1173,11922,1850,67875,4057,12458,1855,3330,731,11869,1898,33555,2832,11676,1723,21808,2154,24290,2586,12577,2060,16815,1966,10588,1814,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4092338,35512,151990,7634,197129,7599,112242,4698,197723,6809,285945,9513,318838,9444,19826,2579,414601,12735,995869,17850,589792,12672,133919,5493,177220,7215,122006,6377,148969,6612,226269,8787,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2000113,23602,101753,5833,104158,5396,56305,4851,89935,5682,138957,6187,140150,6506,10406,1836,178239,7328,485769,13201,273021,7857,70308,4446,87095,4696,68967,4258,82302,4573,112748,6200,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309194,7309,11804,2003,20237,1803,8068,1297,17960,1681,29455,1982,21858,2346,1391,651,27619,2637,61107,4040,41200,3048,14652,1985,13936,1558,12328,1552,9635,1441,17944,1877,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,276912,8063,9331,1262,25036,2198,8296,1679,9837,1327,16721,2358,22438,2489,1127,561,30241,3267,50346,3857,45560,3351,10152,1735,10864,1845,9855,1886,9609,1566,17499,2206,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2853540,19777,140286,5961,151367,6333,75373,4035,135592,5171,204247,6187,206794,6100,18749,2096,269244,7784,619650,10340,384915,9605,114101,5411,132744,5283,118899,4808,135770,4836,145809,5891,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1088120,15750,40819,3138,59342,4174,32539,3027,40911,3499,50828,3838,76481,4613,4233,1052,134069,5717,226250,7707,185666,6382,31822,2692,64559,4336,33728,2749,40509,2920,66364,3836,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,556591,10137,20666,2330,48342,3321,15675,2245,22910,2402,29391,2642,30965,2586,1363,350,54940,3034,116686,4973,103090,4308,14708,1573,26006,1984,17225,1859,20117,2216,34507,2639,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,599063,9804,22914,2515,47044,3122,14920,1598,20577,2303,31209,2722,36722,2537,2203,667,64756,3219,129649,5591,105871,4052,14548,1833,25386,2053,21126,2109,24949,2206,37189,2722,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
