GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003EA,C06007_003MA,C06007_004EA,C06007_004MA,C06007_005MA,C06007_005EA,C06007_006MA,C06007_006EA,C06007_007MA,C06007_007EA,C06007_008EA,C06007_008MA,C06007_009EA,C06007_009MA,C06007_010MA,C06007_010EA,C06007_011MA,C06007_011EA,C06007_012MA,C06007_012EA,C06007_013EA,C06007_013MA,C06007_014EA,C06007_014MA,C06007_015EA,C06007_015MA,C06007_016MA,C06007_016EA,C06007_017MA,C06007_017EA,C06007_018EA,C06007_018MA,C06007_019EA,C06007_019MA,C06007_020EA,C06007_020MA,C06007_021MA,C06007_021EA,C06007_022MA,C06007_022EA,C06007_023EA,C06007_023MA,C06007_024EA,C06007_024MA,C06007_025EA,C06007_025MA,state
0400000US20,2714575,2159,2395487,8981,319088,8528,193818,7206,125270,5376,1536237,15417,1457844,15433,78393,5079,66672,4770,11721,1703,949364,16192,891259,14919,58105,4949,50594,4574,7511,1671,24622,2637,19291,2302,5331,1209,3292,862,2039,800,204352,7751,27093,2867,177259,7379,73260,4530,103999,4872,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4151726,2323,3931934,9394,219792,9294,134051,7334,85741,6035,2842403,17975,2798271,18695,44132,4074,36202,3730,7930,1424,1126072,17479,1082389,17555,43683,4721,37456,4217,6227,1445,27952,2889,21474,2664,6478,1528,4599,1270,1879,807,155299,7800,29800,3376,125499,7733,55794,4459,69705,5901,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4365879,3118,4009673,11386,356206,11616,234415,8762,121791,7506,3374889,17205,3221933,19033,152956,7037,129834,6268,23122,2739,778811,15819,739270,15523,39541,3531,34086,3318,5455,1491,27787,3356,19641,2948,8146,1758,5251,1136,2895,974,184392,7788,28829,3010,155563,7461,65244,5304,90319,5942,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1265476,1097,1188476,5382,77000,5326,56669,4395,20331,2975,794992,10826,761647,10775,33345,3241,27965,3106,5380,860,413027,9677,398519,9509,14508,1767,13328,1714,1180,401,13042,1837,10264,1673,2778,849,2307,759,471,410,44415,3929,18046,2067,26369,3610,13069,1794,13300,2858,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5639774,1385,4595216,15798,1044558,15781,655256,15166,389302,11877,2538256,18503,2380290,20239,157966,7545,137796,7205,20170,2334,2112463,19240,1981691,18931,130772,6474,117124,6459,13648,2026,84770,4674,56989,3802,27781,3690,22032,3003,5749,1460,904285,14594,176246,9170,728039,13908,378304,12036,349735,11464,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6429039,1071,4953369,22310,1475670,22350,896808,17525,578862,15497,3856293,19247,3512501,23514,343792,12075,308647,11210,35145,2989,1297639,17348,1180855,18662,116784,6204,103429,6156,13355,1944,187334,8172,49167,3730,138167,7043,79037,5192,59130,6127,1087773,18076,210846,8336,876927,18338,405695,10951,471232,15370,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9351921,1954,8465951,16161,885970,16554,568350,13250,317620,10131,7070074,19040,6804290,19293,265784,8861,229467,8784,36317,3028,1564227,16615,1479779,16853,84448,4452,71279,4095,13169,1900,70904,4244,44527,3216,26377,2759,18238,2396,8139,1370,646716,14145,137355,5869,509361,13162,249366,8101,259995,10107,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5138667,2207,4550270,13872,588397,13554,342253,11362,246144,9727,3405270,15456,3263042,16817,142228,6929,117177,5982,25051,2786,1243280,14066,1175388,13900,67892,4356,55688,3710,12204,2300,38551,3073,26512,2189,12039,2357,8607,1845,3432,1290,451566,10412,85328,4819,366238,10414,160781,7483,205457,9441,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2803484,2535,2694069,7362,109415,6450,61286,3987,48129,4371,1974598,14919,1949698,15143,24900,2758,17505,2258,7395,1698,736736,13877,714943,13675,21793,2843,16577,2445,5216,1098,20122,3949,13289,2705,6833,2514,2797,1301,4036,1903,72028,5201,16139,2540,55889,4614,24407,3330,31482,3383,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5709302,2818,5367479,9991,341823,10182,220887,8211,120936,7506,3690962,20649,3608193,20371,82769,5863,68638,5056,14131,2283,1730555,22149,1669422,21194,61133,4824,52499,4712,8634,1457,47222,3539,37725,3001,9497,2069,7420,1627,2077,954,240563,8074,52139,4014,188424,7592,92330,4714,96094,6566,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
