GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001MA,C14007G_001EA,C14007G_002EA,C14007G_002MA,C14007G_003MA,C14007G_003EA,C14007G_004MA,C14007G_004EA,C14007G_005MA,C14007G_005EA,C14007G_006MA,C14007G_006EA,C14007G_007MA,C14007G_007EA,state
0400000US01,78673,6137,34521,4206,4943,1342,13822,2239,8675,1884,7081,1378,44152,3695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,57537,4329,25609,2781,2693,1219,12273,1779,5645,1078,4998,1216,31928,2708,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,201109,10117,96825,7403,12675,1766,45701,4821,19028,2486,19421,2388,104284,6282,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56833,5086,26191,3239,3377,1040,13280,2080,5694,1365,3840,1035,30642,3610,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1604003,28808,747913,16845,107157,5912,315591,9968,151090,6187,174075,6711,856090,18725,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178308,9242,85139,6282,13176,1577,37073,3372,16398,2059,18492,2108,93169,5661,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,107408,7314,58093,4323,7959,1596,26738,2735,11176,1718,12220,2328,49315,4808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25469,3603,13814,2695,2466,854,5973,1553,2775,943,2600,966,11655,1653,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19127,2360,6647,1512,1439,569,1690,655,875,417,2643,975,12480,2061,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,461923,19527,209692,12249,31939,3930,91356,7290,41145,3601,45252,4620,252231,11137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,212173,13855,105167,9334,14210,2476,51778,5349,17934,2789,21245,2934,107006,7874,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,326125,10763,126339,5269,18261,1992,57298,3231,25818,2411,24962,2614,199786,8089,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,43120,3798,18133,2378,2208,723,9327,1590,4002,843,2596,975,24987,3068,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,268760,9809,144055,7372,21737,2434,67892,4585,25993,2483,28433,3155,124705,5812,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,139770,8523,74502,5390,8451,1490,37348,3975,13727,2209,14976,2094,65268,5160,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,54630,4175,31511,3203,5632,1155,14479,2238,5750,1241,5650,1482,23119,2659,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,82096,5530,41515,3681,5743,999,19730,2626,8436,1522,7606,1532,40581,3495,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,83484,5579,43543,3837,5739,1272,21743,2725,8066,1439,7995,1497,39941,3222,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,88881,7168,43729,5594,7137,1656,23707,3440,7501,1731,5384,1508,45152,3867,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
