GEO_ID,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,NAME,B11003_001EA,B11003_001MA,B11003_002MA,B11003_002EA,B11003_003EA,B11003_003MA,B11003_004EA,B11003_004MA,B11003_005MA,B11003_005EA,B11003_006EA,B11003_006MA,B11003_007MA,B11003_007EA,B11003_008EA,B11003_008MA,B11003_009MA,B11003_009EA,B11003_010EA,B11003_010MA,B11003_011EA,B11003_011MA,B11003_012EA,B11003_012MA,B11003_013MA,B11003_013EA,B11003_014EA,B11003_014MA,B11003_015EA,B11003_015MA,B11003_016MA,B11003_016EA,B11003_017EA,B11003_017MA,B11003_018MA,B11003_018EA,B11003_019EA,B11003_019MA,B11003_020EA,B11003_020MA,state
0400000US01,1213540,13821,863674,10996,306591,7223,69554,3975,56413,3441,180624,5157,557083,8291,349866,9363,78239,4624,34620,3285,11223,2323,3380,986,20017,2131,43619,3590,271627,7672,145766,6182,30123,3082,26567,2698,89076,4979,125861,5380,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,120348,2954,50683,3115,13321,1609,13210,1824,24152,2110,69665,2762,43452,2748,15109,1531,9074,1129,2176,706,1502,664,5396,941,6035,1123,28343,2222,18207,2062,4048,1240,2953,889,11206,1574,10136,1347,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,1153542,12996,426411,10206,88849,4678,100088,4608,237474,7433,727131,9980,444872,9605,137228,6495,68090,4773,18011,2485,11866,1811,38213,3207,69138,4333,307644,6566,171086,5751,33769,2983,37057,3560,100260,4269,136558,4421,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,561297,9469,205898,6112,44632,3407,43993,3511,117273,4858,355399,7310,200197,6518,50124,3872,26535,2910,8165,1580,2959,872,15411,2381,23589,2503,150073,5867,79003,4052,17581,2272,13923,1938,47499,3506,71070,4116,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,6342293,25212,2783907,19433,575838,9663,604410,13330,1603659,17487,3558386,20437,2493613,24950,776561,14956,341713,9953,81274,4906,61415,4243,199024,7283,434848,10586,1717052,18681,847483,13545,130973,6390,167614,6259,548896,11148,869569,14184,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,1038040,9389,435028,7158,99649,4282,98584,5050,236795,6080,603012,8744,293821,7786,93024,5026,48969,4185,11411,2268,5286,1277,32272,2981,44055,3044,200797,6582,113504,4699,24481,2457,17549,1997,71474,3887,87293,4655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,647589,8615,248839,6707,50459,3410,44775,3114,153605,4353,398750,7216,228599,7234,58006,4439,24659,2935,6440,1511,2569,948,15650,2288,33347,3447,170593,5524,92096,4447,13912,1998,15821,2385,62363,4177,78497,4199,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,170416,4537,57755,3036,12065,1675,12026,1912,33664,2586,112661,3938,64969,3632,16183,2010,7329,1452,1144,403,1452,751,4733,1276,8854,1463,48786,3280,25875,2635,3816,1132,5334,1193,16725,2499,22911,1993,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,71857,3518,27840,2573,10594,1469,5341,1090,11905,1978,44017,2756,53321,3539,10834,1986,4640,1348,969,591,202,195,3469,1177,6194,1195,42487,3001,22014,2439,3230,791,4849,1264,13935,1859,20473,2019,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,3444776,25365,1117422,15136,239764,7827,216058,8384,661600,12565,2327354,20416,1361835,15162,359661,9304,161212,7747,44585,3727,22776,2736,93851,6083,198449,7412,1002174,15444,502732,12356,85536,5379,88466,6286,328730,10039,499442,11536,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2466415,18717,1750409,17468,714312,10933,153841,6543,149139,6552,411332,10992,1036097,13721,716006,14280,167389,6686,82168,5341,20567,2667,11800,2170,49801,4379,85221,4918,548617,11400,301105,9858,50864,4418,54099,4704,196142,8386,247512,7254,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309386,5548,232451,5088,87488,3905,20588,2112,16964,1988,49936,2828,144963,4902,76935,3815,24870,2264,8608,1375,2663,845,936,553,5009,1038,16262,1603,52065,3299,18943,1871,4166,1092,4214,1023,10563,1562,33122,2809,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
