GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001MA,B16009_001EA,B16009_002MA,B16009_002EA,B16009_003EA,B16009_003MA,B16009_004EA,B16009_004MA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007MA,B16009_007EA,B16009_008MA,B16009_008EA,B16009_009EA,B16009_009MA,B16009_010EA,B16009_010MA,B16009_011MA,B16009_011EA,B16009_012MA,B16009_012EA,B16009_013MA,B16009_013EA,B16009_014EA,B16009_014MA,B16009_015EA,B16009_015MA,B16009_016MA,B16009_016EA,B16009_017EA,B16009_017MA,B16009_018EA,B16009_018MA,B16009_019MA,B16009_019EA,B16009_020EA,B16009_020MA,B16009_021MA,B16009_021EA,B16009_022EA,B16009_022MA,B16009_023EA,B16009_023MA,B16009_024MA,B16009_024EA,B16009_025EA,B16009_025MA,B16009_026EA,B16009_026MA,B16009_027MA,B16009_027EA,state
0400000US01,4455281,3888,792369,21896,207178,9015,186341,8638,18555,3250,375,305,1499,822,408,455,585191,15455,549356,15208,25693,3382,3442,1111,4426,1243,2274,1300,3662912,21834,604728,9037,574039,8780,21977,2896,3421,1105,4676,1225,615,428,3058184,15579,2916454,16229,80415,5328,27818,3566,25728,3225,7769,2280,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,667271,1119,65915,5198,19232,2719,15157,2233,1050,735,96,170,1372,837,1557,435,46683,3306,35865,2598,1472,800,402,226,3211,1137,5733,882,601356,5351,110513,2680,97356,3069,3981,1519,2218,786,3793,1169,3165,524,490843,3422,411343,4267,19934,2327,11697,2128,29239,2116,18630,2031,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6249250,3145,1046108,27552,280923,13221,146763,8928,118452,9307,3059,2185,2272,1063,10377,2021,765185,18867,452824,15685,236231,13099,15162,2809,16990,2335,43978,3955,5203142,27342,892206,12674,688239,11375,168636,9142,10107,2261,12907,2155,12317,2755,4310936,19005,3270094,19071,760853,16454,96455,6807,97378,5641,86156,4416,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2703909,3218,492160,15583,129345,7603,110553,7035,16902,3734,86,106,1755,955,49,84,362815,11106,325583,10298,29073,3846,2278,965,5060,1211,821,622,2211749,15722,377108,8089,346338,7616,23649,3637,2847,1026,3985,1589,289,268,1834641,11106,1723061,11334,72538,4311,16020,2166,20507,1940,2515,999,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35927399,6553,5342303,60550,1352130,24400,522292,16227,732329,15180,22307,3576,57030,5316,18172,3719,3990173,46296,1839585,26778,1520800,30544,165401,9570,398039,13682,66348,5405,30585096,62431,5159093,26013,3070369,23957,1549796,22327,168802,9278,329449,9451,40677,4992,25426003,46611,14426096,43643,6669195,40353,1255698,25933,2821553,21017,253461,14536,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5008801,2747,558002,18062,126994,7681,80770,6151,36549,5326,2785,1213,4190,1703,2700,1447,431008,13227,316653,10276,81612,8325,11193,2325,14142,2597,7408,2120,4450799,18738,782058,8240,645125,8640,109287,6138,12984,2509,10797,2015,3865,1462,3668741,13419,3100918,13013,384869,9978,86361,6408,72166,4862,24427,3274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3297116,1980,336795,14412,79179,6282,47013,4768,26648,3836,3173,1134,1328,677,1017,695,257616,10538,162593,8022,69501,5942,17411,3228,5736,1506,2375,857,2960321,14976,488886,6991,399848,7619,48759,4006,28161,3473,8880,1878,3238,1282,2471435,10735,1945189,12190,247113,7235,198820,8285,59812,4451,20501,3799,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,865443,742,103766,8677,28378,4462,20692,3607,7277,2200,213,284,196,231,0,190,75388,5734,59273,4658,12326,2568,1325,726,1095,700,1369,1036,761677,8748,117986,4542,104903,4168,8095,1554,2594,893,2083,794,311,403,643691,5821,565360,6298,35595,3494,20658,2974,16842,2143,5236,1875,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,595386,313,101830,7924,21059,3064,19020,2831,1523,872,136,141,24,42,356,337,80771,5972,67418,5079,5376,1686,4148,1275,1820,759,2009,918,493556,7929,52358,3092,40793,3060,7660,1125,3068,1090,480,328,357,269,441198,5967,363707,6480,39430,3505,21450,3130,8050,1210,8561,2072,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18769877,5303,2837856,42935,652571,18863,411045,16162,194692,10776,38138,6105,5992,2082,2704,1629,2185285,31727,1391092,25130,610577,20239,136708,10583,30825,3443,16083,3494,15932021,43170,2301454,19407,1692333,21701,462145,14020,101876,7623,28980,3251,16120,3656,13630567,32215,9795342,36723,2770535,27669,757359,21288,231369,9885,75962,8284,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
