GEO_ID,B25006_001E,B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,NAME,B25006_001EA,B25006_001MA,B25006_002MA,B25006_002EA,B25006_003EA,B25006_003MA,B25006_004EA,B25006_004MA,B25006_005EA,B25006_005MA,B25006_006MA,B25006_006EA,B25006_007MA,B25006_007EA,B25006_008EA,B25006_008MA,B25006_009EA,B25006_009MA,B25006_010EA,B25006_010MA,state
0400000US01,1846390,11341,1302524,8842,481633,6722,7659,1316,18716,1536,1200,602,11066,1598,23592,2290,1313,603,22279,2235,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,186476,2998,8422,1060,26253,1497,10665,1266,1150,471,4073,1216,13146,1298,427,337,12719,1272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,2023193,11430,105370,4012,82371,3204,67872,2806,3268,533,131289,5070,49645,3723,8361,1478,41284,3371,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,916378,6539,174070,4186,6237,1221,13698,1308,1329,442,16162,1767,16789,2315,1307,542,15482,2216,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,8525079,25925,824358,10302,88771,4983,1735010,11118,42550,2345,1283912,14187,396677,8902,73882,3830,322795,8052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1816941,9025,82726,3407,18942,1641,51686,2036,2583,813,59895,3532,41962,3015,5944,1114,36018,2804,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,1082618,7425,131266,3437,3759,925,49129,2313,202,196,53610,4053,23119,2658,4480,1040,18639,2247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,259964,3709,68739,2499,1375,406,11083,994,269,235,5059,1103,6106,1197,837,437,5269,1137,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,126012,2881,124266,3156,780,426,11592,1140,251,267,11800,1544,7086,1105,965,456,6121,1033,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,5984824,21416,1027201,11359,17696,2230,161823,5090,3443,1116,149344,7197,118853,6758,23046,2762,95807,5654,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
