GEO_ID,B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,NAME,B06004F_001MA,B06004F_001EA,B06004F_002EA,B06004F_002MA,B06004F_003MA,B06004F_003EA,B06004F_004EA,B06004F_004MA,B06004F_005EA,B06004F_005MA,state
0400000US01,54105,6092,16663,2988,8187,2562,1585,859,27670,4482,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12467,3116,2013,1004,4517,1476,887,516,5050,2041,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,481631,21623,237709,13117,76623,7042,9668,1963,157631,10533,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65542,6352,18040,2942,17202,3222,1622,1076,28678,3812,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5300297,63956,2952452,43908,155901,8511,49152,4188,2142792,32871,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209890,13025,99095,8532,37714,3851,5928,1783,67153,5804,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,180107,12856,63314,6246,22466,3106,36097,3509,58230,6844,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19157,3844,6223,1918,3848,1313,2149,915,6937,2027,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34797,4077,9664,2438,6391,2111,1301,825,17441,3562,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,528266,22821,127603,10043,106344,8783,57335,7563,236984,14625,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,284084,16303,91543,8067,53042,5331,8832,1938,130667,9092,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10135,1858,2559,930,4947,1132,382,424,2247,935,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37682,4854,15239,2632,8800,2371,239,294,13404,2795,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,773685,24560,377657,15136,39597,4599,21163,2944,335268,12664,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,140617,10232,51968,5615,31173,4582,6050,2087,51426,4658,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,47404,5301,13346,2429,11614,2636,595,376,21849,3167,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,67275,6490,24356,3996,12330,2355,715,453,29874,3497,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38122,4649,11301,2268,6772,1701,1283,680,18766,2502,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,51153,6010,18200,3356,6821,1502,1625,666,24507,3719,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2957,1083,1049,744,824,441,326,277,758,496,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,250417,12016,58498,5549,39133,4994,4722,1474,148064,7581,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,280631,12650,96058,6847,27248,3780,46994,4384,110331,7675,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,120463,7841,52558,4584,16893,2285,4978,1418,46034,4996,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,83169,6087,25517,2839,11726,1581,1543,645,44383,4295,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,26315,4523,4273,1772,7180,1786,3055,1776,11807,2843,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,65614,5724,22585,3508,16928,3205,1187,538,24914,3260,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7142,1882,1796,606,3667,1197,197,172,1482,818,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,31466,5873,9006,2226,9336,3248,974,493,12150,2132,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,264719,12674,69084,5737,71336,6820,4945,1509,119354,8809,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5663,1465,1156,719,1949,603,453,311,2105,922,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,585855,21114,206804,11633,55360,4951,51346,4792,272345,14972,New Jersey,null,null,null,null,null,null,null,null,null,null,34
