GEO_ID,B28004_001E,B28004_001M,B28004_002E,B28004_002M,B28004_003E,B28004_003M,B28004_004E,B28004_004M,B28004_005E,B28004_005M,B28004_006E,B28004_006M,B28004_007E,B28004_007M,B28004_008E,B28004_008M,B28004_009E,B28004_009M,B28004_010E,B28004_010M,B28004_011E,B28004_011M,B28004_012E,B28004_012M,B28004_013E,B28004_013M,B28004_014E,B28004_014M,B28004_015E,B28004_015M,B28004_016E,B28004_016M,B28004_017E,B28004_017M,B28004_018E,B28004_018M,B28004_019E,B28004_019M,B28004_020E,B28004_020M,B28004_021E,B28004_021M,B28004_022E,B28004_022M,B28004_023E,B28004_023M,B28004_024E,B28004_024M,B28004_025E,B28004_025M,NAME,B28004_001MA,B28004_001EA,B28004_002MA,B28004_002EA,B28004_003EA,B28004_003MA,B28004_004EA,B28004_004MA,B28004_005EA,B28004_005MA,B28004_006MA,B28004_006EA,B28004_007MA,B28004_007EA,B28004_008MA,B28004_008EA,B28004_009EA,B28004_009MA,B28004_010EA,B28004_010MA,B28004_011MA,B28004_011EA,B28004_012MA,B28004_012EA,B28004_013MA,B28004_013EA,B28004_014EA,B28004_014MA,B28004_015EA,B28004_015MA,B28004_016EA,B28004_016MA,B28004_017MA,B28004_017EA,B28004_018MA,B28004_018EA,B28004_019MA,B28004_019EA,B28004_020EA,B28004_020MA,B28004_021EA,B28004_021MA,B28004_022MA,B28004_022EA,B28004_023MA,B28004_023EA,B28004_024MA,B28004_024EA,B28004_025EA,B28004_025MA,state
0400000US01,1846390,11341,175030,6397,834,406,70612,3943,103584,5023,246046,8185,1633,571,107376,5847,137037,5335,324277,8728,2643,788,184412,5886,137222,5585,254344,6631,2166,655,176533,6344,75645,3643,329352,7260,1425,419,257524,5704,70403,4473,517341,10884,2277,703,463976,11066,51088,3807,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,9842,1462,67,83,5238,1102,4537,878,17014,1715,9,17,9228,1423,7777,1325,26854,2019,33,39,17324,1909,9497,1535,29640,2349,338,276,23889,2252,5413,939,44247,2935,304,203,36203,2911,7740,1275,122588,3576,446,268,112503,3288,9639,1384,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,186362,7582,648,297,93753,5205,91961,5629,245253,7506,1128,374,130214,5979,113911,5057,402568,9647,3029,726,273558,7939,125981,5070,356848,9875,2487,602,278881,8395,75480,4411,463855,10203,1370,509,396272,9189,66213,4556,808122,11919,2283,543,750606,11867,55233,3968,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,103788,4929,664,393,40143,2680,62981,4038,155339,5910,1760,667,64045,4410,89534,4619,223180,6366,1265,467,120750,4845,101165,4321,171963,5464,1486,544,112255,5307,58222,3181,202698,6444,2168,636,150946,5560,49584,3300,287695,6702,2147,621,246536,6486,39012,2889,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,714835,11687,4626,970,409765,8555,300444,7850,1178188,16034,9136,1345,633746,13247,535306,10738,1713930,18965,11973,1670,1157961,16334,543996,13422,1511081,16797,9207,1289,1176085,16239,325789,8897,2118890,24147,12529,1636,1804311,23025,302050,7498,5659433,26563,20432,1977,5303190,27882,335811,9990,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,109740,4784,714,334,65486,3792,43540,3043,154320,6319,1589,528,86239,4733,66492,4239,272834,7492,3196,698,188740,6440,80898,4651,273338,7100,2385,731,214025,5827,56928,3777,378683,9042,2085,595,328732,8273,47866,2787,885820,9859,2628,679,837912,9187,45280,3119,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,76091,3625,307,206,38591,2965,37193,2649,105857,5289,406,231,55479,3459,49972,4179,151443,5638,1167,424,99239,4068,51037,3735,152132,4907,1141,424,117649,4622,33342,2717,213084,6616,1040,476,183270,5961,28774,2947,645096,8013,2045,528,607763,7994,35288,3278,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,19146,2304,184,166,9292,1487,9670,1792,26507,2631,347,244,13819,1888,12341,1761,50404,3244,40,67,31279,2804,19085,1979,46595,3380,457,373,32812,3013,13326,1892,66326,3923,585,333,54702,3080,11039,1919,143617,4378,483,312,131024,4114,12110,1875,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,24290,2559,0,200,11694,1957,12596,1798,22999,2298,74,91,9794,1711,13131,1736,29986,2808,278,206,17670,2080,12038,1765,26085,2262,26,43,17365,1889,8694,1542,36416,2835,423,259,30307,2713,5686,1276,142011,3440,380,396,129455,3644,12176,2162,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,548613,10837,3484,1213,281330,8746,263799,8142,811439,14830,5939,1183,435723,10772,369777,10832,1301876,16436,9988,1475,884438,13973,407450,12467,1102869,15538,6355,1334,866715,14879,229799,7813,1380306,19858,7904,1497,1178688,18155,193714,7027,2318081,19805,7160,1242,2135470,17760,175451,7394,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
