GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001EA,B12002D_001MA,B12002D_002MA,B12002D_002EA,B12002D_003MA,B12002D_003EA,B12002D_004MA,B12002D_004EA,B12002D_005EA,B12002D_005MA,B12002D_006EA,B12002D_006MA,B12002D_007EA,B12002D_007MA,B12002D_008MA,B12002D_008EA,B12002D_009MA,B12002D_009EA,B12002D_010MA,B12002D_010EA,B12002D_011EA,B12002D_011MA,B12002D_012EA,B12002D_012MA,B12002D_013MA,B12002D_013EA,state
0400000US01,47500,2122,22026,1604,8061,1495,11709,1112,353,245,658,381,1245,744,25474,1533,6685,1174,14678,1391,245,202,2165,677,1701,520,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38111,1621,17470,983,7233,1115,8879,822,421,391,260,234,677,328,20641,1019,5855,1220,10568,1175,777,600,1313,576,2128,613,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,181004,4050,83188,2400,29118,2534,47447,2356,1152,596,1658,723,3813,881,97816,2593,22685,1475,60615,2484,1192,446,5748,1196,7576,1520,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35006,1921,17610,1214,6228,997,10395,1083,8,19,100,175,879,478,17396,1552,3730,1133,10847,1215,14,36,1192,687,1613,744,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4700477,14651,2188923,8755,799716,9629,1235337,11663,24026,2172,36506,3101,93338,4835,2511554,8789,704470,10582,1381475,11978,39570,3201,210631,5728,175408,5992,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,132054,3332,59399,2007,21398,1877,33465,1689,290,202,1098,497,3148,820,72655,2352,19306,2055,42176,2273,1201,546,4841,775,5131,991,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,128145,2046,61221,1577,22300,1942,35751,2346,228,178,706,469,2236,885,66924,1646,18473,1669,39932,2169,1281,680,3392,779,3846,1100,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29401,1266,13986,959,3936,974,9419,1000,87,103,143,173,401,282,15415,716,3241,619,11083,639,81,131,196,179,814,364,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24050,998,9520,794,5550,1000,3617,687,141,161,0,200,212,199,14530,636,7840,880,5481,796,142,174,396,214,671,400,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,455231,7142,203994,4487,70379,3889,120516,4681,2156,859,2477,683,8466,1677,251237,4470,60495,3897,149292,4405,3743,1049,20066,2076,17641,2440,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,312937,4265,149285,3181,47200,3327,92716,3216,1477,762,1941,1016,5951,1512,163652,2594,42007,2939,101929,3682,1687,777,8942,1324,9087,1518,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
