GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001MA,C27001D_001EA,C27001D_002MA,C27001D_002EA,C27001D_003EA,C27001D_003MA,C27001D_004MA,C27001D_004EA,C27001D_005EA,C27001D_005MA,C27001D_006EA,C27001D_006MA,C27001D_007MA,C27001D_007EA,C27001D_008MA,C27001D_008EA,C27001D_009MA,C27001D_009EA,C27001D_010MA,C27001D_010EA,state
0400000US01,59159,2329,13539,1410,12403,1372,1136,732,40542,1779,35585,2431,4957,1534,5078,905,5030,896,48,79,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46347,2554,11819,1498,10812,1445,1007,660,31160,1494,24791,1628,6369,1338,3368,379,3074,478,294,245,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,215571,5390,43749,2930,41481,2813,2268,1289,148687,3574,136877,4137,11810,2260,23135,1069,21594,1357,1541,872,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42067,2513,9247,1407,9016,1448,231,205,29424,1954,25967,1886,3457,1207,3396,772,3243,759,153,169,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5521956,20257,1023042,10254,993859,10322,29183,3597,3722209,12529,3441990,14495,280219,11753,776705,3749,762183,3645,14522,2097,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,161665,5050,36256,3091,34889,3153,1367,528,110785,3329,100647,3391,10138,2234,14624,849,13472,1054,1152,597,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156062,2733,33885,1586,32212,1957,1673,882,110041,1899,100212,2859,9829,2370,12136,546,11589,631,547,422,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36061,1602,7811,801,7732,809,79,102,24352,1197,23350,1248,1002,429,3898,392,3661,484,237,379,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25901,1029,2389,529,2389,529,0,200,21811,940,21413,974,398,301,1701,152,1701,152,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,542341,8943,107080,4276,98360,4653,8720,2078,368335,6108,314658,7684,53677,5653,66926,2670,63199,2596,3727,1401,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,386885,5869,89684,3501,83347,3819,6337,1847,267048,4105,228694,6252,38354,4954,30153,1308,28025,1682,2128,958,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,524709,10018,76589,4677,74416,4559,2173,696,321081,6834,306257,7006,14824,2022,127039,1986,125956,2040,1083,753,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21145,2248,3321,1273,3321,1273,0,193,15801,1514,14656,1414,1145,750,2023,577,2023,577,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,672727,6499,136558,3851,133833,3655,2725,933,462136,4009,420692,5497,41444,3825,74033,1448,70089,1662,3944,1061,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,138584,4051,33447,2479,31274,2410,2173,1033,96781,3092,85761,3590,11020,2118,8356,1150,7696,1123,660,355,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,68388,3285,17188,1603,16343,1568,845,440,48359,2622,42802,2515,5557,1490,2841,803,2841,803,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,83753,2633,20533,2138,18713,2258,1820,874,56749,1656,49545,2137,7204,1427,6471,868,6425,854,46,72,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,59249,2773,14318,1472,13303,1559,1015,631,39103,2085,33403,2043,5700,1462,5828,1079,5501,1097,327,223,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,80175,1904,17502,1199,16360,1202,1142,640,55692,1528,46290,2415,9402,2004,6981,1039,6735,943,246,331,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13286,1359,2385,931,2289,910,96,115,9603,889,8323,974,1280,623,1298,403,1254,395,44,81,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,382756,4692,81477,2648,77886,2817,3591,1325,257669,3066,235330,4125,22339,3366,43610,1092,40592,1355,3018,825,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,429721,4605,87333,2798,86007,3081,1326,833,307794,2828,294800,3767,12994,2315,34594,1111,33425,1103,1169,637,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,292594,3910,68444,2246,65940,2304,2504,848,200173,2986,183061,3838,17112,2970,23977,961,22633,1160,1344,684,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,258148,4960,73421,2853,69740,3117,3681,1908,169514,3521,156917,3715,12597,2592,15213,1022,14783,1043,430,381,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,29270,2295,6834,1299,6583,1345,251,314,19294,1832,15348,1787,3946,1504,3142,868,3099,869,43,77,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
