GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001EA,B08008_001MA,B08008_002EA,B08008_002MA,B08008_003MA,B08008_003EA,B08008_004EA,B08008_004MA,B08008_005MA,B08008_005EA,B08008_006EA,B08008_006MA,B08008_007MA,B08008_007EA,B08008_008EA,B08008_008MA,B08008_009EA,B08008_009MA,B08008_010MA,B08008_010EA,B08008_011MA,B08008_011EA,B08008_012MA,B08008_012EA,B08008_013EA,B08008_013MA,B08008_014EA,B08008_014MA,B08008_015MA,B08008_015EA,state
0400000US01,2011723,14261,1344333,17045,593601,12834,750732,12962,667390,13490,1059137,9654,690607,10433,291890,8887,398717,9754,368530,9741,952586,11183,653726,10504,301711,7495,352015,8595,298860,8305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,363075,5057,352657,4887,254819,4247,97838,4161,10418,1734,204888,3792,198175,3680,137589,3357,60586,3021,6713,1304,158187,3178,154482,3216,117230,2695,37252,2048,3705,692,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2899727,18330,2716680,18436,1251410,18572,1465270,14862,183047,7780,1554506,11351,1456452,11494,643719,12103,812733,10539,98054,5228,1345221,13711,1260228,13930,607691,11612,652537,11483,84993,4363,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1253288,11443,864897,13540,444097,10541,420800,11417,388391,8603,664550,8018,448723,8148,218070,6817,230653,7776,215827,5230,588738,8723,416174,9267,226027,7438,190147,7007,172564,5931,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17633846,45164,16775253,46507,6207538,38233,10567715,43457,858593,16859,9632021,29138,9142102,30576,3193601,28386,5948501,29491,489919,10667,8001825,32419,7633151,32557,3013937,25555,4619214,28169,368674,9195,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2740368,17973,2373879,18177,1019170,15574,1354709,14398,366489,11021,1487005,10887,1285018,10722,518178,11148,766840,9815,201987,6182,1253363,12588,1088861,12810,500992,9535,587869,11349,164502,6171,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1773121,10609,1059551,10538,327476,9518,732075,11754,713570,10137,915639,8463,542803,8015,155087,7046,387716,7905,372836,6155,857482,8520,516748,7811,172389,6275,344359,7454,340734,6764,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,441183,6008,184011,5354,43642,3163,140369,5718,257172,6694,224604,4082,90049,3872,20374,2183,69675,4105,134555,4082,216579,4560,93962,3965,23268,2329,70694,3937,122617,4650,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,358150,4914,358150,4914,264317,5413,93833,3789,0,200,176591,3350,176591,3350,125075,3901,51516,3569,0,200,181559,3787,181559,3787,139242,3908,42317,2928,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8880102,34688,6957983,34862,2259849,25515,4698134,33862,1922119,23556,4639812,22231,3619163,22743,1132072,17297,2487091,21690,1020649,15204,4240290,23073,3338820,22173,1127777,15111,2211043,22069,901470,14759,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4555243,21695,2174611,21165,883341,15494,1291270,20107,2380632,24900,2378018,14518,1115155,13748,433509,10746,681646,14381,1262863,14937,2177225,15928,1059456,13027,449832,9489,609624,12765,1117769,16406,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,704914,7321,682889,7637,257188,7263,425701,7250,22025,3177,388614,4834,375648,4913,136508,5543,239140,5256,12966,1711,316300,5127,307241,5167,120680,3895,186561,4483,9059,2016,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,734911,8152,521329,8478,281788,6418,239541,8089,213582,7992,395724,5362,277147,5627,141349,5238,135798,5649,118577,4471,339187,5857,244182,5858,140439,4325,103743,5096,95005,5143,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6094828,22953,5360947,23617,2060807,19315,3300140,23868,733881,13464,3209988,13237,2809793,15984,1020595,12146,1789198,15647,400195,8522,2884840,16294,2551154,15561,1040212,13579,1510942,16305,333686,7412,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3063590,16142,2103622,19848,1014395,14451,1089227,17668,959968,16732,1619061,10323,1087435,13282,488829,10329,598606,11342,531626,9453,1444529,12690,1016187,12057,525566,10179,490621,10994,428342,10343,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
