GEO_ID,B08014_001E,B08014_001M,B08014_002E,B08014_002M,B08014_003E,B08014_003M,B08014_004E,B08014_004M,B08014_005E,B08014_005M,B08014_006E,B08014_006M,B08014_007E,B08014_007M,B08014_008E,B08014_008M,B08014_009E,B08014_009M,B08014_010E,B08014_010M,B08014_011E,B08014_011M,B08014_012E,B08014_012M,B08014_013E,B08014_013M,B08014_014E,B08014_014M,B08014_015E,B08014_015M,B08014_016E,B08014_016M,B08014_017E,B08014_017M,B08014_018E,B08014_018M,B08014_019E,B08014_019M,B08014_020E,B08014_020M,B08014_021E,B08014_021M,NAME,B08014_001MA,B08014_001EA,B08014_002EA,B08014_002MA,B08014_003MA,B08014_003EA,B08014_004EA,B08014_004MA,B08014_005MA,B08014_005EA,B08014_006EA,B08014_006MA,B08014_007MA,B08014_007EA,B08014_008EA,B08014_008MA,B08014_009MA,B08014_009EA,B08014_010EA,B08014_010MA,B08014_011EA,B08014_011MA,B08014_012MA,B08014_012EA,B08014_013EA,B08014_013MA,B08014_014MA,B08014_014EA,B08014_015EA,B08014_015MA,B08014_016EA,B08014_016MA,B08014_017EA,B08014_017MA,B08014_018MA,B08014_018EA,B08014_019EA,B08014_019MA,B08014_020MA,B08014_020EA,B08014_021MA,B08014_021EA,state
0400000US01,1999067,14297,40084,4088,406294,11156,803572,17456,458133,15192,193293,9919,97691,9666,1053073,9490,20990,3023,175760,7993,445993,10322,250334,9149,104649,5817,55347,5607,945994,11367,19094,2251,230534,7354,357579,10897,207799,8567,88644,5565,42344,5204,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,346877,4952,20281,1995,73163,4069,140033,6507,67878,4914,26199,3863,19323,3954,192396,3628,10821,1395,38490,2638,78323,4207,38911,2881,14473,2218,11378,2310,154481,3233,9460,1230,34673,2624,61710,3596,28967,2799,11726,2303,7945,2102,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2878865,18818,87035,6497,647691,15776,1238550,16640,583033,17903,235546,13063,87010,8525,1542439,11458,47949,4506,318478,8474,672686,10190,322428,11213,130954,8280,49944,5173,1336426,13726,39086,3842,329213,10354,565864,11603,260605,9063,104592,6468,37066,4459,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1243363,11197,28929,3102,266973,9018,523044,12757,277868,11315,106369,6436,40180,5500,659135,8122,13986,2024,123678,6273,287316,8005,152071,6679,58538,3806,23546,3458,584228,8630,14943,2106,143295,6597,235728,7166,125797,6034,47831,3664,16634,2707,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17482710,44610,596933,15636,3413333,30764,6756264,51609,3857168,47114,1854519,36829,1004493,32271,9537318,28829,315833,11714,1719044,21940,3748788,31358,2141979,27570,1041702,24103,569972,19439,7945392,32545,281100,9267,1694289,20783,3007476,28093,1715189,25402,812817,17296,434521,16180,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2715904,17677,56998,4003,503553,12188,1154228,16385,621282,16269,249297,11238,130546,9743,1471440,10694,34504,3029,245342,8499,634610,9868,338714,9314,140869,7069,77401,6170,1244464,12557,22494,2533,258211,7425,519618,9800,282568,9616,108428,6003,53145,4508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1750191,10369,62229,5363,335177,11133,752349,16310,381396,14307,148436,9746,70604,7139,905293,8404,30270,3649,153311,8022,397746,10069,206535,9014,78137,5840,39294,4123,844898,8371,31959,3030,181866,6009,354603,8792,174861,6917,70299,4990,31310,3648,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,437771,5923,12950,1964,91980,5570,180609,7231,98615,5819,37511,4926,16106,3784,222889,4087,6771,1380,41037,3426,94822,4063,51938,3759,20227,2858,8094,1956,214882,4439,6179,1334,50943,3815,85787,4591,46677,3318,17284,2631,8012,2360,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,346742,4653,91122,5536,149203,6254,81451,5797,17252,3468,6260,2511,1454,723,172020,3341,44615,3673,72753,3816,41753,3810,8522,1981,3614,1763,763,424,174722,3802,46507,3820,76450,4325,39698,3266,8730,1913,2646,1057,691,393,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8830925,34369,253566,10606,2139313,27798,3991116,39659,1677122,34417,586145,23250,183663,16101,4608868,22194,141878,7781,1007301,16019,2136570,23052,902865,19595,315069,12815,105185,9455,4222057,23408,111688,6320,1132012,17988,1854546,23433,774257,18741,271076,13430,78478,7703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4513502,21340,138753,7596,1001378,18231,1881152,24551,957104,22706,379650,17466,155465,11710,2352983,14356,72846,5160,451087,11619,1013713,14930,520049,13900,206744,10187,88544,7038,2160519,15826,65907,5237,550291,13171,867439,15343,437055,12182,172906,8903,66921,5853,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
