GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002MA,B15002H_002EA,B15002H_003EA,B15002H_003MA,B15002H_004EA,B15002H_004MA,B15002H_005MA,B15002H_005EA,B15002H_006MA,B15002H_006EA,B15002H_007MA,B15002H_007EA,B15002H_008MA,B15002H_008EA,B15002H_009EA,B15002H_009MA,B15002H_010EA,B15002H_010MA,B15002H_011MA,B15002H_011EA,B15002H_012MA,B15002H_012EA,B15002H_013MA,B15002H_013EA,B15002H_014EA,B15002H_014MA,B15002H_015EA,B15002H_015MA,B15002H_016MA,B15002H_016EA,B15002H_017EA,B15002H_017MA,B15002H_018MA,B15002H_018EA,B15002H_019MA,B15002H_019EA,state
0400000US01,2279702,1666,1092757,1178,49721,3572,94853,5320,266253,7133,77278,4251,233291,6925,75857,4244,190184,6433,105320,4908,1186945,1068,42522,2944,103417,5376,282562,7012,70781,4351,255963,7774,112040,4814,202755,6469,116905,4853,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,316043,616,168627,472,1957,598,5052,1017,36404,2592,8916,1238,44623,3127,13766,1555,36088,2729,21821,1719,147416,502,1323,408,4775,1082,25699,2426,4956,1002,40229,2441,12794,1850,34638,2416,23002,2234,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2862388,1664,1395735,1021,19115,2153,70051,4860,258262,7850,63105,3779,380041,9112,117105,5016,303312,6900,184744,4897,1466653,1120,20706,2509,65115,4554,301844,7115,45505,3196,406041,7848,144716,5792,302218,6536,180508,6195,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1538245,1778,741705,1235,29616,2472,63728,3471,208196,5249,55951,3748,172740,5513,42587,2998,109627,4838,59260,3302,796540,1286,28438,2192,57806,3660,219963,5622,48541,3074,181503,5812,66953,4273,124302,4978,69034,4174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11281942,4401,5572882,2508,85986,4606,228922,7389,888742,11987,153956,5895,1344540,14132,457740,10330,1447584,17163,965412,13093,5709060,2532,92769,5167,204699,6847,990921,12035,101303,4794,1433561,16406,554294,11606,1415318,17982,916195,12988,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2704318,3248,1336381,2354,13415,1810,38452,3294,216004,6327,51935,3455,302690,8204,107261,5005,382282,8074,224342,5914,1367937,1622,11677,1715,33515,2794,233578,6395,36106,3340,302819,6845,123368,5410,393201,7530,233673,5929,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1793942,1495,856593,927,19696,1995,35210,3043,206185,6591,30958,2480,141049,5235,55346,3126,213352,6140,154797,4279,937349,899,19877,1933,33105,2871,221991,6081,21678,2185,152694,4645,87117,4497,220562,5234,180325,4930,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,445757,790,212140,335,5135,1044,15054,2005,56709,2986,9331,1378,40847,2691,15491,1666,41917,3036,27656,2216,233617,507,4350,1020,11213,1538,64467,3315,6717,1101,46326,2900,24129,2311,44438,2615,31977,2472,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,184676,426,93659,236,158,193,239,298,1608,631,282,264,5318,1195,1135,485,34370,2064,50549,2015,91017,354,224,171,167,164,1699,516,232,182,2949,748,1459,475,32556,2146,51731,2363,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8606703,4777,4160031,3015,90650,6064,247181,9231,945987,15457,225753,8238,890206,13130,365317,10388,876135,15189,518802,10515,4446672,2976,76489,5133,217842,7368,1151682,15333,173382,7165,998443,12771,479707,10830,864461,12838,484666,10133,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
