GEO_ID,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,NAME,B25070_001EA,B25070_001MA,B25070_002MA,B25070_002EA,B25070_003MA,B25070_003EA,B25070_004MA,B25070_004EA,B25070_005EA,B25070_005MA,B25070_006EA,B25070_006MA,B25070_007MA,B25070_007EA,B25070_008MA,B25070_008EA,B25070_009MA,B25070_009EA,B25070_010EA,B25070_010MA,B25070_011MA,B25070_011EA,state
0400000US01,592795,11428,23643,2738,49457,3842,67012,4420,59472,4869,56864,4067,45130,2986,35050,2931,45381,3917,127820,5714,82966,3967,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,90263,3323,4150,808,7534,1394,13064,1704,9391,1332,9294,1285,6957,1486,7814,1467,6826,1171,18005,2027,7228,890,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,938180,12431,31478,2830,73882,4721,116602,6796,119012,5697,100818,5069,74391,4577,59686,3615,83690,4284,203589,6810,75032,4684,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,398663,8123,16835,2032,38341,3150,44991,3572,44884,3846,38196,3738,30007,2949,22877,3049,32433,2964,81361,4904,48738,3729,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5985534,26745,165055,6667,387984,10364,615021,13336,689473,13080,655932,13468,540601,11054,405980,11163,586811,14056,1633554,17767,305123,8827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,752117,9473,20748,2480,55351,3133,97479,5342,95764,4615,84287,4303,73703,4842,46599,3728,70853,4567,169542,5984,37791,3006,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,454668,8901,13774,2010,30635,3000,50355,3552,53522,3828,54135,3590,38594,3296,27678,3060,37138,3034,119987,5503,28850,2516,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,102914,4301,4686,1041,8417,1802,12373,1766,12956,1689,9683,1369,7968,1537,5560,979,8822,1550,22895,2828,9554,1608,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169232,4150,7007,1334,13721,1798,19595,2179,22373,2498,19734,2422,15346,2106,11002,1803,12641,1844,38220,2935,9593,1394,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2703113,22882,62918,4715,155927,6926,262515,7826,316604,9137,283579,9456,241113,10062,184730,6915,278270,9192,726932,13846,190525,7203,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1395241,15955,40306,3893,116224,6182,171602,6925,167160,6568,144937,6472,107038,5460,81676,4592,121288,6298,328857,9640,116153,5276,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
