GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001EA,C23002F_001MA,C23002F_002MA,C23002F_002EA,C23002F_003MA,C23002F_003EA,C23002F_004MA,C23002F_004EA,C23002F_005MA,C23002F_005EA,C23002F_006EA,C23002F_006MA,C23002F_007MA,C23002F_007EA,C23002F_008MA,C23002F_008EA,C23002F_009MA,C23002F_009EA,C23002F_010MA,C23002F_010EA,C23002F_011EA,C23002F_011MA,C23002F_012EA,C23002F_012MA,C23002F_013MA,C23002F_013EA,C23002F_014MA,C23002F_014EA,C23002F_015MA,C23002F_015EA,C23002F_016MA,C23002F_016EA,C23002F_017EA,C23002F_017MA,C23002F_018MA,C23002F_018EA,C23002F_019MA,C23002F_019EA,C23002F_020MA,C23002F_020EA,C23002F_021EA,C23002F_021MA,C23002F_022EA,C23002F_022MA,C23002F_023EA,C23002F_023MA,C23002F_024MA,C23002F_024EA,C23002F_025EA,C23002F_025MA,C23002F_026MA,C23002F_026EA,C23002F_027MA,C23002F_027EA,state
0400000US01,33866,4024,19774,3133,19312,3134,16542,2978,0,192,16542,2978,16048,2944,494,258,2770,1042,462,397,173,169,173,169,0,192,289,306,14092,1976,13648,1903,7558,1449,0,192,7558,1449,6829,1363,729,366,6090,1483,444,340,117,204,117,204,0,192,327,279,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,350295,16208,176074,8414,163069,7831,128322,6751,1211,462,127111,6812,117661,6224,9450,2071,34747,3696,13005,1840,1711,622,1587,603,124,104,11294,1731,174221,9036,159958,8648,103789,6494,0,201,103789,6494,93463,6004,10326,2101,56169,4745,14263,1635,1569,514,1371,453,198,223,12694,1644,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43067,4448,23370,2633,22139,2582,17076,1916,86,149,16990,1904,15841,1922,1149,632,5063,1355,1231,532,376,262,376,262,0,190,855,480,19697,2470,18022,2514,11145,2113,0,190,11145,2113,9983,1946,1162,959,6877,1506,1675,787,42,83,42,83,0,190,1633,780,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3926820,45913,2003505,27218,1877916,26250,1515802,22658,5231,1560,1510571,22424,1395610,22021,114961,6415,362114,11386,125589,4696,25116,2731,24043,2627,1073,493,100473,3973,1923315,23100,1759593,20835,1132414,18089,687,331,1131727,18144,1021525,17291,110202,6310,627179,13130,163722,6286,19446,1955,18343,1977,1103,525,144276,5754,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,152598,8660,78607,5349,72997,5081,61598,4776,634,410,60964,4844,57747,4763,3217,1115,11399,1766,5610,1052,990,521,708,316,282,416,4620,1005,73991,4927,66549,4491,42433,3683,111,186,42322,3682,37736,3222,4586,1392,24116,2871,7442,1174,962,479,962,479,0,193,6480,1108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134469,9155,71406,5363,67148,5110,50949,4713,39,67,50910,4719,45042,4342,5868,1487,16199,2147,4258,975,347,305,347,305,0,198,3911,937,63063,4968,58798,4808,41791,3893,0,198,41791,3893,35650,3570,6141,1586,17007,2371,4265,979,433,282,401,293,32,54,3832,986,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14486,2812,7240,1641,6630,1577,4258,1166,0,190,4258,1166,4000,1125,258,166,2372,975,610,368,306,337,306,337,0,190,304,268,7246,1581,7000,1572,4793,1121,0,190,4793,1121,4613,1133,180,217,2207,823,246,200,21,35,21,35,0,190,225,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26243,2975,14312,1787,13574,1826,11578,1839,176,362,11402,1872,10856,1775,546,437,1996,829,738,696,724,695,724,695,0,200,14,31,11931,1991,11430,2035,8507,1569,49,101,8458,1560,7878,1645,580,587,2923,1240,501,381,126,142,126,142,0,200,375,366,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,411937,17716,209418,10323,193851,10119,159975,8921,488,376,159487,8929,149987,8599,9500,1806,33876,3962,15567,2303,4523,1417,4350,1431,173,199,11044,1628,202519,10107,181539,9327,130450,7660,11,19,130439,7657,118424,7174,12015,2475,51089,4879,20980,2759,3848,1681,2787,841,1061,1531,17132,2259,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
