GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001EA,B21001G_001MA,B21001G_002MA,B21001G_002EA,B21001G_003MA,B21001G_003EA,B21001G_004EA,B21001G_004MA,B21001G_005MA,B21001G_005EA,B21001G_006EA,B21001G_006MA,B21001G_007MA,B21001G_007EA,B21001G_008EA,B21001G_008MA,B21001G_009EA,B21001G_009MA,B21001G_010MA,B21001G_010EA,B21001G_011MA,B21001G_011EA,B21001G_012EA,B21001G_012MA,B21001G_013MA,B21001G_013EA,B21001G_014EA,B21001G_014MA,B21001G_015MA,B21001G_015EA,B21001G_016EA,B21001G_016MA,B21001G_017EA,B21001G_017MA,B21001G_018MA,B21001G_018EA,B21001G_019EA,B21001G_019MA,B21001G_020MA,B21001G_020EA,B21001G_021MA,B21001G_021EA,B21001G_022MA,B21001G_022EA,B21001G_023EA,B21001G_023MA,B21001G_024MA,B21001G_024EA,B21001G_025EA,B21001G_025MA,B21001G_026MA,B21001G_026EA,B21001G_027MA,B21001G_027EA,B21001G_028EA,B21001G_028MA,B21001G_029MA,B21001G_029EA,B21001G_030EA,B21001G_030MA,B21001G_031MA,B21001G_031EA,B21001G_032EA,B21001G_032MA,B21001G_033MA,B21001G_033EA,state
0400000US01,49022,4107,24240,2799,11329,1979,388,228,10941,1947,7537,1616,1226,556,6311,1489,3691,1142,1083,605,2608,959,1279,469,607,363,672,278,404,290,175,124,229,253,24782,2253,9765,1763,160,166,9605,1763,8178,1131,58,66,8120,1129,3259,795,84,115,3175,774,2019,621,10,18,2009,620,1561,603,88,141,1473,585,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33614,2486,17042,1746,8982,1176,824,482,8158,1180,5435,1020,710,359,4725,1036,1605,409,636,332,969,341,631,274,382,212,249,151,389,262,164,148,225,210,16572,1525,8581,1045,218,198,8363,1085,5495,849,90,87,5405,840,1219,462,0,149,1219,462,510,268,0,149,510,268,767,358,51,61,716,347,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,114910,6781,56055,4267,26834,2946,954,441,25880,2923,17480,2215,1850,614,15630,2160,6750,1242,1222,500,5528,1277,3415,807,1446,531,1969,641,1576,601,819,451,757,422,58855,3872,28998,2728,182,209,28816,2707,19097,2539,491,295,18606,2557,5452,1180,226,272,5226,1134,3278,802,141,208,3137,768,2030,639,59,98,1971,634,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32661,3606,16628,2235,6592,1519,477,357,6115,1434,5970,1291,996,656,4974,1284,1859,570,500,405,1359,543,1376,531,659,370,717,375,831,345,301,255,530,256,16033,2301,6290,1418,264,223,6026,1346,4860,1250,131,207,4729,1230,1621,523,0,190,1621,523,2004,648,72,109,1932,634,1258,601,0,190,1258,601,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,993676,19980,485618,13066,233470,8583,8513,1430,224957,8488,159392,6590,14987,2086,144405,5987,51654,3213,8507,1222,43147,2915,26016,2140,7948,1057,18068,1842,15086,1577,5563,880,9523,1259,508058,11392,234540,8423,2427,1334,232113,8283,167956,5597,2265,619,165691,5520,55472,3363,731,288,54741,3317,30664,2560,571,300,30093,2533,19426,1891,433,289,18993,1857,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,104783,5789,52575,4202,28132,3171,2147,750,25985,2988,17343,2033,2487,932,14856,2070,4020,820,1178,445,2842,712,2149,673,1042,427,1107,518,931,440,635,406,296,167,52208,3355,27392,2331,465,331,26927,2278,17012,1936,819,429,16193,1949,4212,884,83,101,4129,883,2300,692,58,97,2242,689,1292,522,0,193,1292,522,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,59257,5268,28853,3371,16516,2691,613,390,15903,2768,7391,1506,306,230,7085,1498,3807,989,379,260,3428,931,568,281,150,122,418,253,571,545,67,95,504,534,30404,3425,16521,2727,35,57,16486,2731,9221,1606,213,198,9008,1618,2384,697,37,63,2347,694,1414,504,69,116,1345,487,864,446,10,20,854,446,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12842,2005,6710,1440,3583,1197,0,190,3583,1197,1775,689,229,157,1546,681,766,466,218,292,548,386,303,226,284,228,19,33,283,208,184,198,99,88,6132,1261,2741,925,19,31,2722,923,2212,648,45,74,2167,635,692,347,0,190,692,347,423,318,0,190,423,318,64,91,0,190,64,91,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,287164,12607,143315,8084,64996,4918,3183,1238,61813,4988,46772,4226,5415,1272,41357,4171,16077,2166,2431,789,13646,1789,10124,1391,3258,771,6866,1200,5346,987,2239,563,3107,838,143849,7720,63930,5050,1433,694,62497,5036,46713,3729,1301,624,45412,3759,16615,1696,679,341,15936,1684,9700,1625,42,71,9658,1623,6891,1395,49,105,6842,1408,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
