GEO_ID,B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,NAME,B20017H_001MA,B20017H_001EA,B20017H_002MA,B20017H_002EA,B20017H_003MA,B20017H_003EA,B20017H_004EA,B20017H_004MA,B20017H_005EA,B20017H_005MA,B20017H_006EA,B20017H_006MA,B20017H_007MA,B20017H_007EA,state
0400000US01,31662,336,39647,1162,50122,524,10686,350,25291,643,36664,635,9786,446,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41879,738,50849,937,62155,2787,24919,3303,34032,3897,51171,1328,15574,1437,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35370,389,41245,373,52665,1600,11648,333,30334,404,41646,450,11094,293,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,29783,676,33989,1731,44534,1884,10519,508,24733,699,35072,800,9775,497,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,44344,755,51891,231,71164,368,16116,323,35995,306,55555,522,13674,335,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37842,722,45808,585,59062,1773,13044,959,31099,318,45712,597,11896,257,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,45599,583,52404,1183,70311,768,12437,601,37437,846,55720,869,13617,771,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38737,1745,42239,1001,52447,2470,11470,800,32312,1616,47154,1624,10892,634,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68900,2987,77702,4648,95762,4790,11236,2910,60304,2282,76699,2213,15860,5395,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,32279,158,37385,388,49219,1012,12078,199,28578,558,40280,274,11443,172,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
