GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001EA,B19082_001MA,B19082_002EA,B19082_002MA,B19082_003EA,B19082_003MA,B19082_004MA,B19082_004EA,B19082_005EA,B19082_005MA,B19082_006EA,B19082_006MA,state
0400000US01,3.04,0.07,8.22,0.11,14.39,0.16,23.16,0.23,51.19,0.45,22.38,0.61,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3.97,0.20,9.75,0.33,15.83,0.48,23.28,0.60,47.16,1.30,20.47,1.62,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3.28,0.08,8.82,0.11,14.61,0.14,22.77,0.18,50.52,0.40,22.49,0.51,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3.31,0.09,8.50,0.15,14.27,0.22,22.69,0.32,51.23,0.63,23.12,0.82,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3.02,0.03,8.13,0.04,14.11,0.07,22.74,0.08,52.01,0.17,23.15,0.21,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3.57,0.08,9.10,0.12,14.91,0.16,22.90,0.20,49.51,0.44,21.95,0.49,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2.93,0.08,8.20,0.12,14.13,0.15,22.39,0.22,52.35,0.43,24.39,0.52,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3.67,0.21,9.24,0.30,15.18,0.36,22.90,0.45,49.02,1.11,21.64,1.45,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2.00,0.17,6.82,0.35,13.12,0.53,22.11,0.78,55.94,1.55,26.19,2.23,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3.27,0.04,8.42,0.07,13.98,0.09,22.01,0.13,52.32,0.27,24.65,0.37,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3.08,0.06,8.47,0.10,14.36,0.13,22.77,0.18,51.32,0.36,22.85,0.47,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3.56,0.14,9.81,0.23,15.87,0.24,23.70,0.28,47.07,0.66,19.66,0.71,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3.61,0.19,9.17,0.26,15.09,0.31,23.37,0.42,48.77,0.95,21.32,1.27,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3.09,0.05,8.39,0.07,14.36,0.10,22.73,0.13,51.43,0.26,23.30,0.33,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3.68,0.07,9.25,0.11,15.03,0.14,23.12,0.19,48.92,0.42,21.48,0.53,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3.79,0.09,9.56,0.12,15.64,0.15,23.35,0.22,47.66,0.44,20.76,0.53,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3.53,0.10,9.13,0.17,14.86,0.23,22.92,0.32,49.56,0.70,22.38,0.92,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3.20,0.07,8.44,0.13,14.41,0.17,22.90,0.24,51.05,0.52,23.07,0.69,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.80,0.07,7.79,0.11,14.09,0.16,23.49,0.27,51.84,0.46,22.40,0.57,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3.59,0.14,8.99,0.24,15.33,0.31,23.38,0.41,48.70,0.95,21.07,1.22,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3.44,0.08,9.21,0.10,15.21,0.11,23.38,0.14,48.75,0.32,20.89,0.39,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2.80,0.06,8.17,0.10,14.52,0.14,23.18,0.16,51.34,0.37,22.73,0.42,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3.32,0.05,8.82,0.07,14.71,0.09,23.02,0.12,50.12,0.28,22.06,0.35,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3.71,0.06,9.32,0.10,15.23,0.13,23.01,0.16,48.72,0.34,21.49,0.42,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
