GEO_ID,B09001_001E,B09001_001M,B09001_002E,B09001_002M,B09001_003E,B09001_003M,B09001_004E,B09001_004M,B09001_005E,B09001_005M,B09001_006E,B09001_006M,B09001_007E,B09001_007M,B09001_008E,B09001_008M,B09001_009E,B09001_009M,B09001_010E,B09001_010M,NAME,B09001_001EA,B09001_001MA,B09001_002EA,B09001_002MA,B09001_003EA,B09001_003MA,B09001_004MA,B09001_004EA,B09001_005MA,B09001_005EA,B09001_006EA,B09001_006MA,B09001_007EA,B09001_007MA,B09001_008EA,B09001_008MA,B09001_009EA,B09001_009MA,B09001_010MA,B09001_010EA,state
0400000US01,1108408,3222,1106293,3254,168451,4329,116651,4275,60937,4184,192112,5988,185806,6137,187551,7143,194785,2760,2115,291,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,186391,577,185534,623,32792,1591,21762,1584,11215,1498,31366,1908,28159,1855,30003,1945,30237,869,857,301,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1621528,865,1618861,909,253610,4654,175828,4411,82587,3910,280242,6886,280581,6192,272549,7255,273464,1011,2667,385,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,705944,1618,702195,1770,112837,3720,75867,3999,37411,3297,117934,4982,125383,4909,116671,4136,116092,2332,3749,518,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9116418,2535,9097914,2971,1477202,13397,1029698,13276,482234,10099,1541685,17002,1527037,16826,1507227,17505,1532831,2877,18504,1227,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256772,1609,1253909,1693,199381,5534,134133,5443,68823,3641,219491,5566,214537,5758,213594,6395,203950,1731,2863,478,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,763325,818,761030,846,108810,3642,77718,3543,39087,3239,125218,5027,134414,4511,133157,5196,142626,826,2295,383,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,204200,326,203545,422,31797,2037,23648,2027,10487,1519,32402,2681,33053,2124,37931,3034,34227,662,655,256,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117838,15,116927,366,27208,2047,16022,2047,8136,1194,18753,1628,15993,1570,16015,1760,14800,365,911,367,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4102989,2543,4088990,2877,646213,9520,450946,9357,217835,7224,680971,11652,688790,11325,691904,12984,712331,3146,13999,1479,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2502414,2560,2497644,2521,389751,8334,259352,8071,139460,6077,430512,11100,424492,9366,430955,8004,423122,3710,4770,646,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,311206,493,309711,774,55691,2334,36103,2363,18422,2070,48891,3068,52909,2743,50468,2629,47227,847,1495,582,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,432181,1520,430251,1548,66898,2250,44949,2333,22820,2390,77685,3443,77229,3685,70148,3381,70522,1197,1930,420,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2960185,2291,2954616,2523,450573,7643,328895,7448,158437,5852,495352,9302,506309,8757,506100,8379,508950,2118,5569,1090,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1579734,2936,1575789,3004,248794,5440,170415,5113,80606,3805,263350,7621,266327,6083,274357,7981,271940,2431,3945,501,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,728753,2102,726089,2077,117079,3912,77960,3557,41735,2640,124030,4874,123450,4002,120391,4313,121444,1404,2664,255,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,720234,2075,718852,2061,116453,3713,80546,3422,38511,2931,125367,4687,114373,4667,123448,4559,120154,2098,1382,308,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1010583,2589,1008114,2561,159849,3907,113517,3932,55489,4047,167640,5720,166406,5756,172494,6176,172719,2319,2469,279,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1116185,2718,1114329,2677,177345,5597,127484,5432,62797,4305,196977,7443,187779,6540,176876,5994,185071,2928,1856,454,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
