GEO_ID,C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,NAME,C01001H_001EA,C01001H_001MA,C01001H_002MA,C01001H_002EA,C01001H_003EA,C01001H_003MA,C01001H_004MA,C01001H_004EA,C01001H_005MA,C01001H_005EA,C01001H_006EA,C01001H_006MA,C01001H_007EA,C01001H_007MA,C01001H_008EA,C01001H_008MA,C01001H_009MA,C01001H_009EA,state
0400000US01,3204076,917,1567232,1874,330930,1796,970930,623,265372,298,1636844,2017,312607,1945,988463,259,335774,249,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,452472,1051,242264,668,47949,527,166312,448,28003,12,210208,764,44492,665,139449,412,26267,80,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3802263,2149,1878554,1186,333172,860,1123567,657,421815,477,1923709,1711,316986,1160,1122929,902,483794,465,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2174934,1792,1069571,1658,231772,1556,652407,417,185392,194,1105363,1756,217033,1528,659487,588,228843,270,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14815122,7888,7401043,4377,1216807,2934,4811642,2856,1372594,737,7414079,4524,1153488,2272,4597252,3195,1663339,632,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3737243,4050,1871187,3010,362630,1900,1236080,1753,272477,211,1866056,2136,344108,1691,1198146,868,323802,269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2439796,2532,1188046,1612,221909,613,756622,1215,209515,173,1251750,1472,210307,446,768656,1176,272787,333,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,596375,969,289081,457,52621,241,178288,351,58172,39,307294,710,50185,414,186093,596,71016,35,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,241855,788,120817,293,12939,121,95969,257,11909,200,121038,736,12668,117,94800,721,13570,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11170487,5912,5477449,3494,904675,2204,3214265,2307,1358509,868,5693038,4393,859157,2599,3242277,2339,1591604,1866,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5482711,4561,2703469,3272,575912,2823,1708884,1151,418673,351,2779242,3552,541632,2692,1716906,1802,520704,264,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,326152,606,179766,644,21262,470,126591,356,31913,88,146386,664,21923,511,93678,403,30785,105,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1367034,978,681305,1220,166789,1044,407206,360,107310,272,685729,1057,158847,920,406310,524,120572,53,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7948431,3009,3901931,2060,783407,1359,2501270,1580,617254,228,4046500,2090,744605,1539,2504199,1013,797696,276,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5288882,2892,2598419,2018,579980,1902,1635071,761,383368,300,2690463,2607,556615,2195,1643580,1047,490268,320,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2710477,1493,1338677,1430,296216,953,828774,911,213687,201,1371800,1090,280226,828,820788,538,270786,176,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2223659,822,1099690,1254,246340,1159,682401,437,170949,110,1123969,1246,234539,1238,675754,476,213676,94,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3768120,1483,1845133,1695,409816,1533,1160250,476,275067,215,1922987,1622,392702,1485,1183240,543,347045,292,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2754976,1884,1359673,1823,295766,1717,855411,736,208496,337,1395303,2218,276275,1751,859438,897,259590,142,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1244002,349,608792,542,117849,500,380106,230,110837,163,635210,511,109884,511,391741,109,133585,22,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3115032,2607,1526869,1532,299895,822,973822,1006,253152,661,1588163,1650,283827,903,985143,1248,319193,254,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4958598,5801,2399054,3613,446274,1981,1558765,2520,394015,535,2559544,2862,426854,1326,1613247,2158,519443,718,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7486419,3080,3697330,1771,762059,973,2334395,1213,600876,463,3789089,2082,722655,1595,2324650,1028,741784,439,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4441640,2113,2199767,1593,463636,779,1395738,1174,340393,100,2241873,906,442578,588,1381902,562,417393,122,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1705044,556,836807,2291,182577,2316,513587,430,140643,257,868237,2298,174840,2323,515974,478,177423,329,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4858768,2158,2389936,1890,523534,1568,1489552,920,376850,171,2468832,2107,496103,1591,1499800,1082,472929,261,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,894545,489,449873,975,91249,940,278118,366,80506,152,444672,1013,87120,950,269925,153,87627,91,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1518020,1532,751842,1169,169388,962,466579,625,115875,32,766178,1237,160166,1018,461656,545,144356,112,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1460688,1695,743646,1373,125933,955,468086,836,149627,228,717042,1089,118578,862,441357,518,157107,250,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1210017,667,596397,829,115649,635,384755,297,95993,156,613620,598,110556,579,387734,164,115330,78,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5020807,3217,2447961,1988,487478,1109,1536370,1023,424113,694,2572846,1656,462783,980,1549624,1273,560439,356,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
