GEO_ID,B27014_001E,B27014_001M,B27014_002E,B27014_002M,B27014_003E,B27014_003M,B27014_004E,B27014_004M,B27014_005E,B27014_005M,B27014_006E,B27014_006M,B27014_007E,B27014_007M,B27014_008E,B27014_008M,B27014_009E,B27014_009M,B27014_010E,B27014_010M,B27014_011E,B27014_011M,B27014_012E,B27014_012M,B27014_013E,B27014_013M,B27014_014E,B27014_014M,B27014_015E,B27014_015M,B27014_016E,B27014_016M,B27014_017E,B27014_017M,B27014_018E,B27014_018M,B27014_019E,B27014_019M,B27014_020E,B27014_020M,B27014_021E,B27014_021M,B27014_022E,B27014_022M,B27014_023E,B27014_023M,B27014_024E,B27014_024M,B27014_025E,B27014_025M,B27014_026E,B27014_026M,B27014_027E,B27014_027M,B27014_028E,B27014_028M,B27014_029E,B27014_029M,B27014_030E,B27014_030M,B27014_031E,B27014_031M,B27014_032E,B27014_032M,B27014_033E,B27014_033M,B27014_034E,B27014_034M,B27014_035E,B27014_035M,B27014_036E,B27014_036M,B27014_037E,B27014_037M,B27014_038E,B27014_038M,B27014_039E,B27014_039M,B27014_040E,B27014_040M,B27014_041E,B27014_041M,B27014_042E,B27014_042M,B27014_043E,B27014_043M,B27014_044E,B27014_044M,B27014_045E,B27014_045M,B27014_046E,B27014_046M,NAME,B27014_001MA,B27014_001EA,B27014_002MA,B27014_002EA,B27014_003EA,B27014_003MA,B27014_004EA,B27014_004MA,B27014_005EA,B27014_005MA,B27014_006MA,B27014_006EA,B27014_007MA,B27014_007EA,B27014_008EA,B27014_008MA,B27014_009EA,B27014_009MA,B27014_010EA,B27014_010MA,B27014_011EA,B27014_011MA,B27014_012MA,B27014_012EA,B27014_013EA,B27014_013MA,B27014_014MA,B27014_014EA,B27014_015MA,B27014_015EA,B27014_016EA,B27014_016MA,B27014_017EA,B27014_017MA,B27014_018MA,B27014_018EA,B27014_019EA,B27014_019MA,B27014_020MA,B27014_020EA,B27014_021MA,B27014_021EA,B27014_022EA,B27014_022MA,B27014_023MA,B27014_023EA,B27014_024MA,B27014_024EA,B27014_025MA,B27014_025EA,B27014_026EA,B27014_026MA,B27014_027EA,B27014_027MA,B27014_028MA,B27014_028EA,B27014_029MA,B27014_029EA,B27014_030EA,B27014_030MA,B27014_031MA,B27014_031EA,B27014_032MA,B27014_032EA,B27014_033EA,B27014_033MA,B27014_034MA,B27014_034EA,B27014_035MA,B27014_035EA,B27014_036MA,B27014_036EA,B27014_037EA,B27014_037MA,B27014_038MA,B27014_038EA,B27014_039MA,B27014_039EA,B27014_040MA,B27014_040EA,B27014_041EA,B27014_041MA,B27014_042MA,B27014_042EA,B27014_043MA,B27014_043EA,B27014_044EA,B27014_044MA,B27014_045MA,B27014_045EA,B27014_046MA,B27014_046EA,state
0400000US40,2871911,2134,1288133,9124,744848,6869,709367,6510,39923,2907,669444,6504,35481,2115,30859,2122,4622,918,543285,7155,521576,7298,21527,1789,500049,7579,21709,1517,19000,1428,2709,516,610729,9060,264117,5343,233142,5281,28373,2337,204769,5470,30975,1764,30250,1759,725,246,346612,7016,311824,7053,40374,2811,271450,6713,34788,2045,33664,2021,1124,355,973049,9244,378159,5881,196043,5700,86648,3514,109395,5142,182116,2923,180212,2990,1904,517,594890,6348,341988,5979,113633,4012,228355,5523,252902,2721,248116,2839,4786,821,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3131725,1611,1220662,12615,710061,9903,682482,9939,67257,4276,615225,9341,27579,2398,21846,2161,5733,1175,510601,8897,492942,8741,49829,3514,443113,8003,17659,1822,14275,1649,3384,912,862702,13945,380065,8804,342996,8181,98687,5692,244309,6930,37069,2415,35903,2326,1166,433,482637,10333,442878,9824,120566,5342,322312,8031,39759,2752,38327,2737,1432,539,1048361,11598,435800,7211,202843,7011,116530,5715,86313,4916,232957,3272,230413,3348,2544,698,612561,9237,316993,8658,146936,6114,170057,6657,295568,3107,291492,3331,4076,1121,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9914113,2314,4271347,21078,2428612,13310,2327870,13024,112844,4718,2215026,13554,100742,3935,81289,3583,19453,2028,1842735,15944,1779208,15166,98541,5535,1680667,14402,63527,3467,51110,3077,12417,1530,2376837,19285,1022690,13521,884183,13543,152415,6354,731768,11624,138507,4489,134277,4222,4230,1009,1354147,13090,1217283,12595,224871,8769,992412,11894,136864,4233,132819,4168,4045,768,3265929,21176,1303064,12558,626410,10927,320156,8977,306254,9495,676654,5442,670252,5222,6402,1048,1962865,15269,977533,13510,420601,9502,556932,10511,985332,6324,972933,6452,12399,1461,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,829871,791,347632,8012,195232,5995,186695,5662,14917,2297,171778,5244,8537,1329,6511,1185,2026,656,152400,4988,146744,4897,10241,1574,136503,4792,5656,935,4406,822,1250,535,226448,6866,95329,4533,83289,4436,18206,2395,65083,3910,12040,1537,11765,1516,275,249,131119,4875,119826,4594,32522,3257,87304,4411,11293,1299,10738,1316,555,329,255791,7087,105354,4456,54818,3718,32607,2998,22211,2273,50536,2176,50094,2130,442,326,150437,4583,75678,4248,38896,3217,36782,2980,74759,1879,73882,2016,877,510,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3714694,2967,1540440,16834,854855,11254,821595,11429,48937,3716,772658,12489,33260,2473,28985,2271,4275,1003,685585,10459,664332,10399,38143,3513,626189,10005,21253,1848,17936,1712,3317,766,826116,13273,360008,7826,308992,7912,42399,4296,266593,8216,51016,2699,49805,2649,1211,507,466108,10332,420927,10163,70006,5486,350921,9561,45181,2518,42985,2488,2196,703,1348138,15777,538070,9583,276568,9323,130981,6353,145587,6280,261502,3363,259521,3353,1981,624,810068,11472,445693,10367,176582,7091,269111,9147,364375,3623,361005,3563,3370,1049,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,632783,1427,315978,6099,181387,3973,171837,3861,7657,1142,164180,3892,9550,1104,8748,1085,802,285,134591,3806,129620,3868,5000,935,124620,3825,4971,741,4403,669,568,296,154469,4647,66972,3512,55958,3107,9123,1443,46835,2821,11014,1395,10836,1387,178,165,87497,3289,77225,3127,10123,1415,67102,3121,10272,1059,10058,1038,214,128,162336,4897,64732,2750,26376,2186,11413,1443,14963,1857,38356,1789,38326,1791,30,24,97604,3483,43698,3171,15189,2526,28509,2104,53906,1705,53477,1654,429,287,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5005351,3747,2128257,17585,1191308,10970,1136085,10636,72376,4347,1063709,11311,55223,2719,47353,2522,7870,1350,936949,13159,904309,13000,62899,3591,841410,12656,32640,2658,27028,2445,5612,1125,1126189,15181,493992,9275,436644,9127,64335,4822,372309,7426,57348,2708,56288,2688,1060,423,632197,12272,577746,11259,116421,5607,461325,10457,54451,3156,53010,3042,1441,532,1750905,14681,697675,9800,370686,9630,188837,6968,181849,7551,326989,4071,323227,4170,3762,957,1053230,11812,591597,11514,236265,8275,355332,8804,461633,3896,456007,4151,5626,1291,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,19792582,6183,9363821,35757,5465112,27524,5252956,27068,235866,9328,5017090,27020,212156,6799,170875,6937,41281,3783,3898709,26676,3772064,26389,141400,7394,3630664,26413,126645,5803,106040,4675,20605,2813,4314657,33036,1910285,20441,1720246,20504,178504,6771,1541742,19991,190039,5886,181728,5555,8311,1597,2404372,23705,2221564,23109,240869,10644,1980695,23019,182808,6878,173269,6582,9539,1663,6114104,28741,2216201,19740,1220781,18347,476175,12535,744606,14942,995420,8569,969961,8867,25459,3152,3897903,25226,2469546,23306,605736,13977,1863810,22398,1428357,9190,1373884,10583,54473,4821,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2061718,1372,925640,11358,587023,7511,566874,7234,20157,2267,546717,7252,20149,1669,15953,1568,4196,965,338617,7588,330259,7428,8418,1506,321841,7260,8358,1154,6762,1060,1596,559,578779,11868,244583,6671,222483,6412,20672,2203,201811,6530,22100,1969,20794,1898,1306,576,334196,9072,315287,8658,27286,2795,288001,8467,18909,1992,17911,1957,998,387,557299,10935,188456,5198,90005,4614,34437,2816,55568,3363,98451,2551,96754,2551,1697,616,368843,8028,232808,7645,44889,3159,187919,6771,136035,2166,132117,2176,3918,932,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,500279,808,217825,4042,119972,2674,113548,2633,14358,1689,99190,2584,6424,931,5483,894,941,299,97853,3055,94417,3051,12049,1832,82368,3040,3436,665,2998,623,438,248,144051,3629,63785,2625,52841,2480,15161,1920,37680,2145,10944,1163,10807,1160,137,84,80266,2918,70701,2900,20014,1879,50687,2711,9565,1005,9299,984,266,200,138403,3684,59775,2521,28473,2188,18417,1851,10056,1277,31302,1365,31052,1379,250,198,78628,2530,33876,2353,19567,1996,14309,1637,44752,1232,44648,1231,104,70,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
