GEO_ID,B18101G_001E,B18101G_001M,B18101G_002E,B18101G_002M,B18101G_003E,B18101G_003M,B18101G_004E,B18101G_004M,B18101G_005E,B18101G_005M,B18101G_006E,B18101G_006M,B18101G_007E,B18101G_007M,B18101G_008E,B18101G_008M,B18101G_009E,B18101G_009M,B18101G_010E,B18101G_010M,NAME,B18101G_001EA,B18101G_001MA,B18101G_002EA,B18101G_002MA,B18101G_003EA,B18101G_003MA,B18101G_004EA,B18101G_004MA,B18101G_005MA,B18101G_005EA,B18101G_006EA,B18101G_006MA,B18101G_007EA,B18101G_007MA,B18101G_008EA,B18101G_008MA,B18101G_009EA,B18101G_009MA,B18101G_010MA,B18101G_010EA,state
0400000US01,86221,6555,38118,4141,1698,539,36420,4105,42840,3831,8353,1191,34487,3825,5263,1075,3509,889,1754,558,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61262,4638,28656,3062,1462,849,27194,3104,30310,2387,3996,885,26314,2166,2296,607,725,410,1571,530,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,218855,10741,106871,6921,4908,1389,101963,6628,101827,6507,13858,2052,87969,6121,10157,1644,4349,1009,5808,1050,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63787,5652,31316,3733,2336,1039,28980,3510,27002,3209,5656,1281,21346,2976,5469,1150,3064,888,2405,639,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1728942,30318,754395,15479,27424,3100,726971,15535,884839,18630,98195,5241,786644,18003,89708,4715,37769,2987,51939,3875,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,190889,9675,87109,5664,3064,915,84045,5409,97210,5534,10564,1537,86646,5333,6570,1160,2945,725,3625,892,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,114378,7755,56927,4580,4169,1194,52758,4527,54070,5011,6401,1646,47669,4469,3381,1023,1920,861,1461,495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28272,3978,15460,2951,1232,527,14228,2715,11749,2044,1253,630,10496,1871,1063,394,357,254,706,393,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20970,2593,6376,1324,220,169,6156,1281,13470,2187,1020,498,12450,2083,1124,448,444,271,680,390,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,492996,20397,212199,12010,12103,2378,200096,11369,248955,11601,26818,3225,222137,10721,31842,2876,12437,1590,19405,2450,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,229525,14659,113282,9295,5008,1356,108274,9072,106780,8782,14761,1884,92019,8286,9463,1451,4137,1022,5326,1118,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,345548,11476,134301,5514,3937,1143,130364,5326,186293,8184,17369,2408,168924,7418,24954,2371,8996,1484,15958,2017,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46971,3936,23540,2546,1197,497,22343,2450,20909,2405,4875,1389,16034,2150,2522,1085,1372,833,1150,594,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,293059,10676,148386,7728,5471,1495,142915,7802,132657,6277,12590,1752,120067,5752,12016,1570,5299,1085,6717,1388,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,153981,9110,83396,6523,5163,1236,78233,5987,63147,5186,10597,1886,52550,5017,7438,1350,4006,834,3432,837,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58669,4519,32328,3193,1644,606,30684,3138,24428,3056,3441,841,20987,2715,1913,602,946,450,967,389,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,90528,5876,48262,4091,3230,1251,45032,3835,38187,3177,5994,1331,32193,2623,4079,907,2204,694,1875,606,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,91861,5988,49730,4334,3565,986,46165,4199,38236,3449,7536,1562,30700,3061,3895,1022,2109,719,1786,603,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,95989,7312,50291,5669,2688,1057,47603,5441,40909,4143,7731,1631,33178,4000,4789,1050,2224,664,2565,813,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,30041,2481,12517,1905,1466,713,11051,1628,15269,1810,3526,796,11743,1621,2255,735,1233,582,1022,477,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,184097,9903,91734,7232,3998,865,87736,7092,84343,4962,9823,1591,74520,4622,8020,1322,2537,808,5483,1232,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,196430,10043,85686,5346,5618,1234,80068,5441,101424,6800,13699,2125,87725,6264,9320,1747,3550,1164,5770,1205,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
