B17010H_026M,B17010H_027E,B17010H_027M,B17010H_028E,B17010H_028M,B17010H_029E,B17010H_029M,B17010H_030E,B17010H_030M,B17010H_031E,B17010H_031M,B17010H_032E,B17010H_032M,B17010H_033E,B17010H_033M,B17010H_034E,B17010H_034M,B17010H_035E,B17010H_035M,B17010H_036E,B17010H_036M,B17010H_037E,B17010H_037M,B17010H_038E,B17010H_038M,B17010H_039E,B17010H_039M,B17010H_040E,B17010H_040M,B17010H_041E,B17010H_041M,GEO_ID,B17010H_001E,B17010H_001M,B17010H_002E,B17010H_002M,B17010H_003E,B17010H_003M,B17010H_004E,B17010H_004M,B17010H_005E,B17010H_005M,B17010H_006E,B17010H_006M,B17010H_007E,B17010H_007M,B17010H_008E,B17010H_008M,B17010H_009E,B17010H_009M,B17010H_010E,B17010H_010M,B17010H_011E,B17010H_011M,B17010H_012E,B17010H_012M,B17010H_013E,B17010H_013M,B17010H_014E,B17010H_014M,B17010H_015E,B17010H_015M,B17010H_016E,B17010H_016M,B17010H_017E,B17010H_017M,B17010H_018E,B17010H_018M,B17010H_019E,B17010H_019M,B17010H_020E,B17010H_020M,B17010H_021E,B17010H_021M,B17010H_022E,B17010H_022M,B17010H_023E,B17010H_023M,B17010H_024E,B17010H_024M,B17010H_025E,B17010H_025M,B17010H_026E,B17010H_026MA,B17010H_027EA,B17010H_027MA,B17010H_028EA,B17010H_028MA,B17010H_029MA,B17010H_029EA,B17010H_030MA,B17010H_030EA,B17010H_031MA,B17010H_031EA,B17010H_032MA,B17010H_032EA,B17010H_033EA,B17010H_033MA,B17010H_034MA,B17010H_034EA,B17010H_035EA,B17010H_035MA,B17010H_036EA,B17010H_036MA,B17010H_037MA,B17010H_037EA,B17010H_038MA,B17010H_038EA,B17010H_039EA,B17010H_039MA,B17010H_040MA,B17010H_040EA,B17010H_041EA,B17010H_041MA,NAME,B17010H_001MA,B17010H_001EA,B17010H_002EA,B17010H_002MA,B17010H_003EA,B17010H_003MA,B17010H_004EA,B17010H_004MA,B17010H_005EA,B17010H_005MA,B17010H_006EA,B17010H_006MA,B17010H_007MA,B17010H_007EA,B17010H_008EA,B17010H_008MA,B17010H_009EA,B17010H_009MA,B17010H_010EA,B17010H_010MA,B17010H_011EA,B17010H_011MA,B17010H_012MA,B17010H_012EA,B17010H_013EA,B17010H_013MA,B17010H_014MA,B17010H_014EA,B17010H_015EA,B17010H_015MA,B17010H_016EA,B17010H_016MA,B17010H_017EA,B17010H_017MA,B17010H_018MA,B17010H_018EA,B17010H_019MA,B17010H_019EA,B17010H_020EA,B17010H_020MA,B17010H_021EA,B17010H_021MA,B17010H_022EA,B17010H_022MA,B17010H_023MA,B17010H_023EA,B17010H_024MA,B17010H_024EA,B17010H_025MA,B17010H_025EA,B17010H_026EA,state
2862,154890,4763,414517,5745,123860,5487,40132,2833,19347,2174,3590,1071,1670,694,14087,1765,20785,2088,83728,4307,41488,3339,7498,1588,3458,872,30532,2947,42240,2706,0400000US01,853275,8901,76307,4613,34068,2568,18137,1908,3285,941,4666,1009,10186,1363,15931,1692,42239,3624,7582,1534,5067,1369,1169,526,929,658,2969,1080,2515,814,34657,3312,29173,3141,4819,1268,6569,1435,17785,2299,5484,1162,776968,8698,653108,8551,238591,6397,45798,3403,37903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1244,20111,2055,54868,2561,17985,2040,7456,1238,5199,1072,1369,589,629,505,3201,879,2257,630,10529,1545,6668,1227,1020,633,305,172,5343,1005,3861,874,0400000US02,114196,2557,4454,813,1400,416,885,340,151,138,452,278,282,229,515,227,3054,811,874,456,786,466,87,86,62,73,637,455,88,119,2180,627,2056,620,179,191,693,391,1184,431,124,94,109742,2694,91757,2607,36889,2534,9457,1289,7321,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2552,145441,4934,535118,7233,163836,6126,53522,3932,27502,3024,6177,1371,2531,783,18794,2254,26020,2726,110314,4773,57340,3317,8812,1500,5650,1138,42878,3303,52974,3316,0400000US04,999146,10409,65793,3939,30976,2451,13064,1632,2939,857,3782,912,6343,1206,17912,2222,34817,2987,8446,1500,5637,1297,1504,719,765,492,3368,817,2809,761,26371,2507,21504,2315,4311,980,4769,1261,12424,1963,4867,1015,933353,10820,769517,8607,234399,5844,46337,2873,42621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2791,104013,4221,281222,5756,86771,4732,26116,2768,14184,2086,3746,845,925,427,9513,1762,11932,1864,60655,4136,31357,3133,4889,1173,3494,896,22974,2500,29298,2614,0400000US05,589715,7924,58901,3327,25379,2077,14565,1689,2575,810,4489,998,7501,1471,10814,1469,33522,2895,6566,1402,4842,1304,1712,878,608,351,2522,864,1724,649,26956,2887,22082,2682,4657,1324,4845,1153,12580,1905,4874,1019,530814,7982,444043,7109,162821,4942,30009,2616,28799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6946,647626,10301,1903191,14512,672840,11982,224161,7172,108648,5611,19503,2551,9677,1609,79468,4620,115513,5384,448679,9801,198471,6556,26366,2591,18941,2880,153164,5246,250208,8013,0400000US06,3831075,15107,215077,6235,100336,4542,47880,3205,7984,1274,13802,2104,26094,2656,52456,3310,114741,5513,26580,2849,16417,2174,4415,1155,2455,813,9547,1494,10163,1684,88161,5110,67302,4912,12421,1831,11330,1727,43551,4068,20859,2245,3615998,15132,2943158,16624,1039967,11274,217386,5980,174955,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3770,187458,5008,477823,7340,149057,6023,50546,3399,29393,2640,5094,1142,1922,627,22377,2186,21153,1836,98511,4613,53839,3405,8931,1452,4644,985,40264,2932,44672,2870,0400000US08,979937,9401,45052,2968,19108,1805,9443,1419,1685,662,2899,768,4859,1122,9665,1229,25944,2383,5298,1069,4192,996,1153,515,615,398,2424,851,1106,495,20646,2089,18077,2076,4877,1149,3902,919,9298,1391,2569,636,934885,9412,785828,8221,308005,6431,63777,3669,56770,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2346,126544,4057,321396,6223,104501,4809,31272,3355,13163,2149,2235,715,641,327,10287,1914,18109,2350,73229,3828,33543,2544,3396,859,1828,602,28319,2432,39686,3056,0400000US09,630428,6683,21166,2123,9087,1348,3460,946,785,501,912,527,1763,508,5627,1014,12079,1704,1971,691,956,427,107,110,62,74,787,404,1015,506,10108,1626,7858,1485,1837,727,1244,572,4777,1163,2250,729,609262,6657,504761,7294,183365,5228,29710,2265,27111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1210,24807,1914,83377,3119,29579,2573,9085,1405,4790,1058,636,232,557,310,3597,1023,4295,986,20494,2002,11190,1782,1673,734,1585,633,7932,1609,9304,1372,0400000US10,157933,3530,7190,1430,2608,681,833,543,394,453,179,169,260,174,1775,465,4582,1289,1035,673,878,656,36,59,366,443,476,462,157,195,3547,957,2928,914,409,366,934,514,1585,662,619,335,150743,3550,121164,3585,37787,2070,6626,1103,6354,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
4758,392481,8308,1605269,16310,482064,10745,148968,5931,70159,4674,15821,2435,7410,1633,46928,3621,78809,4468,333096,9371,158876,7155,22789,2178,14792,2143,121295,6369,174220,7102,0400000US12,2887943,18536,194756,8392,91417,5213,33307,2769,6044,1351,10488,1777,16775,2255,58110,4051,103339,6040,24734,3107,17523,2443,4728,1140,2824,1031,9971,1739,7211,1673,78605,5425,62536,5166,12686,1892,14349,2254,35501,3335,16069,1906,2693187,17983,2211123,18096,605854,9488,115062,4655,98311,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
