GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001MA,C17010A_001EA,C17010A_002MA,C17010A_002EA,C17010A_003EA,C17010A_003MA,C17010A_004EA,C17010A_004MA,C17010A_005EA,C17010A_005MA,C17010A_006MA,C17010A_006EA,C17010A_007MA,C17010A_007EA,C17010A_008EA,C17010A_008MA,C17010A_009EA,C17010A_009MA,C17010A_010EA,C17010A_010MA,C17010A_011EA,C17010A_011MA,C17010A_012MA,C17010A_012EA,C17010A_013MA,C17010A_013EA,C17010A_014EA,C17010A_014MA,C17010A_015EA,C17010A_015MA,C17010A_016EA,C17010A_016MA,C17010A_017MA,C17010A_017EA,state
0400000US01,876902,9427,82460,4895,37573,2772,21617,2149,44887,3710,8006,1539,5442,1362,36881,3442,31340,3311,794442,8948,666351,8789,245502,6440,128091,5573,41880,2779,20328,2171,86211,4483,43242,3413,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,119288,2768,4911,946,1400,416,885,340,3511,911,884,455,796,464,2627,753,2503,747,114377,2868,94741,2639,38603,2636,19636,1959,8207,1239,5800,1079,11429,1542,7376,1226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1301093,12751,135931,5434,59355,3907,35891,3292,76576,4139,15440,2141,11230,1871,61136,3682,53468,3507,1165162,12612,923691,10507,325025,8399,241471,8238,82099,5503,45886,4095,159372,5945,88944,4419,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,617955,8115,65971,3533,29082,2320,17236,1873,36889,3175,7324,1436,5600,1346,29565,3078,24515,2816,551984,7913,461387,7110,173779,4610,90597,4532,28407,2922,15585,2265,62190,4116,32383,3174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5646324,22141,550223,9750,249375,7367,168502,5864,300848,7979,61262,4238,46354,3759,239586,7265,199375,6578,5096101,21106,3974158,20502,1660115,15157,1121943,16823,384000,10153,195861,6819,737943,13721,370324,9847,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1161155,10135,77236,4022,32545,2620,19992,2178,44691,2952,6982,1206,5528,1137,37709,2840,33477,2688,1083919,10291,893890,9078,374733,7048,190029,6740,66947,4101,40008,3396,123082,5369,70214,4096,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,700209,8437,35956,2703,12295,1532,5245,1078,23661,2282,4032,1104,2872,932,19629,2034,16152,1919,664253,8198,541198,8138,205017,5946,123055,5580,36405,3548,16089,2214,86650,4573,41717,2968,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,171047,3918,10703,1727,4246,981,2179,876,6457,1519,1126,676,921,658,5331,1222,4712,1194,160344,3953,128457,4010,42898,2464,31887,2889,9825,1595,5315,1178,22062,2211,12084,1885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47949,2129,595,473,213,182,0,200,382,447,40,66,40,66,342,444,273,430,47354,2205,42625,2300,16564,1527,4729,976,1725,671,856,462,3004,717,1526,535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3810164,22326,353125,10477,160739,7154,77760,4965,192386,8101,41463,3757,29626,3312,150923,7598,123374,7307,3457039,22784,2742128,21922,862237,12800,714911,12178,223635,7375,106952,5719,491276,11356,242606,7691,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1572714,12275,137548,6378,65244,4765,40050,4019,72304,4235,12601,1998,9215,1436,59703,3713,50190,3645,1435166,11916,1200001,13085,482966,7839,235165,8445,80980,4601,43818,4012,154185,6402,81211,4851,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,98553,2995,5251,1256,2291,690,1204,515,2960,957,722,405,567,339,2238,816,2215,815,93302,2966,80504,2897,32169,2311,12798,1976,4846,1356,2277,945,7952,1340,4004,1050,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
