GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001EA,B12002B_001MA,B12002B_002EA,B12002B_002MA,B12002B_003MA,B12002B_003EA,B12002B_004EA,B12002B_004MA,B12002B_005EA,B12002B_005MA,B12002B_006EA,B12002B_006MA,B12002B_007EA,B12002B_007MA,B12002B_008MA,B12002B_008EA,B12002B_009EA,B12002B_009MA,B12002B_010EA,B12002B_010MA,B12002B_011EA,B12002B_011MA,B12002B_012EA,B12002B_012MA,B12002B_013MA,B12002B_013EA,state
0400000US01,1026230,4116,465887,2682,236197,5088,148374,4357,16970,2246,13223,1328,51123,3510,560343,2940,261575,5757,141425,4615,25764,3046,53630,2736,77949,4714,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20861,964,13212,853,7070,1178,4216,1021,160,131,0,149,1766,784,7649,624,3419,708,2009,676,271,254,232,211,1718,542,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,234576,4380,121460,2652,62920,3521,36883,2982,3539,943,2285,609,15833,1923,113116,2758,52930,2991,31900,2828,4432,1249,6826,1130,17028,2087,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,362016,3402,168055,2286,83454,3342,52716,3038,6791,1539,4703,844,20391,2218,193961,2979,89545,4424,48769,3042,8802,1699,17412,1636,29433,2593,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1873241,9943,924684,6559,478259,7626,289311,7571,29844,2919,20555,2090,106715,4949,948557,7031,461885,7889,230558,6727,36503,3450,80782,2951,138829,5599,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,176845,4043,95668,2950,43968,3017,35734,2442,3416,1086,1427,567,11123,1950,81177,2560,34127,2500,25122,2444,2793,942,5318,1005,13817,1900,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,303417,4795,141675,3118,75239,3210,46569,3033,3377,1132,3053,886,13437,2340,161742,2727,83652,3306,41036,2591,5614,1435,10508,1355,20932,2012,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,162641,1834,75238,1138,37134,2128,28458,2202,1726,647,1834,679,6086,1477,87403,1468,40929,2418,25459,2644,2399,901,6551,1040,12065,1809,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,261149,2578,116381,1376,69997,2572,25440,2502,4756,1189,4363,926,11825,1695,144768,1776,79528,2810,26617,2254,4770,1058,14749,1517,19104,1930,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2563623,10791,1209384,7633,621380,10852,394380,9724,40406,3926,29761,2898,123457,7346,1354239,6927,635085,10383,367830,8060,57016,4711,101378,4961,192930,6590,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2493397,9305,1135384,6344,567129,10141,393457,10100,34534,3659,28041,2279,112223,5355,1358013,5961,636610,9642,381950,9848,54983,4219,101315,4783,183155,8011,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
