C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,GEO_ID,C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012MA,C21001G_013EA,C21001G_013MA,C21001G_014EA,C21001G_014MA,C21001G_015EA,C21001G_015MA,NAME,C21001G_001MA,C21001G_001EA,C21001G_002EA,C21001G_002MA,C21001G_003EA,C21001G_003MA,C21001G_004EA,C21001G_004MA,C21001G_005EA,C21001G_005MA,C21001G_006MA,C21001G_006EA,C21001G_007EA,C21001G_007MA,C21001G_008EA,C21001G_008MA,C21001G_009EA,C21001G_009MA,C21001G_010MA,C21001G_010EA,C21001G_011EA,C21001G_011MA,C21001G_012EA,state
2125,3580,825,98,143,3482,812,0400000US01,49022,4107,24240,2799,22557,2724,2697,856,19860,2594,1683,587,782,382,901,403,24782,2253,21202,2107,302,224,20900,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1487,1277,398,51,61,1226,396,0400000US02,33614,2486,17042,1746,16022,1728,2170,636,13852,1616,1020,386,546,257,474,280,16572,1525,15295,1485,308,217,14987,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3600,5308,1074,200,234,5108,1030,0400000US04,114910,6781,56055,4267,51064,4073,4026,810,47038,3905,4991,990,2265,675,2726,833,58855,3872,53547,3649,899,403,52648,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2044,3262,815,72,109,3190,808,0400000US05,32661,3606,16628,2235,14421,2080,1973,800,12448,2026,2207,631,960,456,1247,424,16033,2301,12771,2113,395,299,12376,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
10679,50090,3347,1004,459,49086,3241,0400000US06,993676,19980,485618,13066,444516,11981,32007,2922,412509,11863,41102,2692,13511,1342,27591,2291,508058,11392,457968,10854,5423,1554,452545,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3148,3592,848,58,97,3534,839,0400000US08,104783,5789,52575,4202,49495,4089,5812,1184,43683,3965,3080,791,1677,516,1403,540,52208,3355,48616,3133,1367,536,47249,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
3327,2278,676,79,108,2199,665,0400000US09,59257,5268,28853,3371,27714,3387,1298,571,26416,3454,1139,611,217,152,922,581,30404,3425,28126,3320,285,201,27841,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1256,487,310,0,190,487,310,0400000US10,12842,2005,6710,1440,6124,1442,447,384,5677,1486,586,299,468,297,118,96,6132,1261,5645,1256,64,81,5581,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1225,825,408,0,200,825,408,0400000US11,14716,2142,6334,1456,6035,1423,566,351,5469,1343,299,209,133,106,166,185,8382,1244,7557,1260,165,217,7392,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7391,16591,1967,91,127,16500,1967,0400000US12,287164,12607,143315,8084,127845,7457,11029,1830,116816,7200,15470,1750,5497,950,9973,1465,143849,7720,127258,7340,3413,997,123845,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
