GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001EA,B17020B_001MA,B17020B_002EA,B17020B_002MA,B17020B_003MA,B17020B_003EA,B17020B_004MA,B17020B_004EA,B17020B_005MA,B17020B_005EA,B17020B_006EA,B17020B_006MA,B17020B_007EA,B17020B_007MA,B17020B_008MA,B17020B_008EA,B17020B_009MA,B17020B_009EA,B17020B_010MA,B17020B_010EA,B17020B_011MA,B17020B_011EA,B17020B_012EA,B17020B_012MA,B17020B_013EA,B17020B_013MA,B17020B_014MA,B17020B_014EA,B17020B_015MA,B17020B_015EA,B17020B_016MA,B17020B_016EA,B17020B_017EA,B17020B_017MA,state
0400000US01,1256969,6859,380442,15189,51494,4298,48018,4336,44473,3769,193692,8596,31129,2560,8609,1255,3027,662,876527,15643,50654,4026,65859,4522,69976,4457,522232,9290,126766,4522,30583,1623,10457,1300,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24253,1896,3990,1518,362,401,133,170,634,499,2746,942,115,138,0,149,0,149,20263,2339,2004,708,1105,622,2249,912,12588,1347,2071,645,246,218,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,286531,6696,68787,6646,7475,1805,8366,2012,7982,1991,38642,3712,5292,1291,735,354,295,230,217744,8452,17314,2667,18220,2634,19270,2388,132928,4995,22980,1880,5211,894,1821,551,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,447110,5439,151379,10465,21316,3278,20705,2793,17072,2575,78210,5627,10548,1634,2415,507,1113,520,295731,10235,17959,2545,24358,3160,24585,2520,176252,6763,40427,2351,8221,1120,3929,846,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2180545,14942,490218,15643,52254,5003,47673,4447,50530,4400,281754,9429,44209,3215,10139,1336,3659,959,1690327,18484,101573,4773,107754,5499,125176,5595,1031732,11713,231363,4934,69505,3116,23224,2662,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,214866,6151,42788,6286,7234,2160,5015,1610,4121,1401,21324,3150,4188,1062,372,240,534,490,172078,6909,11340,2048,13633,1703,14841,2287,106782,3691,19882,1703,4391,943,1209,483,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,362625,6636,74231,7719,8578,1789,9009,1970,8324,1925,41438,5163,4482,897,1859,608,541,328,288394,9358,19888,2238,22919,2739,23484,2486,176188,6472,34825,1997,7570,1224,3520,865,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195197,3529,39338,6404,4666,1735,5087,1483,5905,1588,19802,3788,2966,828,537,295,375,403,155859,6960,10298,1821,11123,2031,12732,1916,92435,4125,22509,1587,5410,701,1352,531,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,305616,3095,81216,7166,10970,2221,8908,1765,6579,1566,42192,4044,9312,1441,2397,627,858,334,224400,7883,15598,1853,11860,1771,13356,1770,133807,4468,34404,2009,9732,848,5643,859,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3160342,16291,794933,26882,108041,7154,102347,7744,93741,7138,403502,14528,63087,4372,17682,2186,6533,1529,2365409,25836,170145,6820,179191,8694,199865,8265,1418365,15922,293800,6719,78336,2981,25707,2691,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
