GEO_ID,C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,NAME,C01001C_001EA,C01001C_001MA,C01001C_002EA,C01001C_002MA,C01001C_003EA,C01001C_003MA,C01001C_004MA,C01001C_004EA,C01001C_005MA,C01001C_005EA,C01001C_006MA,C01001C_006EA,C01001C_007EA,C01001C_007MA,C01001C_008EA,C01001C_008MA,C01001C_009MA,C01001C_009EA,state
0400000US01,20503,2947,9826,1806,2461,940,6408,1301,957,660,10677,1676,2494,954,6830,1180,1353,444,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,101133,3272,51067,2276,16764,1226,30818,1659,3485,331,50066,2127,16058,1232,29630,1236,4378,465,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,308469,7402,149883,4435,46513,2345,92668,3029,10702,818,158586,4156,46570,2196,96566,2501,15450,822,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20797,2908,8974,1823,2515,947,5414,1171,1045,488,11823,1789,4147,1066,6488,1325,1188,519,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,282777,13225,139867,8314,36923,3772,90097,5670,12847,1463,142910,6480,35037,2928,91339,4780,16534,1499,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49138,4089,24515,2469,4925,1093,17280,2117,2310,672,24623,2761,5563,1424,16192,1815,2868,700,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,8893,1859,4625,1255,924,575,3228,1016,473,318,4268,1106,688,351,3093,870,487,284,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3121,1020,1417,734,131,150,1151,722,135,115,1704,573,248,229,1300,494,156,125,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,47032,5060,22751,3290,4461,1487,15243,2391,3047,721,24281,2663,4439,1043,16234,2052,3608,893,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
