B27021_031M,B27021_032E,B27021_032M,B27021_033E,B27021_033M,B27021_034E,B27021_034M,B27021_035E,B27021_035M,B27021_036E,B27021_036M,B27021_037E,B27021_037M,B27021_038E,B27021_038M,B27021_039E,B27021_039M,B27021_040E,B27021_040M,B27021_041E,B27021_041M,B27021_042E,B27021_042M,B27021_043E,B27021_043M,B27021_044E,B27021_044M,B27021_045E,B27021_045M,B27021_046E,B27021_046M,B27021_047E,B27021_047M,B27021_048E,B27021_048M,B27021_049E,B27021_049M,B27021_050E,B27021_050M,B27021_051E,B27021_051M,B27021_052E,B27021_052M,B27021_053E,B27021_053M,GEO_ID,B27021_001E,B27021_001M,B27021_002E,B27021_002M,B27021_003E,B27021_003M,B27021_004E,B27021_004M,B27021_005E,B27021_005M,B27021_006E,B27021_006M,B27021_007E,B27021_007M,B27021_008E,B27021_008M,B27021_009E,B27021_009M,B27021_010E,B27021_010M,B27021_011E,B27021_011M,B27021_012E,B27021_012M,B27021_013E,B27021_013M,B27021_014E,B27021_014M,B27021_015E,B27021_015M,B27021_016E,B27021_016M,B27021_017E,B27021_017M,B27021_018E,B27021_018M,B27021_019E,B27021_019M,B27021_020E,B27021_020M,B27021_021E,B27021_021M,B27021_022E,B27021_022M,B27021_023E,B27021_023M,B27021_024E,B27021_024M,B27021_025E,B27021_025M,B27021_026E,B27021_026M,B27021_027E,B27021_027M,B27021_028E,B27021_028M,B27021_029E,B27021_029M,B27021_030E,B27021_030M,B27021_031E,B27021_031MA,B27021_032MA,B27021_032EA,B27021_033MA,B27021_033EA,B27021_034EA,B27021_034MA,B27021_035EA,B27021_035MA,B27021_036EA,B27021_036MA,B27021_037MA,B27021_037EA,B27021_038MA,B27021_038EA,B27021_039MA,B27021_039EA,B27021_040EA,B27021_040MA,B27021_041EA,B27021_041MA,B27021_042MA,B27021_042EA,B27021_043MA,B27021_043EA,B27021_044MA,B27021_044EA,B27021_045EA,B27021_045MA,B27021_046EA,B27021_046MA,B27021_047EA,B27021_047MA,B27021_048MA,B27021_048EA,B27021_049MA,B27021_049EA,B27021_050MA,B27021_050EA,B27021_051MA,B27021_051EA,B27021_052MA,B27021_052EA,B27021_053MA,B27021_053EA,NAME,B27021_001MA,B27021_001EA,B27021_002EA,B27021_002MA,B27021_003MA,B27021_003EA,B27021_004EA,B27021_004MA,B27021_005MA,B27021_005EA,B27021_006MA,B27021_006EA,B27021_007EA,B27021_007MA,B27021_008EA,B27021_008MA,B27021_009EA,B27021_009MA,B27021_010MA,B27021_010EA,B27021_011MA,B27021_011EA,B27021_012EA,B27021_012MA,B27021_013EA,B27021_013MA,B27021_014EA,B27021_014MA,B27021_015MA,B27021_015EA,B27021_016MA,B27021_016EA,B27021_017MA,B27021_017EA,B27021_018EA,B27021_018MA,B27021_019EA,B27021_019MA,B27021_020MA,B27021_020EA,B27021_021MA,B27021_021EA,B27021_022MA,B27021_022EA,B27021_023EA,B27021_023MA,B27021_024EA,B27021_024MA,B27021_025EA,B27021_025MA,B27021_026MA,B27021_026EA,B27021_027MA,B27021_027EA,B27021_028MA,B27021_028EA,B27021_029EA,B27021_029MA,B27021_030EA,B27021_030MA,B27021_031EA,state
8164,38120,3901,23009,2833,15615,2310,8561,1499,15111,2623,813338,17880,631979,11633,551982,10062,499193,9285,350384,8078,292021,7454,52789,3489,79997,5178,65725,4439,53553,4289,18777,2251,14272,1894,181359,9783,145123,8337,113118,6873,40818,3858,36236,3592,0400000US01,4781070,1376,3967732,17773,2735780,28962,2718711,29179,2537825,27278,2128458,27601,805784,15969,180886,9668,17069,2998,12874,2762,6244,1502,7488,2090,4195,1263,1231952,26619,267788,15422,238278,13227,197419,11208,127411,8806,93408,6899,40859,5380,29510,3849,20570,3759,13593,2798,7995,2207,8940,1886,964164,24889,926044,23680,795061,21956,389692,16690,476861,14188,130983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3293,7886,1554,5273,1136,3319,1033,2296,683,2613,837,130015,6022,83821,3598,64739,3598,54317,3409,41870,2820,22968,1777,10422,1744,19082,2177,15099,1713,13056,1673,3585,795,3983,963,46194,3904,35029,3458,27935,3087,10298,1751,11165,1599,0400000US02,713082,1787,583067,6031,418291,9384,410842,8880,372392,8635,318470,8475,102621,5985,38450,4180,7449,1531,5676,1489,4265,1377,1718,692,1773,683,164776,9625,60671,6461,51180,4952,37286,4764,22424,3503,17758,2889,13894,3175,9491,2427,6678,2106,4580,1933,2640,866,2813,743,104105,7824,96219,7256,75366,5349,42054,4326,41094,4294,20853,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
10143,79094,5845,58930,4754,31448,2788,30992,3969,20164,2689,1214614,20673,862511,12754,677678,12408,622883,11582,427819,10857,347913,7901,54795,3849,184833,6631,162115,6076,126805,5163,51094,3546,22718,2719,352103,13662,297495,11622,211831,8686,108268,7054,54608,5551,0400000US04,6719354,1844,5504740,20734,3821205,40798,3785477,40485,3453799,34029,2694040,32323,1276421,24502,331678,16795,35728,4095,26366,3510,13903,2617,15108,2465,9362,1898,1683535,37988,515668,24300,453374,21761,378594,19566,235919,15411,168391,11513,74780,6595,62294,5068,47138,4497,27268,3521,21931,2888,15156,2349,1167867,29845,1088773,28124,944058,26317,453102,16863,566367,22076,144715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
5749,28445,3505,20411,3237,11766,2169,10023,2036,8034,1675,505283,12449,382610,8476,324502,8006,299586,7669,191171,6873,190237,6560,24916,2785,58108,3568,50975,3397,38540,3147,17012,1819,7133,1461,122673,6566,104084,6150,73746,4776,35801,4001,18589,2401,0400000US05,2924307,1290,2419024,12362,1741973,22683,1727802,22973,1597217,21760,1214304,20857,622554,14777,130585,11035,14171,2824,11784,2517,6247,1751,6364,1580,2387,812,677051,21233,169072,13380,146881,11390,124406,10868,66748,8049,66051,6753,22475,3024,22191,3395,14997,2819,7812,1807,8014,2057,7194,1646,507979,19922,479534,18530,423300,16938,182706,11568,274741,13608,56234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
17756,487760,14855,368788,13128,208013,9226,177053,8399,118972,7110,6060340,41721,4048174,24499,3090958,24411,2893288,23682,2023437,18764,1535721,17342,197670,7324,957216,12232,855962,12071,685057,10182,246678,6895,101254,5226,2012166,25936,1752046,22874,1270969,22036,571789,13975,260120,12499,0400000US06,38649621,4947,32589281,40705,23078652,95259,22735035,92843,21177335,88419,15697932,82992,7542196,67699,1557700,25575,343617,14329,273818,11542,156520,7890,130160,7995,69799,6359,9510629,94134,2971700,59267,2603994,53392,2232873,48534,1283445,30495,1095995,30800,371121,15322,367706,13006,288182,10830,153458,7415,144053,8475,79524,6279,6538929,75820,6051169,69840,5490064,62930,2659029,40758,3227430,47115,561105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
6110,51254,4174,39002,3867,28531,3313,12843,1856,12252,2010,1059453,16021,739365,10006,561814,10170,518170,9578,380320,8370,255991,6932,43644,3104,177551,6360,158641,5545,135496,5282,33802,2959,18910,2384,320088,9533,280592,9266,232681,8452,60507,4194,39496,3980,0400000US08,5367335,2710,4307882,16075,3322436,24888,3290474,24475,3076355,25092,2517485,23183,912922,18227,214119,10709,31962,3824,25511,3267,14960,2199,12204,2522,6451,1946,985446,25174,312237,16557,274328,13584,239234,12480,158856,9539,98962,7129,35094,4078,37909,4403,32428,3880,18640,2840,14893,2834,5481,1223,673209,22411,621955,21249,564780,19108,291395,14917,317273,15067,57175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
5150,34964,3428,28204,3204,16856,2439,12770,2240,6760,1506,661082,12532,465942,8818,381134,9415,362086,9125,256182,7868,201826,6193,19048,2390,84808,5098,75859,4953,59893,4364,22758,2370,8949,1761,195140,7873,175955,7023,132124,5859,52307,3980,19185,3155,0400000US09,3537983,1086,2876901,12590,2105995,25028,2089964,24736,2003783,24576,1714737,23135,524767,15733,86181,9567,16031,2664,13673,2295,8582,1592,6366,1774,2358,848,770906,22852,193504,14032,171190,12594,149892,11645,96774,8790,64716,7716,21298,4344,22314,3073,17401,3026,10604,2341,7598,1890,4913,1564,577402,20145,542438,19462,500608,18561,249716,12945,291799,12792,41830,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1960,11141,2062,9734,2036,6372,1461,4008,1476,1407,621,165123,6863,116712,4761,93447,4299,89344,4386,66211,3937,50124,3200,4103,884,23265,2004,20746,1925,17321,1860,5661,959,2519,887,48411,3422,44615,3234,33715,2703,12924,1998,3796,1226,0400000US10,931203,797,766080,6924,538892,13376,535390,13299,508158,13321,430721,12172,163430,7715,27232,4117,3502,1075,3052,1138,969,506,2083,1078,450,351,227188,12247,55431,6873,48263,5835,42833,5392,29102,4423,17621,3049,5430,1499,7168,1683,5941,1545,2430,1004,3567,1069,1227,653,171757,12468,160616,11548,152282,11256,76697,7717,88920,8118,8334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1699,5983,1657,5250,1504,3330,1179,2354,1001,733,537,254153,7302,156046,4559,117989,5048,115078,5063,89855,4557,44975,2891,2911,1001,38057,2838,36577,2851,33849,2565,3789,927,1480,772,98107,5094,94893,4964,84223,4653,14747,1812,3214,1086,0400000US11,660682,666,406529,7388,224359,11644,220193,11472,212531,10986,181881,8612,53389,7225,7662,2973,4166,1142,3802,1049,3024,990,1608,701,364,274,182170,10615,34413,6025,31351,5556,28769,5234,18600,3985,13316,3218,2582,1246,3062,1102,2985,1103,2084,862,977,653,77,95,147757,10308,141774,9974,135817,9490,48715,5669,96229,7791,5957,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
19523,243509,11531,163657,9502,109107,7684,62059,5017,79852,7339,3660495,38146,2649544,24423,2148297,22373,1929884,20991,1330032,17558,1125176,16709,218413,8289,501247,10491,411077,9153,336124,8842,125065,5026,90170,5064,1010951,23483,781930,18143,593202,15159,250080,11404,229021,13444,0400000US12,19960169,3766,16299674,37831,11053027,63791,10942777,62159,9854862,57334,7661506,53960,3722798,43171,1087915,27368,110250,7211,77368,5792,49636,4788,32484,3875,32882,4517,5246647,62913,1385747,39859,1216298,35669,955465,29849,575497,21927,458858,20821,260833,13392,169449,9106,116771,7823,72163,5462,49253,5275,52678,4759,3860900,59831,3617391,55082,3007606,50517,1609409,36929,1613420,35041,609785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
