GEO_ID,B18105_001E,B18105_001M,B18105_002E,B18105_002M,B18105_003E,B18105_003M,B18105_004E,B18105_004M,B18105_005E,B18105_005M,B18105_006E,B18105_006M,B18105_007E,B18105_007M,B18105_008E,B18105_008M,B18105_009E,B18105_009M,B18105_010E,B18105_010M,B18105_011E,B18105_011M,B18105_012E,B18105_012M,B18105_013E,B18105_013M,B18105_014E,B18105_014M,B18105_015E,B18105_015M,B18105_016E,B18105_016M,B18105_017E,B18105_017M,B18105_018E,B18105_018M,B18105_019E,B18105_019M,B18105_020E,B18105_020M,B18105_021E,B18105_021M,B18105_022E,B18105_022M,B18105_023E,B18105_023M,B18105_024E,B18105_024M,B18105_025E,B18105_025M,B18105_026E,B18105_026M,B18105_027E,B18105_027M,B18105_028E,B18105_028M,B18105_029E,B18105_029M,B18105_030E,B18105_030M,B18105_031E,B18105_031M,B18105_032E,B18105_032M,B18105_033E,B18105_033M,NAME,B18105_001MA,B18105_001EA,B18105_002EA,B18105_002MA,B18105_003EA,B18105_003MA,B18105_004EA,B18105_004MA,B18105_005MA,B18105_005EA,B18105_006MA,B18105_006EA,B18105_007EA,B18105_007MA,B18105_008EA,B18105_008MA,B18105_009EA,B18105_009MA,B18105_010MA,B18105_010EA,B18105_011MA,B18105_011EA,B18105_012MA,B18105_012EA,B18105_013EA,B18105_013MA,B18105_014EA,B18105_014MA,B18105_015MA,B18105_015EA,B18105_016MA,B18105_016EA,B18105_017MA,B18105_017EA,B18105_018MA,B18105_018EA,B18105_019MA,B18105_019EA,B18105_020EA,B18105_020MA,B18105_021EA,B18105_021MA,B18105_022EA,B18105_022MA,B18105_023MA,B18105_023EA,B18105_024MA,B18105_024EA,B18105_025EA,B18105_025MA,B18105_026EA,B18105_026MA,B18105_027EA,B18105_027MA,B18105_028MA,B18105_028EA,B18105_029MA,B18105_029EA,B18105_030EA,B18105_030MA,B18105_031EA,B18105_031MA,B18105_032EA,B18105_032MA,B18105_033EA,B18105_033MA,state
0400000US13,9374847,5633,4489571,8003,944023,5922,5046,1601,938977,6000,1125842,6378,13071,2180,1112771,6511,1868316,7105,134428,6304,1733888,8986,364782,3072,57949,4126,306833,4526,186608,2381,55460,3167,131148,3389,4885276,6248,906102,4782,5859,1506,900243,5230,1195511,4755,15530,2439,1179981,5413,2064749,5015,174139,6895,1890610,8161,433815,3290,78739,4081,355076,4828,285099,2639,108600,4159,176499,4428,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1283005,2708,629727,2899,111814,1114,66,62,111748,1119,157310,2569,1674,852,155636,2647,255357,1900,13650,1959,241707,2652,64389,669,5508,1129,58881,1324,40857,631,11292,1219,29565,1080,653278,1890,107124,1062,114,92,107010,1062,154416,1372,2117,948,152299,1647,264118,900,12660,1577,251458,1726,68949,555,9150,1321,59799,1361,58671,769,21548,1980,37123,2114,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1520400,2139,754777,3196,165260,2189,387,242,164873,2235,180816,2356,3709,1417,177107,2677,296189,2804,21074,2446,275115,3681,70247,881,9158,1683,61089,1692,42265,948,12597,1618,29668,1613,765623,2737,154232,1579,1349,558,152883,1728,182466,2222,3004,1093,179462,2358,302434,2452,21559,2236,280875,3045,74246,1228,12759,1682,61487,1868,52245,796,19005,1663,33240,1739,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11900321,3282,5791733,5300,1109599,3572,6167,1127,1103432,3539,1468056,3751,15782,1980,1452274,4378,2444769,3896,133212,4667,2311557,6180,476420,1980,65186,3276,411234,3643,292889,1724,77544,3691,215345,3837,6108588,4752,1067124,3137,5394,1243,1061730,3354,1487138,3353,15818,2076,1471320,3991,2558614,3640,171166,5672,2387448,6774,549947,2026,89720,4173,460227,4376,445765,2585,158329,4678,287436,4813,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6101058,2545,2977077,4813,590271,3180,4328,1248,585943,3333,739755,3341,12017,1883,727738,3901,1237078,3277,98609,4647,1138469,6134,257699,1769,37588,2907,220111,3062,152274,1447,40405,2275,111869,2559,3123981,4624,566526,3312,3326,1126,563200,3379,749464,3567,14469,2107,734995,4018,1288873,3679,123419,4888,1165454,6403,291240,1670,58842,2784,232398,2595,227878,2029,83588,3130,144290,3288,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2885327,2273,1427281,3648,271691,2171,1542,528,270149,2148,356827,3062,5374,1307,351453,3421,584431,3401,30503,2407,553928,4216,127126,1041,14544,1535,112582,1727,87206,943,20170,1627,67036,1838,1458046,3066,259720,1978,1773,605,257947,1936,347599,2224,2587,647,345012,2354,587532,2573,42721,2654,544811,3590,137944,917,18150,1583,119794,1873,125251,1172,38541,1770,86710,2005,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2653160,3045,1305595,3729,266247,2458,1992,691,264255,2433,333627,2688,3951,1046,329676,2734,523943,3029,38335,2891,485608,3892,110058,1123,14244,1356,95814,1540,71720,1192,19421,1582,52299,1692,1347565,3240,255748,2600,1752,584,253996,2664,328299,2555,4840,1189,323459,2718,538190,2386,44064,3152,494126,3875,121076,1327,21021,1708,100055,1979,104252,1503,33533,2116,70719,2155,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4069345,2724,1976011,4247,375222,3234,3637,1026,371585,3173,473557,3108,7857,1629,465700,3308,838759,3110,101551,4356,737208,5671,185595,1179,37818,1885,147777,2199,102878,1207,30668,1888,72210,2250,2093334,4049,359599,2775,2125,821,357474,2932,485955,3038,9139,1679,476816,3629,884684,2929,116630,4880,768054,5496,211097,1619,44846,2721,166251,3300,151999,1623,61884,3015,90115,3070,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4262586,3355,2044156,4798,415293,4051,3258,1116,412035,4255,522923,4644,8781,1519,514142,4854,831157,5023,74958,4669,756199,6437,173525,2373,33773,2615,139752,2704,101258,1850,29177,1999,72081,2194,2218430,4787,394540,3920,3053,1185,391487,4259,563422,3750,10554,1970,552868,3874,903269,3777,92404,4846,810865,6225,203458,1836,46097,2887,157361,3302,153741,1942,62162,3288,91579,3525,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1250997,1213,610457,2123,99872,1275,921,554,98951,1241,128928,1496,2517,790,126411,1729,271014,1549,21547,2236,249467,2719,69721,558,7188,1013,62533,1166,40922,886,10740,1103,30182,1283,640540,2175,91595,1464,553,363,91042,1468,131603,1385,1175,407,130428,1370,284649,1372,26080,2431,258569,2570,76005,623,10296,1343,65709,1387,56688,783,18220,1617,38468,1650,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
