GEO_ID,B28005_001E,B28005_001M,B28005_002E,B28005_002M,B28005_003E,B28005_003M,B28005_004E,B28005_004M,B28005_005E,B28005_005M,B28005_006E,B28005_006M,B28005_007E,B28005_007M,B28005_008E,B28005_008M,B28005_009E,B28005_009M,B28005_010E,B28005_010M,B28005_011E,B28005_011M,B28005_012E,B28005_012M,B28005_013E,B28005_013M,B28005_014E,B28005_014M,B28005_015E,B28005_015M,B28005_016E,B28005_016M,B28005_017E,B28005_017M,B28005_018E,B28005_018M,B28005_019E,B28005_019M,NAME,B28005_001EA,B28005_001MA,B28005_002EA,B28005_002MA,B28005_003MA,B28005_003EA,B28005_004MA,B28005_004EA,B28005_005MA,B28005_005EA,B28005_006MA,B28005_006EA,B28005_007MA,B28005_007EA,B28005_008MA,B28005_008EA,B28005_009MA,B28005_009EA,B28005_010MA,B28005_010EA,B28005_011MA,B28005_011EA,B28005_012EA,B28005_012MA,B28005_013MA,B28005_013EA,B28005_014EA,B28005_014MA,B28005_015MA,B28005_015EA,B28005_016MA,B28005_016EA,B28005_017MA,B28005_017EA,B28005_018MA,B28005_018EA,B28005_019MA,B28005_019EA,state
0400000US01,4739380,-555555555,1106293,3254,1015833,7142,3027,1207,858157,10358,154649,8991,90460,7260,2890998,4197,2552294,13191,11147,1970,2183715,18636,357432,14841,338704,12581,742089,3029,504624,6288,8692,1611,426705,7149,69227,3741,237465,6446,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,710491,-555555555,185534,623,180320,1381,226,229,162511,3259,17583,2901,5214,1306,455652,1315,435188,3158,1872,964,389989,5244,43327,4392,20464,2454,69305,1147,59405,1606,901,429,52842,1973,5662,1088,9900,1348,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6673383,-555555555,1618861,909,1485184,9791,3181,1102,1323334,13009,158669,10555,133677,9617,3952247,2224,3619317,12992,11599,2301,3248171,20548,359547,17079,332930,12847,1102275,1874,912653,7223,9719,1773,815662,7437,87272,5067,189622,6880,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2894177,-555555555,702195,1770,647817,5859,4559,1797,495295,8196,147963,7194,54378,5783,1732358,2328,1541113,9494,11507,2209,1224360,12237,305246,11143,191245,9315,459624,1862,319208,5398,6179,1428,255496,5739,57533,3942,140416,5219,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38323824,-555555555,9097914,2971,8570996,20182,35982,4983,7707350,28936,827664,26032,526918,20274,24166769,5291,22762552,28623,93641,6699,20776823,47843,1892088,38497,1404217,28028,5059141,4745,4136682,16643,47910,3183,3701551,19289,387221,9752,922459,15984,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5340828,-555555555,1253909,1693,1213011,5979,4508,1365,1113220,7702,95283,7254,40898,5918,3392901,3176,3251386,8400,13703,2317,2987543,11382,250140,9531,141515,8013,694018,2685,572927,5259,9014,1484,513686,6266,50227,3412,121091,4995,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3473954,-555555555,761030,846,740879,3615,1466,856,696471,4778,42942,4220,20151,3409,2174843,1930,2073374,7035,5143,1225,1938096,11044,130135,7184,101469,6783,538081,1729,420005,5118,5264,1171,378662,6061,36079,3317,118076,4887,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920351,-555555555,203545,422,189651,2997,722,632,168265,4519,20664,3623,13894,2867,560190,811,519390,4873,1713,867,464754,7022,52923,5219,40800,4912,156616,735,125272,2468,1915,780,111682,2759,11675,1744,31344,2355,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,632019,-555555555,116927,366,109289,1761,770,919,88140,3636,20379,3372,7638,1735,442774,1026,417821,3174,1131,914,363924,6593,52766,6009,24953,3091,72318,1049,54655,1940,761,343,45382,2179,8512,1645,17663,1760,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19840623,-555555555,4088990,2877,3845967,14185,14288,3624,3378793,21878,452886,20740,243023,14064,11883742,5800,11039031,23104,45226,5511,9840867,35559,1152938,30485,844711,22340,3867891,5144,3174943,18034,32921,3368,2803570,18287,338452,9438,692948,18473,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9954496,-555555555,2497644,2521,2340398,10685,6147,1859,1994059,15908,340192,15105,157246,11108,6188635,4743,5696316,17139,18908,3312,4948800,25635,728608,23543,492319,16716,1268217,3864,959087,9950,10384,1629,836799,9324,111904,5841,309130,9458,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1387570,-555555555,309711,774,299675,3171,1425,827,281487,4410,16763,3569,10036,2994,847225,1052,807036,4311,1917,831,756087,7571,49032,6011,40189,4335,230634,1057,185606,3235,2521,894,167476,3666,15609,1974,45028,3286,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1624556,-555555555,430251,1548,417461,3370,3285,1466,371264,5810,42912,5171,12790,2896,955509,2401,906256,6097,6040,1565,795360,8908,104856,7970,49253,5518,238796,1927,195688,3655,3760,852,168588,4470,23340,3054,43108,3052,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
