GEO_ID,B28009A_001E,B28009A_001M,B28009A_002E,B28009A_002M,B28009A_003E,B28009A_003M,B28009A_004E,B28009A_004M,B28009A_005E,B28009A_005M,B28009A_006E,B28009A_006M,NAME,B28009A_001EA,B28009A_001MA,B28009A_002MA,B28009A_002EA,B28009A_003MA,B28009A_003EA,B28009A_004MA,B28009A_004EA,B28009A_005MA,B28009A_005EA,B28009A_006MA,B28009A_006EA,state
0400000US01,3262016,5983,2887754,13370,16972,2645,2515760,22129,355022,16973,374262,12404,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465624,3596,448080,4067,2258,913,411070,5633,34752,4217,17544,2686,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5170387,23546,4719668,27684,17751,2843,4279653,28428,422264,19775,450719,18009,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2248194,6690,1976999,10560,18647,3746,1576701,14689,381651,16505,271195,9381,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23362357,65152,21535154,67162,115422,9518,19675079,74092,1744653,43754,1827203,36781,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4511818,14017,4268628,16988,24769,3323,3925048,17837,318811,13257,243190,12168,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2668361,13177,2486428,17335,9577,1921,2342319,18846,134532,7963,181933,9733,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639714,4942,586659,7595,3574,1400,531340,8522,51745,5520,53055,5823,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250987,3884,248013,3984,1373,1547,238191,4058,8449,2431,2974,1103,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15081806,28359,13843911,43336,77215,7734,12435324,52323,1331372,37389,1237895,33266,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5956705,16166,5441449,23838,25894,4483,4830230,30503,585325,23031,515256,20410,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,356560,4803,342338,5134,1325,845,322445,5573,18568,3678,14222,2221,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1487461,5442,1390442,10018,11621,2492,1228980,12700,149841,11234,97019,8078,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9047984,23749,8320978,28960,48252,4760,7646037,31809,626689,21054,727006,17372,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5416865,9678,4887859,18322,37676,4864,4297247,25977,552936,19631,529006,17172,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2740111,6089,2485194,11665,24720,2935,2218058,15617,242416,10237,254917,9810,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2403417,7687,2190994,11488,12320,2379,1976984,13568,201690,10522,212423,9499,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3769022,5727,3309672,15267,26317,3888,2901365,22129,381990,17154,459350,15001,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2854574,7853,2562976,14308,15623,3797,2281145,18640,266208,12910,291598,12971,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1225745,1486,1125559,6372,9970,2272,1013433,8509,102156,7276,100186,5984,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3320916,10793,3102965,15900,13971,2174,2894130,18233,194864,11965,217951,11301,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5188328,13403,4853271,18006,18526,3042,4569617,22029,265128,13235,335057,13705,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7653663,8911,7015681,16562,40714,4054,6264057,24563,710910,21520,637982,15149,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4511068,7006,4223171,10515,35898,3490,3866889,16381,320384,11811,287897,7578,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1712196,4764,1509061,13078,10793,2571,1248749,15178,249519,12351,203135,11234,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4883777,8001,4417472,16219,36562,4597,3884348,19837,496562,17806,466305,14377,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,894902,2338,817326,6296,9262,2424,726331,9086,81733,5528,77576,5647,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1629074,6317,1500565,8663,8576,1649,1378599,11030,113390,6562,128509,5806,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1931235,14830,1793697,15112,8299,2459,1614361,18725,171037,11047,137538,9397,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1210666,2243,1144132,5411,4923,1443,1068158,8664,71051,7542,66534,5230,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5950420,21584,5527282,25515,20845,3244,5191749,26839,314688,15808,423138,14284,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1502412,13881,1327051,16541,13973,3609,1132789,19870,180289,11839,175361,9145,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12275504,30017,11215702,36278,49092,4582,10300606,42636,866004,26393,1059802,22165,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6789419,14296,6182642,23836,32273,4052,5551502,28084,598867,21313,606777,17380,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,645482,2394,593146,3953,2595,959,538534,5825,52017,5346,52336,3415,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9292149,9243,8434997,21093,42946,4387,7683216,28338,708835,18079,857152,19391,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2771116,6683,2481433,10368,9699,1550,2146540,14822,325194,13038,289683,8418,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3366262,9849,3163516,12195,21426,3562,2881213,18567,260877,12623,202746,9842,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10084996,12747,9061386,23951,68209,5029,8309966,27774,683211,21161,1023610,19907,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,815301,6358,751772,8158,4405,1941,696967,10032,50400,5980,63529,5802,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3214148,8079,2918810,14214,13034,2457,2547093,22303,358683,16952,295338,12792,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,701326,2465,642831,3861,3955,1144,579628,8325,59248,6286,58495,3633,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5025094,9331,4448569,20457,24728,3933,3883468,25121,540373,20494,576525,18231,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,20196916,39579,18097428,54340,80009,8598,15587209,74556,2430210,50982,2099488,41882,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2570693,11568,2482510,13428,15235,3508,2259288,18686,207987,15440,88183,7016,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,570144,1461,522364,4453,4248,1168,476456,6903,41660,5281,47780,4182,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5575814,14160,5162069,17609,27913,3432,4713080,25487,421076,16275,413745,14677,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5411696,12470,5104224,15873,22980,3334,4744418,22183,336826,16677,307472,13301,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1685259,2703,1453740,10364,9298,1887,1279928,13818,164514,9650,231519,9894,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4845980,9532,4431126,13493,35223,3283,4036393,19845,359510,13111,414854,11518,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,524367,3560,492382,4247,4830,1830,434971,7486,52581,5863,31985,3454,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2330464,19114,1578172,20677,8833,2217,1281572,21122,287767,14846,752292,19860,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
