B25087_020M,B25087_021E,B25087_021M,B25087_022E,B25087_022M,B25087_023E,B25087_023M,B25087_024E,B25087_024M,B25087_025E,B25087_025M,B25087_026E,B25087_026M,B25087_027E,B25087_027M,B25087_028E,B25087_028M,B25087_029E,B25087_029M,B25087_030E,B25087_030M,B25087_031E,B25087_031M,B25087_032E,B25087_032M,B25087_033E,B25087_033M,B25087_034E,B25087_034M,B25087_035E,B25087_035M,B25087_036E,B25087_036M,B25087_037E,B25087_037M,B25087_038E,B25087_038M,B25087_039E,B25087_039M,GEO_ID,B25087_001E,B25087_001M,B25087_002E,B25087_002M,B25087_003E,B25087_003M,B25087_004E,B25087_004M,B25087_005E,B25087_005M,B25087_006E,B25087_006M,B25087_007E,B25087_007M,B25087_008E,B25087_008M,B25087_009E,B25087_009M,B25087_010E,B25087_010M,B25087_011E,B25087_011M,B25087_012E,B25087_012M,B25087_013E,B25087_013M,B25087_014E,B25087_014M,B25087_015E,B25087_015M,B25087_016E,B25087_016M,B25087_017E,B25087_017M,B25087_018E,B25087_018M,B25087_019E,B25087_019M,B25087_020E,B25087_020MA,B25087_021EA,B25087_021MA,B25087_022MA,B25087_022EA,B25087_023MA,B25087_023EA,B25087_024MA,B25087_024EA,B25087_025MA,B25087_025EA,B25087_026MA,B25087_026EA,B25087_027MA,B25087_027EA,B25087_028MA,B25087_028EA,B25087_029MA,B25087_029EA,B25087_030MA,B25087_030EA,B25087_031MA,B25087_031EA,B25087_032MA,B25087_032EA,B25087_033MA,B25087_033EA,B25087_034MA,B25087_034EA,B25087_035MA,B25087_035EA,B25087_036MA,B25087_036EA,B25087_037MA,B25087_037EA,B25087_038MA,B25087_038EA,B25087_039MA,B25087_039EA,NAME,B25087_001MA,B25087_001EA,B25087_002EA,B25087_002MA,B25087_003EA,B25087_003MA,B25087_004EA,B25087_004MA,B25087_005MA,B25087_005EA,B25087_006MA,B25087_006EA,B25087_007EA,B25087_007MA,B25087_008MA,B25087_008EA,B25087_009MA,B25087_009EA,B25087_010MA,B25087_010EA,B25087_011EA,B25087_011MA,B25087_012MA,B25087_012EA,B25087_013MA,B25087_013EA,B25087_014MA,B25087_014EA,B25087_015MA,B25087_015EA,B25087_016EA,B25087_016MA,B25087_017MA,B25087_017EA,B25087_018MA,B25087_018EA,B25087_019MA,B25087_019EA,B25087_020EA,state
10124,6816,1028,21141,2044,42186,3169,58176,2851,73552,4052,77076,3803,65637,4128,89394,3795,49132,2999,25481,2616,14047,1858,7165,1220,4203,802,1917,536,1892,613,660,307,796,296,320,174,1460,554,0400000US01,1253595,13117,712544,11099,103,130,1001,422,5454,1002,16688,2058,30601,2570,47238,3073,57560,3916,64804,3936,62486,3737,141965,5498,99092,4964,109608,4641,40751,3001,17150,1990,7394,1507,4004,1160,6645,1232,541051,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2421,1305,462,1681,547,2314,612,2414,574,2550,458,3419,745,3287,617,7987,1038,7395,1035,8283,1600,4661,899,4015,857,2480,714,1819,548,437,272,261,191,443,227,318,195,756,401,0400000US02,159922,3409,104097,3504,10,17,325,418,186,83,367,128,575,283,752,244,1344,358,1726,675,1942,513,11970,1490,14298,1507,29020,2493,21846,2010,10004,1508,5109,1086,1664,483,2959,845,55825,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8805,16865,1725,19999,1805,33773,2569,45528,3084,55713,3081,61981,3568,56503,3238,94885,3926,59715,3698,39717,2744,21950,2140,12442,1543,7331,1181,5070,885,4311,1044,2171,639,1492,632,1907,699,4050,839,0400000US04,1524828,12566,979425,13413,416,208,1992,754,5808,1201,10780,1300,21779,1831,32979,2739,47830,3345,60450,3788,74810,3472,188936,7072,159417,5540,189921,6570,95380,4365,42117,2923,18975,1936,10097,1512,17738,1974,545403,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
7752,4972,1195,12366,1331,26084,2320,39297,3030,45975,2649,50190,3646,39948,2256,55426,2768,31372,2806,14961,1533,6349,1069,3751,796,2573,712,1467,633,709,328,433,244,218,203,311,211,866,444,0400000US05,746000,10027,408732,8549,277,172,570,349,4169,887,9599,1364,23806,2198,31035,2606,37578,2694,44415,3201,43189,3252,83784,4156,47813,3607,48571,3331,17234,2088,8099,1543,3283,696,2387,704,2923,800,337268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
17890,32379,2665,36233,2609,61742,3455,96885,4564,121518,5710,146053,5877,153756,4701,289804,8555,243077,6295,200949,5562,155323,5583,116644,4469,77114,3968,62633,3621,44693,2503,32738,2773,22874,1960,16578,1834,81415,4223,0400000US06,6910823,27840,4918415,27917,2141,670,2523,615,8774,1477,17982,1623,31789,2382,46852,3240,64775,3493,94489,4015,115868,4487,374794,10156,461975,9587,1022602,16186,872469,13394,627077,10519,401630,9449,256892,7380,515783,10252,1992408,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
6425,4079,947,8183,1423,14635,1659,21446,1531,32859,2007,41109,2536,43484,2811,71144,3260,48209,2831,29680,2466,20016,2032,12525,1710,5590,1041,4203,875,2561,771,2110,559,1400,464,875,280,4761,1039,0400000US08,1322618,9565,953749,9215,601,341,1701,656,3098,854,5892,1131,11076,1523,17724,1804,25637,2543,34192,2381,43128,3189,142666,5071,158362,6705,245715,5962,132592,3979,64261,3537,29797,2399,14400,1509,22907,1987,368869,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
6303,552,285,542,458,826,380,1266,493,1286,486,2575,747,3832,907,10856,1311,25797,2163,35017,2461,38102,2627,34317,2415,27226,2187,20772,1543,17005,2088,10878,1511,8099,1180,5868,986,27294,2176,0400000US09,889035,8413,616925,8577,0,198,339,356,71,118,450,260,1158,407,2778,656,4992,937,7104,1181,10471,1444,45384,2771,73895,3585,157099,4995,120688,4274,73109,3830,45320,2970,25020,2321,49047,2594,272110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3684,293,233,1105,503,2298,516,5097,1051,7685,1237,9229,1072,8490,1198,16965,1694,11227,1343,8115,1427,4990,996,3830,941,1990,548,1816,779,1038,497,929,430,577,328,119,112,672,332,0400000US10,249681,4261,163216,4707,143,144,222,175,391,237,1155,538,2283,691,3903,862,5167,964,6182,1265,8338,1484,25377,2153,27741,2161,46023,2655,19554,1999,9664,1287,4170,951,1238,402,1665,450,86465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2013,813,445,415,296,576,412,1342,597,1137,422,1387,411,1127,415,2871,598,3564,980,2233,728,1780,554,1329,551,1457,504,1312,546,1047,555,692,378,519,301,529,313,2738,674,0400000US11,112555,3556,85687,3563,0,200,50,81,174,177,92,89,582,410,660,292,1017,428,1089,453,1609,518,4454,975,7203,1298,16869,2009,14513,1474,10848,1458,7263,1153,6747,1266,12517,1433,26868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
17473,31006,2961,56605,3657,97982,4521,129483,5534,145279,6254,167989,6157,173675,7247,312475,9480,258960,7905,188696,7065,131139,4724,89676,4146,57509,3632,41545,2636,27381,2063,25106,2359,17464,2362,12837,1678,75108,3857,0400000US12,4760071,23483,2720156,19847,1578,651,3381,707,13854,1555,29949,3198,53563,3515,91007,4951,128204,5565,156846,6685,178719,7178,469943,10492,405087,11415,569545,11364,281509,8198,137015,6075,78026,4007,46538,3471,75392,4129,2039915,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
