GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001MA,B27001H_001EA,B27001H_002EA,B27001H_002MA,B27001H_003MA,B27001H_003EA,B27001H_004EA,B27001H_004MA,B27001H_005MA,B27001H_005EA,B27001H_006MA,B27001H_006EA,B27001H_007MA,B27001H_007EA,B27001H_008MA,B27001H_008EA,B27001H_009EA,B27001H_009MA,B27001H_010MA,B27001H_010EA,B27001H_011MA,B27001H_011EA,B27001H_012MA,B27001H_012EA,B27001H_013EA,B27001H_013MA,B27001H_014MA,B27001H_014EA,B27001H_015EA,B27001H_015MA,B27001H_016MA,B27001H_016EA,B27001H_017MA,B27001H_017EA,B27001H_018EA,B27001H_018MA,B27001H_019MA,B27001H_019EA,B27001H_020EA,B27001H_020MA,B27001H_021MA,B27001H_021EA,B27001H_022MA,B27001H_022EA,B27001H_023EA,B27001H_023MA,B27001H_024EA,B27001H_024MA,B27001H_025EA,B27001H_025MA,B27001H_026EA,B27001H_026MA,B27001H_027EA,B27001H_027MA,B27001H_028MA,B27001H_028EA,state
0400000US01,3160961,2143,196628,3083,192899,3309,3729,998,446398,3094,437136,3103,9262,1824,277238,1642,237972,3804,39266,3678,378953,2532,315213,5164,63740,4211,382192,2055,328630,4230,53562,3603,442060,1498,392898,4282,49162,3990,451147,712,416816,3019,34331,3007,346790,958,345916,1078,874,461,239555,1159,239410,1163,145,150,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,436947,2089,33651,1051,31076,1339,2575,796,58567,1132,53638,1813,4929,1390,38913,952,33546,1487,5367,1197,66494,1499,56765,2112,9729,1533,55706,643,47867,1385,7839,1346,62085,455,54792,1239,7293,1126,68056,272,60979,1216,7077,1196,36844,313,36708,324,136,99,16631,389,16631,389,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3753185,3491,200478,3240,191333,3655,9145,1828,448892,3471,424401,4448,24491,3423,283640,1158,249447,3691,34193,3483,434274,1934,385696,4401,48578,4085,420664,2083,383774,4293,36890,4186,498491,1352,459123,3673,39368,3459,570477,888,536002,3393,34475,3344,515160,1146,512666,1433,2494,891,381109,993,380281,1082,828,539,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2138791,2294,142131,2473,136218,2926,5913,1411,305952,2589,295987,3154,9965,2308,184997,1596,158951,2906,26046,2907,263172,2275,220471,4690,42701,4176,258947,2073,230466,3807,28481,2930,287494,1693,260574,3043,26920,2765,296416,593,274408,2788,22008,2819,235925,554,235350,679,575,319,163757,1081,163436,1076,321,305,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14611036,9585,758650,4938,744716,5836,13934,2513,1609577,5449,1570661,6962,38916,5002,1123398,3003,1043540,6697,79858,5915,1936280,4192,1751856,9281,184424,8673,1720402,3494,1613125,6233,107277,5772,2153311,2645,2030691,6891,122620,6770,2328290,1773,2221815,5129,106475,5146,1691867,1946,1684645,2381,7222,1420,1289261,2364,1287243,2533,2018,658,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3683433,4849,224958,2291,218212,2668,6746,1827,481457,2909,464018,4057,17439,3008,314738,3062,292756,3442,21982,2826,533037,3414,478651,4945,54386,4096,483264,1858,448658,3736,34606,3321,515965,1472,483311,3055,32654,2870,546466,987,517906,2794,28560,2522,360588,977,360216,973,372,252,222960,1206,222213,1313,747,376,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2406474,3061,120872,2605,117164,2831,3708,1693,311148,2450,303892,3286,7256,1901,209826,1026,198529,2526,11297,2368,253733,1368,235888,2526,17845,2299,263170,799,252735,2043,10435,1949,388733,756,375878,2017,12855,2057,395288,829,381093,2526,14195,2398,259700,580,258551,731,1149,620,204004,1079,203671,1104,333,271,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,587551,1394,31684,919,30919,1040,765,405,71014,1034,69147,1453,1867,976,46569,507,43376,1103,3193,949,71604,992,65143,1776,6461,1228,63025,478,58744,1399,4281,1278,84056,253,79604,1367,4452,1308,93585,353,89030,1310,4555,1268,75264,235,74895,403,369,311,50750,517,50720,514,30,35,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,237792,1127,13376,653,13083,737,293,302,11880,703,11880,703,0,200,30409,520,29874,616,535,372,73957,556,72293,922,1664,706,39000,329,38187,556,813,531,24484,235,23970,577,514,530,19733,163,19155,460,578,414,15475,230,15398,261,77,127,9478,388,9478,388,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11016249,7879,542483,5466,513490,6982,28993,4125,1217660,5376,1141446,8227,76214,6236,782603,2709,662420,6251,120183,5751,1202946,3874,969260,10167,233686,9844,1132303,3098,947459,8753,184844,8640,1515379,2861,1295993,10533,219386,9622,1720476,1883,1555680,6933,164796,6701,1595073,2187,1584933,2711,10140,1886,1307326,2164,1302093,2965,5233,1782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
