GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001EA,B21003_001MA,B21003_002MA,B21003_002EA,B21003_003MA,B21003_003EA,B21003_004EA,B21003_004MA,B21003_005MA,B21003_005EA,B21003_006EA,B21003_006MA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009MA,B21003_009EA,B21003_010MA,B21003_010EA,B21003_011EA,B21003_011MA,state
0400000US01,3275201,6332,328457,8422,21444,2072,92491,4607,123149,5428,91373,4399,2946744,10507,475438,13444,925074,14021,847675,14165,698557,14135,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459767,2188,64730,3222,1505,452,14857,1656,29346,2518,19022,2042,395037,3565,33111,2827,112210,4632,132846,4731,116870,4828,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4525325,3098,480885,9116,24095,2391,114076,4755,203000,7162,139714,4990,4044440,9697,606844,14460,995651,15130,1328776,17236,1113169,14562,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1984263,4719,203143,5738,18079,2141,67645,3664,74105,4024,43314,2660,1781120,6568,271945,7816,610624,10252,510201,9375,388350,7465,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26021433,6786,1620446,18792,91960,4679,319238,9009,680593,11685,528655,10538,24400987,20594,4551493,32251,5100016,34561,6885085,42031,7864393,35087,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3653543,4544,370383,7750,15615,1599,73430,3608,143945,5860,137393,5963,3283160,7970,308116,9487,721615,13692,957772,12798,1295657,13892,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2470488,2164,173253,5234,13933,1672,54419,3627,52472,3326,52429,2847,2297235,5703,228198,7617,623455,10964,551202,9741,894380,12602,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,650666,1562,63931,3194,4389,998,19659,1740,21225,2178,18658,1882,586735,3602,67966,4339,174880,6135,161020,5544,182869,5947,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,470751,621,25549,2408,1566,443,5052,1023,5969,1082,12962,1841,445202,2386,46683,3846,76981,4156,67844,4101,253694,4769,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14357213,8972,1444178,16264,78783,4114,389410,9532,540512,11431,435473,11904,12913035,19240,1702469,24029,3807677,37351,3760785,34411,3642104,33745,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6653385,8085,632046,11948,36100,2534,174725,6108,236683,8549,184538,7866,6021339,12144,889475,18520,1700461,24627,1623685,21291,1807718,21336,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,958679,2645,103534,4129,3614,859,25184,2114,39708,3169,35028,2393,855145,4802,86305,5837,237237,6892,267039,6844,264564,6896,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1061944,3513,117837,4847,7172,1272,29261,2561,51253,3128,30151,2849,944107,6104,99362,5510,262911,8155,335752,8739,246082,7905,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8652432,4879,591384,10297,39586,2648,183656,6813,222217,6317,145925,4798,8061048,10929,952016,17938,2129782,20832,2275272,21462,2703978,19024,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4361088,5642,384186,8171,30355,2241,147604,5269,135490,5737,70737,3765,3976902,9038,483687,11568,1348692,16205,1127786,13775,1016737,15284,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2073202,4034,194039,5128,14716,1527,71321,3016,65636,3053,42366,2744,1879163,6511,156949,5638,593413,8822,615168,7571,513633,9521,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1875427,4238,181212,4909,9206,1177,54854,2844,67415,3247,49737,2922,1694215,5862,174548,5066,445116,8748,530354,7697,544197,9036,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
