GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001EA,C17001D_001MA,C17001D_002EA,C17001D_002MA,C17001D_003MA,C17001D_003EA,C17001D_004EA,C17001D_004MA,C17001D_005MA,C17001D_005EA,C17001D_006EA,C17001D_006MA,C17001D_007EA,C17001D_007MA,C17001D_008EA,C17001D_008MA,C17001D_009MA,C17001D_009EA,C17001D_010MA,C17001D_010EA,C17001D_011EA,C17001D_011MA,C17001D_012EA,C17001D_012MA,C17001D_013EA,C17001D_013MA,C17001D_014MA,C17001D_014EA,C17001D_015EA,C17001D_015MA,C17001D_016MA,C17001D_016EA,C17001D_017EA,C17001D_017MA,C17001D_018EA,C17001D_018MA,C17001D_019EA,C17001D_019MA,state
0400000US01,58394,2339,7985,2002,3703,1103,892,464,2662,910,149,191,4282,1127,1029,612,3023,735,230,164,50409,2648,23914,1961,5923,1111,15671,1323,2320,672,26495,1949,5597,1057,18519,1410,2379,543,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46758,2564,5159,2358,2544,1604,1418,1129,997,530,129,155,2615,973,947,444,1608,646,60,99,41599,2898,19910,1875,5078,1193,13548,969,1284,262,21689,1450,4376,887,15418,935,1895,309,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212749,5491,28255,4680,13653,2550,2153,1150,10508,1765,992,497,14602,2710,2618,1281,9776,1724,2208,788,184494,5979,84036,3140,18216,1952,57910,1950,7910,868,100458,3730,20307,1671,68126,2654,12025,1123,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41458,2472,6098,1650,2786,937,462,374,2235,787,89,130,3312,1115,515,395,2469,892,328,340,35360,2501,17956,1675,4323,902,11869,1229,1764,473,17404,1666,3898,978,12291,1338,1215,430,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5468030,19502,623644,21246,285493,11593,61275,5046,185096,8684,39122,2790,338151,12637,54571,4706,219655,9347,63925,3388,4844386,24965,2298790,13006,460310,6866,1545927,10369,292553,3010,2545596,16284,437681,7591,1726810,11725,381105,4227,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160327,5056,23349,3434,11334,2143,3020,1101,6934,1432,1380,551,12015,1796,2199,905,8467,1347,1349,559,136978,5368,61846,3308,14270,1922,42987,2459,4589,635,75132,3277,16514,1922,51312,2112,7306,730,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150621,2713,10951,2202,5993,1505,1777,743,3849,1140,367,323,4958,1258,973,534,3502,891,483,284,139670,3248,67057,2130,15509,1262,46341,1640,5207,451,72613,2427,15455,1182,51079,1743,6079,436,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35493,1649,2117,1089,685,378,188,234,451,263,46,74,1432,846,293,255,1139,685,0,190,33376,1731,16110,1104,3291,504,11123,968,1696,300,17266,1040,3934,552,11176,733,2156,202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24129,1066,2969,981,853,421,0,200,662,365,191,223,2116,853,24,42,1929,841,163,199,21160,1355,9157,767,1383,482,7343,664,431,220,12003,973,896,339,10191,971,916,193,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,536639,8757,65766,7305,29811,3962,5575,1600,21124,3001,3112,842,35955,4610,6858,2110,25477,3095,3620,926,470873,10562,213322,6760,45858,3434,143172,4501,24292,1794,257551,5990,47398,3412,174251,4639,35902,1881,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
