GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001MA,B19001I_001EA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005EA,B19001I_005MA,B19001I_006MA,B19001I_006EA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009MA,B19001I_009EA,B19001I_010MA,B19001I_010EA,B19001I_011EA,B19001I_011MA,B19001I_012EA,B19001I_012MA,B19001I_013EA,B19001I_013MA,B19001I_014MA,B19001I_014EA,B19001I_015MA,B19001I_015EA,B19001I_016EA,B19001I_016MA,B19001I_017EA,B19001I_017MA,state
0400000US01,46230,2357,3161,951,2702,1108,5853,1914,3276,835,3815,1194,4037,1458,1924,722,2044,621,2820,986,3755,1084,3654,1111,3825,1049,1375,678,1456,805,1031,514,1502,508,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14452,1439,711,615,563,521,443,295,174,151,881,662,1178,736,874,612,303,287,447,436,927,533,2063,766,2752,1191,1073,454,924,483,351,309,788,454,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,558221,8071,52861,4183,35002,2855,36624,2864,41610,3900,37722,3551,38931,3347,30641,2744,32735,3284,26849,3040,48241,3099,54087,4118,56592,3987,31162,2990,13516,2213,12684,2005,8964,1594,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,51058,2491,3900,936,3620,1045,3111,1013,4015,1185,4697,1281,4166,1329,3895,1164,3446,984,3065,991,4733,1063,5967,1432,3191,990,1294,683,858,452,272,192,828,441,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3716472,15668,205143,7297,202179,7041,205338,6277,228742,8045,218385,7873,227535,7410,207169,7567,197211,7300,176333,6889,318073,10203,394566,10564,456737,10420,273170,8631,153988,5722,152265,6282,99638,4998,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,326847,5706,23578,2459,16583,2356,17967,2145,21905,2424,17192,2211,23945,2928,19521,2484,19046,2161,16424,2022,29447,2783,34631,3037,36310,2944,22967,2591,12248,2041,9883,1498,5200,1050,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,162045,4845,18083,2167,12627,2227,9353,1750,10692,1885,8018,1302,7942,1465,9895,1860,7349,1574,9063,1790,10841,1683,13371,2002,16288,2123,11760,1862,5917,1384,5931,1401,4915,947,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23507,1428,2197,824,1261,593,1749,859,1921,778,1104,582,1212,602,1339,683,897,452,845,510,1795,657,1615,654,4117,996,1656,595,312,299,910,588,577,420,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26305,1715,1601,833,513,467,1701,927,1190,767,708,372,984,558,1247,733,972,674,804,610,2887,1227,1524,691,3760,968,2773,1139,871,437,2318,828,2452,946,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1470249,11721,129848,5607,92749,4938,101606,5793,111185,6558,92272,5166,90311,5457,78454,5503,82341,4476,71241,4442,119070,5164,141265,5918,148844,6675,83888,4797,42596,3305,42103,3037,42476,3443,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,237940,5409,17192,2387,11077,2301,17332,2519,17868,2580,20305,2546,16713,2679,14150,2196,14183,2225,11446,1663,17889,2302,25199,3265,22877,2786,12779,2044,5785,1413,8820,1964,4325,1211,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
