GEO_ID,B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,NAME,B18101I_001MA,B18101I_001EA,B18101I_002EA,B18101I_002MA,B18101I_003EA,B18101I_003MA,B18101I_004EA,B18101I_004MA,B18101I_005MA,B18101I_005EA,B18101I_006MA,B18101I_006EA,B18101I_007MA,B18101I_007EA,B18101I_008EA,B18101I_008MA,B18101I_009EA,B18101I_009MA,B18101I_010MA,B18101I_010EA,state
0400000US01,190034,2214,76335,2703,3204,1079,73131,2890,108231,3149,5326,1364,102905,3126,5468,1280,2535,884,2933,982,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48443,779,17134,434,622,447,16512,416,29429,1130,3610,960,25819,1441,1880,593,635,442,1245,472,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2060468,2688,703899,240,27490,3309,676409,3299,1223233,2758,108446,5791,1114787,6430,133336,814,54567,2796,78769,2783,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,206010,2032,81603,1540,2287,714,79316,1633,117109,1633,5987,1225,111122,1959,7298,1301,2508,748,4790,1193,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15026275,4659,4729604,650,145400,5995,4584204,5884,9311809,4325,675879,13347,8635930,14215,984862,2122,385470,8958,599392,8781,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1145184,1987,392101,510,13819,2100,378282,2194,682001,2489,59561,4103,622440,4275,71082,1479,29118,1936,41964,2157,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,546603,959,174019,163,9582,1664,164437,1661,343285,1141,31538,2882,311747,3176,29299,798,11415,1282,17884,1348,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84636,225,30332,91,1366,652,28966,658,50248,531,4235,1044,46013,1126,4056,489,1121,592,2935,523,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,70193,577,17571,15,426,321,17145,321,49207,913,2220,943,46987,1229,3415,703,1012,472,2403,679,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4912937,3670,1222238,1026,51042,4367,1171196,4589,3128905,3982,235794,9999,2893111,9816,561794,3146,196824,6159,364970,6423,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
