GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001MA,B16005D_001EA,B16005D_002EA,B16005D_002MA,B16005D_003EA,B16005D_003MA,B16005D_004EA,B16005D_004MA,B16005D_005EA,B16005D_005MA,B16005D_006MA,B16005D_006EA,B16005D_007MA,B16005D_007EA,B16005D_008EA,B16005D_008MA,B16005D_009EA,B16005D_009MA,B16005D_010EA,B16005D_010MA,B16005D_011EA,B16005D_011MA,state
0400000US01,56032,2355,14144,1951,6846,1537,7298,1289,5699,1246,1599,762,41888,2309,5841,1325,36047,2765,18743,2816,17304,2420,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,44610,2260,13106,2046,7530,1750,5576,1593,3864,1258,1712,1161,31504,2155,3859,1040,27645,2257,13577,1728,14068,1895,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,205860,5197,60137,4282,37395,3501,22742,2772,19261,2520,3481,1165,145723,4741,21941,2316,123782,4935,67128,4112,56654,4293,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40394,2311,9939,1646,4588,1193,5351,1245,4313,1102,1038,566,30455,2077,4975,1321,25480,2205,11835,1721,13645,1889,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5276749,18244,1723339,18433,935448,17863,787891,15365,656272,14828,131619,6039,3553410,21248,333199,8660,3220211,22522,1457100,19698,1763111,22447,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,152908,4789,50226,3797,29843,2970,20383,2785,17220,2630,3163,1117,102682,4176,17217,2282,85465,3893,41071,3342,44394,3208,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147668,2718,37163,3018,18506,2061,18657,2980,15935,2718,2722,752,110505,3280,17537,2210,92968,3469,51737,3611,41231,3541,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33823,1574,7557,1414,3428,1040,4129,861,3705,842,424,356,26266,1370,3970,969,22296,1315,13560,1630,8736,1688,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25137,935,8648,1155,6194,1127,2454,693,2288,687,166,187,16489,1218,5300,927,11189,1283,7565,1070,3624,612,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,517050,8442,137342,6605,79465,6503,57877,3984,48736,3592,9141,2058,379708,7918,75711,5797,303997,9248,163544,7594,140453,7483,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,365908,5541,99344,4886,39495,4153,59849,5082,49207,4172,10642,2107,266564,5154,30676,3483,235888,5968,115484,5773,120404,6058,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,511880,9599,313712,8277,262717,7728,50995,3931,37264,3161,13731,1912,198168,8075,24028,2817,174140,7640,57292,3959,116848,6510,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20345,2068,6495,1395,5409,1363,1086,599,1029,591,57,88,13850,1837,3045,1015,10805,1649,5436,1074,5369,1416,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,636848,6325,176454,7132,89486,6018,86968,5294,74260,5064,12708,1887,460394,7572,50543,4163,409851,8182,230955,7792,178896,7417,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,129445,3837,30940,3461,16509,2845,14431,2265,12283,2325,2148,751,98505,3680,12993,2331,85512,3335,41718,3340,43794,3113,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,63046,3254,15151,2257,8024,1902,7127,1625,5565,1426,1562,658,47895,2871,7252,1457,40643,3042,13943,2415,26700,2679,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,78513,2515,21637,2988,9750,2402,11887,1481,9111,1534,2776,947,56876,2570,7974,1650,48902,2705,22841,2092,26061,2344,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,55851,2690,13643,2449,8044,2055,5599,1273,5003,1217,596,382,42208,2779,7377,1154,34831,2717,17801,2163,17030,2062,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
