GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001MA,C23002I_001EA,C23002I_002MA,C23002I_002EA,C23002I_003MA,C23002I_003EA,C23002I_004EA,C23002I_004MA,C23002I_005MA,C23002I_005EA,C23002I_006MA,C23002I_006EA,C23002I_007MA,C23002I_007EA,C23002I_008MA,C23002I_008EA,C23002I_009MA,C23002I_009EA,C23002I_010MA,C23002I_010EA,C23002I_011MA,C23002I_011EA,C23002I_012MA,C23002I_012EA,C23002I_013MA,C23002I_013EA,C23002I_014MA,C23002I_014EA,C23002I_015MA,C23002I_015EA,C23002I_016MA,C23002I_016EA,C23002I_017MA,C23002I_017EA,C23002I_018MA,C23002I_018EA,C23002I_019MA,C23002I_019EA,C23002I_020MA,C23002I_020EA,C23002I_021MA,C23002I_021EA,C23002I_022MA,C23002I_022EA,C23002I_023MA,C23002I_023EA,C23002I_024MA,C23002I_024EA,C23002I_025MA,C23002I_025EA,C23002I_026MA,C23002I_026EA,C23002I_027MA,C23002I_027EA,state
0400000US01,123156,2723,66316,3290,64147,3192,53774,3569,302,328,53472,3494,51278,3536,2194,699,10373,1762,2169,792,971,556,971,556,0,192,1198,549,56840,2355,53495,2587,29113,2718,5,12,29108,2717,26921,2656,2187,752,24382,2547,3345,892,541,302,541,302,0,192,2804,889,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37388,647,18966,803,18440,859,15604,1093,2535,716,13069,1303,11800,1379,1269,838,2836,752,526,333,188,136,188,136,0,149,338,318,18422,921,17052,1060,11786,1227,398,324,11388,1255,11088,1198,300,338,5266,1068,1370,471,232,195,232,195,0,149,1138,471,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1473859,2530,734793,1742,674856,1835,513534,6708,2946,827,510588,6678,476615,6682,33973,3469,161322,6880,59937,468,10903,1434,10250,1361,653,333,49034,1476,739066,1869,664189,1923,418051,7717,411,293,417640,7720,380377,7729,37263,3625,246138,7819,74877,443,7604,1202,7048,1174,556,329,67273,1273,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,133564,2179,70431,1833,67159,1710,50932,2061,86,149,50846,2070,48639,2140,2207,828,16227,2063,3272,731,1310,449,1303,450,7,15,1962,651,63133,1629,59046,1577,35604,2368,22,39,35582,2369,33295,2430,2287,1113,23442,2383,4087,1101,96,115,96,115,0,190,3991,1090,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10969221,6702,5491923,4767,5060178,4582,4008493,15826,21255,2443,3987238,15462,3689767,16044,297471,8082,1051685,15464,431745,947,86597,3659,82176,3498,4421,859,345148,3792,5477298,4633,4906338,4678,3112692,17900,2122,585,3110570,17846,2819341,18669,291229,10341,1793646,18748,570960,851,66493,3079,62587,3047,3906,1039,504467,3217,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,811139,2017,414530,1999,381419,2012,306267,4247,3781,1004,302486,4510,285110,4644,17376,2458,75152,4328,33111,799,6150,1075,5310,930,840,507,26961,1421,396609,2184,356833,2235,233194,5571,832,391,232362,5530,213116,5817,19246,2941,123639,6097,39776,1093,4174,879,4043,873,131,132,35602,1388,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,397899,1449,197064,1246,184053,1200,142806,3303,432,338,142374,3338,128245,3540,14129,2305,41247,3300,13011,446,2121,686,2121,686,0,198,10890,673,200835,1082,183380,1203,130763,3167,156,303,130607,3186,114699,3119,15908,2333,52617,3118,17455,485,2202,743,2022,729,180,240,15253,914,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,57982,607,30465,528,28263,584,21494,1275,47,83,21447,1269,20302,1278,1145,576,6769,1301,2202,425,663,429,663,429,0,190,1539,461,27517,555,25618,572,16180,1115,75,106,16105,1126,15372,1154,733,395,9438,1157,1899,270,196,199,83,145,113,138,1703,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,54337,439,27824,411,26696,813,23142,1174,631,390,22511,1186,21633,1176,878,520,3554,954,1128,697,732,697,732,697,0,200,396,301,26513,220,24170,220,18613,1181,98,201,18515,1142,17507,1245,1008,686,5557,1191,2343,-555555555,890,437,828,430,62,101,1453,437,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3873733,4016,1889326,3516,1652613,3643,1311264,10234,6708,1788,1304556,10340,1231556,11459,73000,4680,341349,10615,236713,1686,47990,3497,44860,3559,3130,891,188723,3700,1984407,3632,1650907,3677,1110437,11213,1014,504,1109423,11208,1024869,12315,84554,7062,540470,10611,333500,1831,34295,2708,32847,2644,1448,709,299205,3302,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,635137,3083,335673,3098,322639,2957,262778,4294,6449,1466,256329,4435,245023,4798,11306,2310,59861,4348,13034,1312,4459,1170,4194,1122,265,257,8575,1263,299464,2843,280591,2856,166091,5493,1038,566,165053,5480,152585,5717,12468,2072,114500,5500,18873,1595,3482,1116,3482,1116,0,214,15391,1578,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
